Rank,Name,Team,Position,Played,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Seattle Seahawks,SEA,DST,16,14.59,17.47,28.8,13.58,0,74.44
2,Denver Broncos,DEN,DST,16,13.78,22.72,25.93,13.29,0,75.72
3,Houston Texans,HOU,DST,16,16.71,21.26,31.75,11.75,0,81.47
4,Arizona Cardinals,ARI,DST,16,17.56,21.34,31.82,13.3,0,84.02
5,Green Bay Packers,GB,DST,16,16.88,22.16,32.61,12.69,0,84.34
6,New York Jets,NYJ,DST,16,17.65,19.58,37.47,10,0,84.7
7,Kansas City Chiefs,KC,DST,16,17.01,19.26,39.7,9.32,0,85.3
8,Dallas Cowboys,DAL,DST,16,16.72,27.81,32.21,9.28,0,86.02
9,Cincinnati Bengals,CIN,DST,16,15.56,23.35,34.42,13.13,0,86.46
10,Carolina Panthers,CAR,DST,16,16.8,24.46,33.36,12.26,0,86.88
11,Minnesota Vikings,MIN,DST,16,17.51,21.66,35.42,12.77,0,87.36
12,Atlanta Falcons,ATL,DST,16,16.93,29.61,26.11,15.78,0,88.43
13,New England Patriots,NE,DST,16,18.02,22.03,38.54,10.5,0,89.08
14,Los Angeles Chargers,LAC,DST,16,17.57,27.88,30.84,13.19,0,89.48
15,Chicago Bears,CHI,DST,16,20.15,25.79,31.58,12.51,0,90.04
16,Los Angeles Rams,LAR,DST,16,17.48,25.98,33.78,14.26,0,91.51
17,Baltimore Ravens,BAL,DST,16,19.65,21.07,41.1,10.13,0,91.95
18,Buffalo Bills,BUF,DST,16,18.86,21.94,39.78,11.41,0,91.99
19,Tennessee Titans,TEN,DST,16,21.04,19.58,37.97,14.11,0,92.7
20,Detroit Lions,DET,DST,16,19.96,23.91,36.9,14.37,0,95.14
21,Tampa Bay Buccaneers,TB,DST,16,19.93,21.98,40.04,13.46,0,95.41
22,Oakland Raiders,OAK,DST,16,19.83,24.75,36.03,15.88,0.01,96.5
23,Pittsburgh Steelers,PIT,DST,16,20.12,19.15,43.56,14.15,0,96.97
24,Cleveland Browns,CLE,DST,16,21.42,23.39,41.86,11.28,0,97.95
25,San Francisco 49ers,SF,DST,16,18.43,30.67,37.35,11.68,0,98.13
26,Miami Dolphins,MIA,DST,16,18.94,30.58,37.3,11.37,0,98.19
27,Washington Redskins,WAS,DST,16,19.89,24.57,41.05,12.93,0,98.44
28,Indianapolis Colts,IND,DST,16,20.21,24.4,40.28,14.01,0,98.89
29,Jacksonville Jaguars,JAX,DST,16,21.53,28.18,36.56,14.78,0,101.05
30,Philadelphia Eagles,PHI,DST,16,22.56,28.55,43.24,11.81,0,106.16
31,New York Giants,NYG,DST,16,23.17,27.69,40.52,18.42,0,109.81
32,New Orleans Saints,NO,DST,16,26.54,29.52,38.42,18.69,0,113.18
