Rank,Name,Team,Position,Played,TacklesForLoss,Sacks,QuarterbackHits,Interceptions,FumblesRecovered,Safeties,DefensiveTouchdowns,SpecialTeamsTouchdowns,PointsAllowed,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Jacksonville Jaguars,JAX,DST,16,103,49,113,18,14,0,4,1,268,8.1,129
2,Los Angeles Chargers,LAC,DST,16,93,44,85,17,13,0,4,2,272,7.9,127
3,Los Angeles Rams,LAR,DST,16,82,45,100,17,15,2,3,2,329,7.8,124
4,Philadelphia Eagles,PHI,DST,16,99,39,115,17,14,0,4,2,295,7.7,123
5,Minnesota Vikings,MIN,DST,16,82,42,85,17,12,1,3,1,252,7,112
6,Denver Broncos,DEN,DST,16,82,42,78,13,12,0,3,2,382,6.9,110
6,Pittsburgh Steelers,PIT,DST,16,105,46,106,14,12,1,3,1,308,6.9,110
6,Baltimore Ravens,BAL,DST,16,96,39,98,17,13,0,3,1,303,6.9,110
9,Carolina Panthers,CAR,DST,16,90,45,102,13,13,0,2,2,327,6.8,108
10,Houston Texans,HOU,DST,16,95,42,74,14,13,1,3,1,436,6.7,107
10,Chicago Bears,CHI,DST,16,78,45,97,12,14,1,3,1,320,6.7,107
12,Kansas City Chiefs,KC,DST,16,86,34,69,14,12,0,3,2,339,6.5,104
13,Atlanta Falcons,ATL,DST,16,86,39,81,13,13,0,3,1,315,6.4,102
14,New Orleans Saints,NO,DST,16,88,39,83,16,12,0,2,1,326,6.3,101
15,New England Patriots,NE,DST,16,73,42,93,14,12,2,2,1,296,6.2,100
15,Washington Redskins,WAS,DST,16,78,40,107,15,12,0,2,1,388,6.2,100
15,Tennessee Titans,TEN,DST,16,79,42,91,14,12,0,2,1,356,6.2,100
18,Seattle Seahawks,SEA,DST,16,92,37,112,13,12,2,3,1,332,6.2,99
18,Green Bay Packers,GB,DST,16,101,41,83,14,12,0,2,1,384,6.2,99
20,Detroit Lions,DET,DST,16,84,34,95,14,12,0,2,2,376,6.1,98
21,Arizona Cardinals,ARI,DST,16,94,38,100,14,13,0,2,1,361,6.1,97
21,New York Giants,NYG,DST,16,79,33,67,14,12,1,3,1,388,6.1,97
21,Buffalo Bills,BUF,DST,16,79,33,69,17,12,0,2,1,359,6.1,97
24,Tampa Bay Buccaneers,TB,DST,16,71,33,74,13,13,0,3,1,382,6,96
25,Dallas Cowboys,DAL,DST,16,100,37,98,12,14,0,2,1,332,5.8,93
26,Cincinnati Bengals,CIN,DST,16,99,37,98,13,11,0,2,1,349,5.8,92
26,San Francisco 49ers,SF,DST,16,89,34,101,13,14,0,2,1,383,5.8,92
28,Cleveland Browns,CLE,DST,16,108,35,74,11,12,0,2,1,410,5.4,87
29,Miami Dolphins,MIA,DST,16,77,34,89,12,10,2,2,1,393,5.4,86
30,New York Jets,NYJ,DST,16,81,32,94,12,10,0,2,1,382,5.2,84
31,Oakland Raiders,OAK,DST,16,85,28,74,11,11,0,2,1,373,4.9,79
32,Indianapolis Colts,IND,DST,16,79,30,75,13,10,2,1,1,404,4.9,78
