Rank,Name,Team,Position,Week,Opponent,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Green Bay Packers,GB,DST,4,BUF,4.94,8.2,15,11.8,0,39.94
2,New England Patriots,NE,DST,4,MIA,8.1,16.6,20.9,1.9,1,48.5
3,Jacksonville Jaguars,JAX,DST,4,NYJ,11.48,10.5,18.7,13.1,6,59.78
4,Seattle Seahawks,SEA,DST,4,ARI,12.5,20.8,23.9,7.2,5,69.4
5,Chicago Bears,CHI,DST,4,TB,12.54,7.8,44.9,13.7,4,82.94
6,Baltimore Ravens,BAL,DST,4,PIT,15.86,9.4,40.5,13.5,6,85.26
7,Arizona Cardinals,ARI,DST,4,SEA,8.98,36.3,26.8,3.1,11,86.18
8,New Orleans Saints,NO,DST,4,NYG,15.7,26.3,41.6,7.6,4,95.2
8,Kansas City Chiefs,KC,DST,4,DEN,8.8,35.2,25.8,12.4,13,95.2
10,Los Angeles Chargers,LAC,DST,4,SF,19.82,16.4,29.6,27.5,9,102.32
11,New York Giants,NYG,DST,4,NO,12.38,46.8,17,12.6,16,104.78
12,Buffalo Bills,BUF,DST,4,GB,17.02,27.3,34.9,12.6,14,105.82
13,Detroit Lions,DET,DST,4,DAL,18.4,40.2,22.5,12.9,15,109
14,Dallas Cowboys,DAL,DST,4,DET,23.78,20.5,56.2,6.4,6,112.88
15,San Francisco 49ers,SF,DST,4,LAC,22.7,47.5,24.8,13.6,10,118.6
16,Denver Broncos,DEN,DST,4,KC,25.86,30.1,28.1,28.7,9,121.76
17,Philadelphia Eagles,PHI,DST,4,TEN,34.36,20.7,61.1,0,9,125.16
18,Pittsburgh Steelers,PIT,DST,4,BAL,26.92,19.6,47,19.9,16,129.42
19,Miami Dolphins,MIA,DST,4,NE,20.66,52.5,39.7,9,8,129.86
20,Oakland Raiders,OAK,DST,4,CLE,16.8,53.3,31.9,22.1,8,132.1
21,Tennessee Titans,TEN,DST,4,PHI,24.72,19.5,49.7,27.5,11,132.42
22,Atlanta Falcons,ATL,DST,4,CIN,28.78,31.3,57.6,15.4,7,140.08
23,New York Jets,NYJ,DST,4,JAX,28.32,32.2,55.1,12.3,13,140.92
24,Indianapolis Colts,IND,DST,4,HOU,35.1,8,77.7,6.6,14,141.4
25,Los Angeles Rams,LAR,DST,4,MIN,35.68,12,82.8,12,12,154.48
26,Cincinnati Bengals,CIN,DST,4,ATL,32.26,24.5,73.5,11.6,14,155.86
27,Tampa Bay Buccaneers,TB,DST,4,CHI,46.26,35.9,52.7,16.6,15,166.46
28,Houston Texans,HOU,DST,4,IND,39.66,30.3,70.4,17.7,10,168.06
29,Minnesota Vikings,MIN,DST,4,LAR,42.3,25.6,92.9,2.3,8,171.1
30,Cleveland Browns,CLE,DST,4,OAK,36.58,29.4,58.8,39.3,14,178.08
