Rank,Name,Team,Position,Played,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Denver Broncos,DEN,DST,16,13.43,23.67,23.9,12.84,0,73.84
2,Houston Texans,HOU,DST,16,14.97,22.05,32.99,8.85,0,78.87
3,Minnesota Vikings,MIN,DST,16,16.24,21.24,31.97,11.06,0,80.52
4,Seattle Seahawks,SEA,DST,16,15.73,19.99,37.16,9.02,0,81.9
5,New York Giants,NYG,DST,16,14.23,20.96,33.84,13.33,0,82.37
6,New England Patriots,NE,DST,16,17.1,21.08,34.08,10.39,0,82.64
7,Arizona Cardinals,ARI,DST,16,17.59,18.91,40.28,6.3,0,83.07
8,Jacksonville Jaguars,JAX,DST,16,16.15,22.51,33.32,11.85,0,83.84
9,Philadelphia Eagles,PHI,DST,16,17.18,22.06,40.52,6.71,0,86.47
10,Buffalo Bills,BUF,DST,16,17.04,26.74,34.13,9.71,0,87.62
11,Cincinnati Bengals,CIN,DST,16,18.04,24.36,30.31,16.12,0,88.83
12,Baltimore Ravens,BAL,DST,16,17.36,22.21,38.53,10.82,0,88.91
13,Kansas City Chiefs,KC,DST,16,17.63,23.39,38.45,9.66,0.04,89.17
14,Chicago Bears,CHI,DST,16,18.2,20.71,40.41,10.42,0,89.74
15,Pittsburgh Steelers,PIT,DST,16,16.37,27.18,34.11,12.36,0,90.02
16,Los Angeles Chargers,LAC,DST,16,18.47,27.21,34.11,11.29,0,91.07
17,Tampa Bay Buccaneers,TB,DST,16,18.43,24.62,36.94,11.47,0,91.46
18,Dallas Cowboys,DAL,DST,16,18.22,19.23,36.69,18.12,0,92.26
19,New York Jets,NYJ,DST,16,18.49,23.78,37.07,13.61,0,92.95
20,Los Angeles Rams,LAR,DST,16,18.93,23.31,41.77,9.76,0,93.77
21,Oakland Raiders,OAK,DST,16,19.53,24.82,37.08,14.17,0,95.59
22,Tennessee Titans,TEN,DST,16,20.68,19.09,44.6,11.48,0,95.85
23,Indianapolis Colts,IND,DST,16,19.24,26.81,36.6,14.02,0,96.67
24,Carolina Panthers,CAR,DST,16,19.06,22.68,39.68,15.45,0,96.87
25,Detroit Lions,DET,DST,16,20.85,21.59,39.68,15.13,0,97.26
26,Miami Dolphins,MIA,DST,16,20.65,24.27,39,14.38,0,98.3
27,Washington Redskins,WAS,DST,16,19.04,27.13,36.96,15.51,0,98.63
28,Green Bay Packers,GB,DST,16,20.18,21.96,43.44,13.6,0,99.17
29,New Orleans Saints,NO,DST,16,20.52,28.17,39.6,11.31,0,99.6
30,San Francisco 49ers,SF,DST,16,18.8,33.53,38,12.49,0,102.82
31,Atlanta Falcons,ATL,DST,16,20.79,28.11,39.06,14.97,0,102.92
32,Cleveland Browns,CLE,DST,16,21.03,29.09,37.56,17.18,0,104.85
