week,home,away,year
1,NE,PIT,2015
1,STL,SEA,2015
1,CHI,GB,2015
1,WAS,MIA,2015
1,HOU,KC,2015
1,BUF,IND,2015
1,JAX,CAR,2015
1,NYJ,CLE,2015
1,ARI,NO,2015
1,SD,DET,2015
1,DEN,BAL,2015
1,TB,TEN,2015
1,OAK,CIN,2015
1,DAL,NYG,2015
1,ATL,PHI,2015
1,SF,MIN,2015
2,KC,DEN,2015
2,CHI,ARI,2015
2,NO,TB,2015
2,PIT,SF,2015
2,BUF,NE,2015
2,CLE,TEN,2015
2,NYG,ATL,2015
2,CAR,HOU,2015
2,CIN,SD,2015
2,WAS,STL,2015
2,MIN,DET,2015
2,OAK,BAL,2015
2,JAX,MIA,2015
2,PHI,DAL,2015
2,GB,SEA,2015
2,IND,NYJ,2015
3,NYG,WAS,2015
3,STL,PIT,2015
3,MIN,SD,2015
3,BAL,CIN,2015
3,CLE,OAK,2015
3,DAL,ATL,2015
3,CAR,NO,2015
3,TEN,IND,2015
3,NYJ,PHI,2015
3,HOU,TB,2015
3,NE,JAX,2015
3,ARI,SF,2015
3,MIA,BUF,2015
3,SEA,CHI,2015
3,DET,DEN,2015
3,GB,KC,2015
4,PIT,BAL,2015
4,MIA,NYJ,2015
4,CHI,OAK,2015
4,ATL,HOU,2015
4,IND,JAX,2015
4,BUF,NYG,2015
4,WAS,PHI,2015
4,TB,CAR,2015
4,CIN,KC,2015
4,SD,CLE,2015
4,DEN,MIN,2015
4,SF,GB,2015
4,ARI,STL,2015
4,NO,DAL,2015
4,SEA,DET,2015
5,HOU,IND,2015
5,TB,JAX,2015
5,BAL,CLE,2015
5,KC,CHI,2015
5,ATL,WAS,2015
5,GB,STL,2015
5,CIN,SEA,2015
5,TEN,BUF,2015
5,PHI,NO,2015
5,DET,ARI,2015
5,OAK,DEN,2015
5,DAL,NE,2015
5,NYG,SF,2015
5,SD,PIT,2015
6,NO,ATL,2015
6,NYJ,WAS,2015
6,JAX,HOU,2015
6,MIN,KC,2015
6,BUF,CIN,2015
6,CLE,DEN,2015
6,DET,CHI,2015
6,TEN,MIA,2015
6,PIT,ARI,2015
6,SEA,CAR,2015
6,GB,SD,2015
6,SF,BAL,2015
6,IND,NE,2015
6,PHI,NYG,2015
7,SF,SEA,2015
7,JAX,BUF,2015
7,STL,CLE,2015
7,NE,NYJ,2015
7,MIA,HOU,2015
7,TEN,ATL,2015
7,DET,MIN,2015
7,KC,PIT,2015
7,IND,NO,2015
7,WAS,TB,2015
7,SD,OAK,2015
7,NYG,DAL,2015
7,CAR,PHI,2015
7,ARI,BAL,2015
8,NE,MIA,2015
8,KC,DET,2015
8,CHI,MIN,2015
8,STL,SF,2015
8,PIT,CIN,2015
8,BAL,SD,2015
8,CLE,ARI,2015
8,HOU,TEN,2015
8,ATL,TB,2015
8,NO,NYG,2015
8,OAK,NYJ,2015
8,DAL,SEA,2015
8,DEN,GB,2015
8,CAR,IND,2015
9,CIN,CLE,2015
9,BUF,MIA,2015
9,NE,WAS,2015
9,NYJ,JAX,2015
9,MIN,STL,2015
9,PIT,OAK,2015
9,NO,TEN,2015
9,CAR,GB,2015
9,TB,NYG,2015
9,SF,ATL,2015
9,IND,DEN,2015
9,DAL,PHI,2015
9,SD,CHI,2015
10,NYJ,BUF,2015
10,STL,CHI,2015
10,TEN,CAR,2015
10,GB,DET,2015
10,PIT,CLE,2015
10,PHI,MIA,2015
10,BAL,JAX,2015
10,TB,DAL,2015
10,WAS,NO,2015
10,OAK,MIN,2015
10,DEN,KC,2015
10,NYG,NE,2015
10,SEA,ARI,2015
10,CIN,HOU,2015
11,JAX,TEN,2015
11,ATL,IND,2015
11,CAR,WAS,2015
11,DET,OAK,2015
11,PHI,TB,2015
