Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,2593,Aaron Rodgers,GB,QB,5,DET,32,52,61.5,442,8.5,3,0,108.01,3,10,3.3,0,33.7,33.68
2,4314,Tom Brady,NE,QB,5,IND,34,44,77.3,341,7.8,3,2,102.56,3,-1,-0.3,1,32.5,32.54
3,7242,Drew Brees,NO,QB,5,WAS,26,29,89.7,363,12.5,3,0,153.23,2,1,0.5,0,30.7,30.72
4,16245,Blake Bortles,JAX,QB,5,KC,33,61,54.1,430,7,1,4,54.68,4,34,8.5,1,28.6,28.6
5,18973,CJ Beathard,SF,QB,5,ARI,34,54,63,349,6.5,2,2,78.4,2,7,3.5,1,27.7,27.66
6,14008,Andrew Luck,IND,QB,5,NE,38,59,64.4,365,6.2,3,2,84.36,0,0,0,0,27.6,27.6
7,15694,Case Keenum,DEN,QB,5,NYJ,35,51,68.6,377,7.4,2,1,94.98,0,0,0,0,25.1,25.08
8,17920,Carson Wentz,PHI,QB,5,MIN,24,35,68.6,311,8.9,2,0,115.3,5,26,5.2,0,25,25.04
9,18857,Deshaun Watson,HOU,QB,5,DAL,33,44,75,375,8.5,1,1,98.2,10,40,4,0,25,25
10,8244,Philip Rivers,LAC,QB,5,OAK,22,27,81.5,339,12.6,2,0,143.44,3,-2,-0.7,0,24.4,24.36
11,4932,Eli Manning,NYG,QB,5,CAR,22,36,61.1,326,9.1,2,2,86.11,1,2,2,0,24.2,24.24
12,3807,Ben Roethlisberger,PIT,QB,5,ATL,19,29,65.5,250,8.6,3,1,112.72,2,16,8,0,22.6,22.6
13,19790,Baker Mayfield,CLE,QB,5,BAL,25,43,58.1,342,8,1,1,81.73,2,23,11.5,0,22,21.98
14,18890,Patrick Mahomes,KC,QB,5,JAX,22,38,57.9,313,8.2,0,2,62.72,4,13,3.2,1,20.8,20.82
15,14536,Russell Wilson,SEA,QB,5,LAR,13,21,61.9,198,9.4,3,0,132.54,0,0,0,0,19.9,19.92
16,19812,Sam Darnold,NYJ,QB,5,DEN,10,22,45.5,198,9,3,1,98.11,3,5,1.7,0,19.4,19.42
17,17922,Jared Goff,LAR,QB,5,SEA,23,32,71.9,321,10,1,2,88.15,5,15,3,0,19.3,19.34
18,13320,Cam Newton,CAR,QB,5,NYG,21,35,60,237,6.8,2,2,75.54,8,29,3.6,0,18.4,18.38
19,14252,Kirk Cousins,MIN,QB,5,PHI,30,37,81.1,301,8.1,1,0,109.57,5,1,0.2,0,18.1,18.14
20,6739,Alex Smith,WAS,QB,5,NO,23,39,59,275,7.1,0,1,69.93,2,7,3.5,1,15.7,15.7
21,732,Matt Ryan,ATL,QB,5,PIT,26,38,68.4,285,7.5,1,0,99.12,1,10,10,0,15.4,15.4
22,9038,Matthew Stafford,DET,QB,5,GB,14,26,53.8,183,7,2,0,101.92,1,-1,-1,0,15.2,15.22
23,16311,Derek Carr,OAK,QB,5,LAC,24,33,72.7,268,8.1,1,1,94,1,5,5,0,14.2,14.22
24,12841,Andy Dalton,CIN,QB,5,MIA,20,30,66.7,248,8.3,1,1,89.31,4,10,2.5,0,13.9,13.92
25,18055,Dak Prescott,DAL,QB,5,HOU,18,29,62.1,208,7.2,1,2,66.45,6,34,5.7,0,13.7,13.72
26,611,Joe Flacco,BAL,QB,5,CLE,29,56,51.8,298,5.3,0,1,59.97,2,13,6.5,0,12.2,12.22
27,19763,Josh Rosen,ARI,QB,5,SF,10,25,40,170,6.8,1,0,77.08,3,-3,-1,0,10.5,10.5
28,19801,Josh Allen,BUF,QB,5,TEN,10,19,52.6,82,4.3,0,1,42,4,19,4.8,1,10.2,10.18
29,13799,Ryan Tannehill,MIA,QB,5,CIN,20,35,57.1,185,5.3,1,2,57.44,3,17,5.7,0,10.1,10.1
30,19238,Taysom Hill,NO,QB,5,WAS,0,0,0,0,0,0,0,0,5,23,4.6,1,8.3,8.3
31,16763,Marcus Mariota,TEN,QB,5,BUF,14,26,53.8,129,5,0,1,51.6,2,10,5,0,5.2,5.16
32,4633,Matt Schaub,ATL,QB,5,PIT,5,7,71.4,20,2.9,0,0,74.11,0,0,0,0,1.1,1.1
33,19781,Lamar Jackson,BAL,QB,5,CLE,0,1,0,0,0,0,0,39.58,3,10,3.3,0,1,1
34,11422,Joe Webb,HOU,QB,5,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,19025,Joshua Dobbs,PIT,QB,5,ATL,0,0,0,0,0,0,0,0,1,-3,-3,0,-0.3,-0.3
35,16497,Teddy Bridgewater,NO,QB,5,WAS,0,0,0,0,0,0,0,0,3,-3,-1,0,-0.3,-0.3
