PassingAttempts,PassingRating,PlayerID,comp,comp%,def_rk,int,points,ru_att,ru_td,ru_yds,ru_yds/att,salary,td,yds,yds/att,h/a_encoded,surface_encoded,passingattempts_car,passingrating_car,playerid_car,comp_car,comp%_car,def_rk_car,int_car,points_car,ru_att_car,ru_td_car,ru_yds_car,ru_yds/att_car,salary_car,td_car,yds_car,yds/att_car,h/a_encoded_car,surface_encoded_car,year
1,79.17,16116,1,100.0,10,0,0.12,0,0,0,0.0,6000,0,3,3.0,1,1,1.0,79.17,16116.0,1.0,100.0,10.0,0.0,0.12,0.0,0.0,0.0,0.0,6000.0,0.0,3.0,3.0,1.0,1.0,2015
3,84.03,16116,2,66.7,28,0,0.76,0,0,0,0.0,5000,0,19,6.3,0,0,2.0,81.6,16116.0,1.5,83.35,19.0,0.0,0.44,0.0,0.0,0.0,0.0,5500.0,0.0,11.0,4.65,0.5,0.5,2015
32,90.62,16116,22,68.8,24,2,18.0,3,0,8,2.7,5000,2,280,8.8,1,1,12.0,84.61,16116.0,8.33,78.5,20.67,0.67,6.29,1.0,0.0,2.67,0.9,5333.33,0.67,100.67,6.03,0.67,0.67,2015
21,115.58,16116,15,71.4,16,0,11.88,2,0,2,1.0,3000,1,192,9.1,0,0,14.25,92.35,16116.0,10.0,76.72,19.5,0.5,7.69,1.25,0.0,2.5,0.92,4750.0,0.75,123.5,6.8,0.5,0.5,2015
35,87.8,16116,22,62.9,1,0,13.1,4,0,21,5.2,5100,1,200,5.7,0,0,18.4,91.44,16116.0,12.4,73.96,15.8,0.4,8.77,1.8,0.0,6.2,1.78,4820.0,0.8,138.8,6.58,0.4,0.4,2015
27,103.94,16116,17,63.0,19,0,14.6,3,0,2,0.7,5300,2,160,5.9,1,1,19.83,93.52,16116.0,13.17,72.13,16.33,0.33,9.74,2.0,0.0,5.5,1.6,4900.0,1.0,142.33,6.47,0.5,0.5,2015
23,140.49,2593,18,78.3,25,0,23.06,8,0,35,4.4,8600,3,189,8.2,0,0,23.0,140.49,2593.0,18.0,78.3,25.0,0.0,23.06,8.0,0.0,35.0,4.4,8600.0,3.0,189.0,8.2,0.0,0.0,2015
33,116.86,2593,25,75.8,2,0,22.26,6,0,23,3.8,7100,2,249,7.5,1,0,28.0,128.68,2593.0,21.5,77.05,13.5,0.0,22.66,7.0,0.0,29.0,4.1,7850.0,2.5,219.0,7.85,0.5,0.0,2015
35,138.45,2593,24,68.6,9,0,37.92,2,0,16,8.0,6000,5,333,9.5,1,0,30.33,131.93,2593.0,22.33,74.23,12.0,0.0,27.75,5.33,0.0,24.67,5.4,7233.33,3.33,257.0,8.4,0.67,0.0,2015
32,98.96,2593,22,68.8,16,0,16.26,3,0,33,11.0,7200,1,224,7.0,0,0,30.75,123.69,2593.0,22.25,72.88,13.0,0.0,24.88,4.75,0.0,26.75,6.8,7225.0,2.75,248.75,8.05,0.5,0.0,2015
