,Name,Week,Opponent,tar_car,rec_car,yds_car,td_car,fum_car,def_rk_car
0,AJ Derby,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
1,AJ Derby,9.0,OAK,1.0,0.0,0.0,0.0,0.0,24.0
2,AJ Derby,10.0,NO,2.0,1.0,11.0,0.0,0.0,18.5
3,AJ Derby,12.0,KC,2.67,2.0,21.67,0.0,0.0,14.0
4,AJ Derby,13.0,JAX,2.25,1.75,17.0,0.0,0.0,14.5
5,AJ Derby,14.0,TEN,2.8,2.4,25.0,0.0,0.2,14.6
6,AJ Derby,15.0,NE,3.33,2.67,26.67,0.0,0.17,13.5
7,AJ Derby,1.0,LAC,4.5,3.5,34.5,0.0,0.0,8.0
8,AJ Derby,2.0,DAL,3.33,2.33,23.0,0.0,0.0,12.33
9,AJ Derby,3.0,BUF,3.0,2.0,18.5,0.0,0.0,15.5
10,AJ Derby,4.0,OAK,3.6,2.4,29.8,0.2,0.0,17.6
11,AJ Derby,6.0,NYG,3.67,2.17,26.5,0.17,0.0,19.83
12,AJ Derby,7.0,LAC,4.14,2.71,32.14,0.14,0.14,18.14
13,AJ Derby,8.0,KC,4.12,2.62,30.75,0.25,0.12,16.75
14,AJ Derby,9.0,PHI,4.0,2.44,28.56,0.22,0.11,16.44
15,AJ Derby,10.0,NE,3.7,2.3,25.9,0.2,0.1,15.8
16,AJ Derby,16.0,KC,3.82,2.18,24.55,0.18,0.09,15.0
17,AJ Derby,17.0,BUF,3.83,2.08,23.25,0.17,0.08,15.83
18,AJ Derby,2.0,NYJ,3.0,1.0,14.0,0.5,0.0,13.5
19,Adam Shaheen,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
20,Adam Shaheen,3.0,PIT,1.0,1.0,2.0,1.0,0.0,4.0
21,Adam Shaheen,8.0,NO,1.0,0.5,1.0,0.5,0.0,3.0
22,Adam Shaheen,10.0,GB,1.33,1.0,13.67,0.33,0.0,3.67
23,Adam Shaheen,11.0,DET,2.0,1.75,20.5,0.5,0.0,6.75
24,Adam Shaheen,12.0,PHI,1.8,1.6,16.6,0.4,0.0,8.2
