Name,Team,year,Week,Opponent,def_rk,h/a_1,surface_0
Patrick Mahomes,KC,2018,9,CLE,12,0.0,1.0
Cam Newton,CAR,2018,9,TB,15,1.0,1.0
Deshaun Watson,HOU,2018,9,DEN,26,0.0,1.0
Kirk Cousins,MIN,2018,9,DET,20,1.0,0.0
Drew Brees,NO,2018,9,LAR,8,1.0,0.0
Jared Goff,LAR,2018,9,NO,21,0.0,0.0
Russell Wilson,SEA,2018,9,LAC,10,1.0,0.0
Mitchell Trubisky,CHI,2018,9,BUF,9,0.0,0.0
Ben Roethlisberger,PIT,2018,9,BAL,25,0.0,1.0
Matt Ryan,ATL,2018,9,WAS,11,0.0,1.0
Baker Mayfield,CLE,2018,9,KC,10,1.0,1.0
Matthew Stafford,DET,2018,9,MIN,3,0.0,0.0
Philip Rivers,LAC,2018,9,SEA,18,0.0,0.0
Ryan Fitzpatrick,TB,2018,9,CAR,13,0.0,1.0
Jameis Winston,TB,2018,9,CAR,13,0.0,1.0
Joe Flacco,BAL,2018,9,PIT,7,1.0,1.0
Ryan Tannehill,MIA,2018,9,NYJ,17,1.0,1.0
Alex Smith,WAS,2018,9,ATL,23,1.0,1.0
Brock Osweiler,MIA,2018,9,NYJ,17,1.0,1.0
Case Keenum,DEN,2018,9,HOU,1,1.0,1.0
Sam Darnold,NYJ,2018,9,MIA,27,0.0,1.0
Josh Allen,BUF,2018,9,CHI,4,1.0,0.0
Tyrod Taylor,CLE,2018,9,KC,10,1.0,1.0
Teddy Bridgewater,NO,2018,9,LAR,8,1.0,0.0
Joshua Dobbs,PIT,2018,9,BAL,25,0.0,1.0
Mason Rudolph,PIT,2018,9,BAL,25,0.0,1.0
Lamar Jackson,BAL,2018,9,PIT,7,1.0,1.0
Robert Griffin III,BAL,2018,9,PIT,7,1.0,1.0
Matt Cassel,DET,2018,9,MIN,3,0.0,0.0
Trevor Siemian,MIN,2018,9,DET,20,1.0,0.0
Matt Schaub,ATL,2018,9,WAS,11,0.0,1.0
Colt McCoy,WAS,2018,9,ATL,23,1.0,1.0
Brandon Weeden,HOU,2018,9,DEN,26,0.0,1.0
Sean Mannion,LAR,2018,9,NO,21,0.0,0.0
Derek Anderson,BUF,2018,9,CHI,4,1.0,0.0
Chase Daniel,CHI,2018,9,BUF,9,0.0,0.0
Chad Henne,KC,2018,9,CLE,12,0.0,1.0
Josh McCown,NYJ,2018,9,MIA,27,0.0,1.0
Geno Smith,LAC,2018,9,SEA,18,0.0,0.0
Brett Hundley,SEA,2018,9,LAC,10,1.0,0.0
Nathan Peterman,BUF,2018,9,CHI,4,1.0,0.0
Ryan Griffin,TB,2018,9,CAR,13,0.0,1.0
Taylor Heinicke,CAR,2018,9,TB,15,1.0,1.0
Drew Stanton,CLE,2018,9,KC,10,1.0,1.0
David Fales,MIA,2018,9,NYJ,17,1.0,1.0
Kyle Sloter,MIN,2018,9,DET,20,1.0,0.0
Joe Webb III,HOU,2018,9,DEN,26,0.0,1.0
Kevin Hogan,DEN,2018,9,HOU,1,1.0,1.0
Taysom Hill,NO,2018,9,LAR,8,1.0,0.0
