player,games,avg_points,wght_avg,sal_avg,val
Joe Flacco,44.0,18.03,18.47,4221.47,234.14
Matt Ryan,51.0,23.12,23.78,4579.84,198.09
Carson Palmer,37.0,19.89,20.3,4480.49,225.26
Aaron Rodgers,42.0,22.52,23.05,4838.86,214.87
Ben Roethlisberger,44.0,22.77,23.33,4831.82,212.2
Tony Romo,5.0,10.42,10.45,5187.71,497.86
Tom Brady,47.0,23.51,24.13,4691.98,199.57
Eli Manning,50.0,20.63,21.21,4902.54,237.64
Josh McCown,25.0,18.31,18.57,4430.84,241.99
Alex Smith,48.0,21.38,21.95,4664.91,218.19
Drew Brees,50.0,24.98,25.68,4545.57,181.97
Peyton Manning,9.0,11.59,11.65,4415.34,380.96
Philip Rivers,51.0,21.93,22.55,4258.32,194.18
Ryan Fitzpatrick,38.0,20.24,20.67,4540.52,224.33
Brian Hoyer,25.0,15.23,15.44,4760.09,312.55
Jay Cutler,34.0,15.44,15.73,4422.66,286.44
Matthew Stafford,51.0,22.36,23.0,4534.43,202.79
Sam Bradford,33.0,16.42,16.72,4439.35,270.36
Ryan Mallett,10.0,8.87,8.92,4601.29,518.75
Tyrod Taylor,46.0,20.19,20.71,4356.45,215.77
Andy Dalton,48.0,20.31,20.85,4502.3,221.68
Cam Newton,49.0,25.44,26.14,4337.91,170.52
Colin Kaepernick,18.0,17.68,17.86,4560.46,257.94
Nick Foles,20.0,11.32,11.45,4490.01,396.64
Ryan Tannehill,32.0,17.19,17.5,4524.45,263.2
Andrew Luck,25.0,21.16,21.46,4441.67,209.91
Kirk Cousins,51.0,23.71,24.38,4168.1,175.8
Russell Wilson,51.0,23.44,24.11,4436.11,189.25
Matt McGloin,5.0,3.26,3.27,4362.71,1338.25
Johnny Manziel,9.0,11.32,11.38,4050.75,357.84
Blake Bortles,51.0,22.45,23.09,4288.05,191.0
Derek Carr,49.0,21.36,21.94,4346.24,203.48
Teddy Bridgewater,16.0,14.17,14.3,4544.8,320.73
Jameis Winston,45.0,19.7,20.19,4434.53,225.1
Marcus Mariota,45.0,20.22,20.73,4509.54,223.02
Jimmy Clausen,4.0,8.45,8.47,4819.65,570.37
Brandon Weeden,6.0,10.35,10.38,4820.25,465.72
Kellen Clemens,2.0,3.56,3.56,4167.3,1170.59
Luke McCown,2.0,7.21,7.22,4584.35,635.83
Michael Vick,4.0,7.24,7.26,4075.5,562.91
Matt Hasselbeck,8.0,11.37,11.42,4328.67,380.71
Drew Stanton,12.0,6.87,6.92,4768.7,694.13
Dan Orlovsky,2.0,5.3,5.31,3935.61,742.57
EJ Manuel,9.0,7.87,7.91,4439.95,564.16
Landry Jones,8.0,9.27,9.31,4216.96,454.9
Zach Mettenberger,6.0,7.87,7.9,3861.86,490.71
Matt Moore,9.0,11.0,11.06,4853.14,441.19
Matt Cassel,13.0,9.09,9.16,4510.47,496.2
Chase Daniel,2.0,0.59,0.59,4120.96,6984.68
Geno Smith,5.0,7.96,7.98,4273.42,536.86
Shaun Hill,3.0,3.59,3.6,4198.0,1169.36
Blaine Gabbert,21.0,13.88,14.04,4256.32,306.65
Mark Sanchez,5.0,7.5,7.52,5024.79,669.97
TJ Yates,8.0,7.67,7.7,3837.27,500.3
Brock Osweiler,28.0,14.91,15.14,4434.81,297.44
Case Keenum,34.0,16.21,16.52,4495.5,277.33
Matt Schaub,4.0,8.11,8.13,4580.18,564.76
Austin Davis,3.0,6.48,6.49,3750.38,578.76
AJ McCarron,8.0,7.79,7.82,3693.68,474.16
Sean Mannion,3.0,2.64,2.64,3513.91,1331.03
Charlie Whitehurst,4.0,4.04,4.05,3795.22,939.41
Tarvaris Jackson,2.0,0.69,0.69,5060.61,7334.22
Derek Anderson,6.0,4.9,4.92,4468.17,911.87
Kellen Moore,3.0,12.33,12.35,3855.51,312.69
Scott Tolzien,3.0,4.54,4.55,4259.48,938.21
Ryan Nassib,1.0,5.9,5.9,4285.86,726.42
BJ Daniels,1.0,0.9,0.9,4714.43,5238.26
Josh Freeman,1.0,9.88,9.89,5314.43,537.9
Colt McCoy,1.0,7.7,7.7,0.14,0.02
Ryan Lindley,1.0,5.56,5.56,4628.71,832.5
Alex Tanney,1.0,6.97,6.97,0.14,0.02
Jimmy Garoppolo,14.0,12.86,12.96,4015.46,312.24
Robert Griffin III,5.0,11.71,11.74,4480.83,382.65
Trevor Siemian,25.0,14.99,15.2,4418.04,294.73
Carson Wentz,30.0,18.79,19.1,4211.44,224.13
Dak Prescott,35.0,18.43,18.79,4387.03,238.04
Jacoby Brissett,20.0,12.97,13.11,4403.26,339.5
Cody Kessler,12.0,8.75,8.81,4295.57,490.92
Trevone Boykin,2.0,3.43,3.43,3981.94,1160.92
Paxton Lynch,4.0,9.31,9.33,4670.2,501.63
Matt Barkley,6.0,12.89,12.93,4641.55,360.09
Kevin Hogan,6.0,9.38,9.41,3970.02,423.24
Mike Glennon,5.0,9.12,9.15,4527.02,496.38
Bryce Petty,8.0,7.46,7.49,4260.17,571.07
Brett Hundley,13.0,11.01,11.09,4514.98,410.08
Jared Goff,25.0,18.87,19.13,4279.63,226.8
Tom Savage,10.0,8.65,8.7,4360.7,504.13
David Fales,3.0,6.75,6.76,3759.03,556.89
Connor Cook,1.0,7.0,7.0,4285.86,612.27
Cardale Jones,1.0,2.49,2.49,4285.86,1721.23
Deshaun Watson,11.0,22.04,22.18,4194.31,190.3
Deshone Kizer,16.0,13.06,13.18,4193.91,321.13
Mitch Trubisky,16.0,16.31,16.46,4474.2,274.32
CJ Beathard,7.0,14.15,14.21,4133.01,292.09
Cooper Rush,2.0,0.89,0.89,4844.7,5443.48
Nathan Peterman,4.0,4.07,4.08,4217.32,1036.2
Joe Webb,2.0,2.46,2.46,4281.94,1740.63
Jake Rudock,1.0,0.11,0.11,4285.86,38962.36
Taylor Heinicke,1.0,0.66,0.66,5828.71,8831.38
Nate Sudfeld,1.0,6.62,6.62,3771.57,569.72
Joe Callahan,1.0,0.52,0.52,3771.57,7253.02
Patrick Mahomes,5.0,22.33,22.39,3038.42,136.07
Lamar Jackson,1.0,4.31,4.31,3857.29,894.96
Josh Allen,4.0,11.82,11.85,3860.9,326.64
Sam Darnold,4.0,10.51,10.53,3798.97,361.46
Josh Rosen,2.0,6.51,6.52,4013.01,616.44
Baker Mayfield,2.0,10.86,10.87,4321.59,397.94
Taysom Hill,1.0,3.4,3.4,3428.71,1008.44
