Rank,Name,Team,Position,Played,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Alvin Kamara,NO,RB,1,0,0,0,29,2,9,112,1,0,0,0,0,46.1,46.1
2,Tyreek Hill,KC,WR,1,0,0,0,4,0,7,169,2,0,0,0,0,45.3,45.3
3,Ryan Fitzpatrick,TB,QB,1,417,4,0,36,1,0,0,0,0,0,0,0,45.3,45.28
4,Michael Thomas,NO,WR,1,0,0,0,0,0,16,180,1,0,0,0,0,42,42
5,James Conner,PIT,RB,1,0,0,0,135,2,5,57,0,0,0,0,0,38.2,38.2
6,DeSean Jackson,TB,WR,1,0,0,0,0,0,5,146,2,0,0,0,0,34.6,34.6
7,Drew Brees,NO,QB,1,439,3,0,0,0,0,0,0,0,0,0,0,34.6,34.56
8,Philip Rivers,LAC,QB,1,424,3,1,0,0,0,0,0,0,0,0,0,33,32.96
9,Emmanuel Sanders,DEN,WR,1,0,0,0,0,0,10,135,1,0,0,0,0,32.5,32.5
10,Randall Cobb,GB,WR,1,0,0,0,0,0,9,142,1,0,0,0,0,32.2,32.2
11,Julio Jones,ATL,WR,1,0,0,0,11,0,10,169,0,0,0,0,0,31,31
12,Mike Evans,TB,WR,1,0,0,0,0,0,7,147,1,0,0,0,0,30.7,30.7
13,Melvin Gordon,LAC,RB,1,0,0,0,64,0,9,102,0,0,0,0,0,30.6,30.6
14,Jared Cook,OAK,TE,1,0,0,0,0,0,9,180,0,0,0,0,0,30,30
15,Kenny Stills,MIA,WR,1,0,0,0,0,0,4,106,2,0,0,0,0,29.6,29.6
16,Patrick Mahomes,KC,QB,1,256,4,0,21,0,0,0,0,0,0,0,0,28.3,28.34
17,Keenan Allen,LAC,WR,1,0,0,0,0,0,8,108,1,0,0,0,0,27.8,27.8
18,Rob Gronkowski,NE,TE,1,0,0,0,0,0,7,123,1,0,0,0,0,27.3,27.3
19,Todd Gurley,LAR,RB,1,0,0,0,108,0,3,39,1,0,0,0,0,26.7,26.7
20,New York Jets,NYJ,DST,1,0,0,0,0,0,0,0,0,0,5,0,0,26,26
21,Joe Mixon,CIN,RB,1,0,0,0,95,1,5,54,0,0,0,0,0,25.9,25.9
22,Isaiah Crowell,NYJ,RB,1,0,0,0,102,2,0,0,0,0,0,0,0,25.2,25.2
23,Case Keenum,DEN,QB,1,329,3,3,0,0,0,0,0,0,0,0,0,25.2,25.16
24,Odell Beckham Jr,NYG,WR,1,0,0,0,-1,0,11,111,0,0,0,0,0,25,25
25,Aaron Rodgers,GB,QB,1,286,3,0,15,0,0,0,0,0,0,0,0,24.9,24.94
26,Chris Thompson,WAS,RB,1,0,0,0,65,0,6,63,1,0,0,0,0,24.8,24.8
27,Tyrod Taylor,CLE,QB,1,197,1,1,77,1,0,0,0,0,0,0,0,24.6,24.58
28,Antonio Brown,PIT,WR,1,0,0,0,0,0,9,93,1,0,0,0,0,24.3,24.3
29,Saquon Barkley,NYG,RB,1,0,0,0,106,1,2,22,0,0,0,0,0,23.8,23.8
30,Adrian Peterson,WAS,RB,1,0,0,0,96,1,2,70,0,0,0,0,0,23.6,23.6
30,Austin Ekeler,LAC,RB,1,0,0,0,39,0,5,87,1,0,0,0,0,23.6,23.6
32,Andrew Luck,IND,QB,1,319,2,1,7,0,0,0,0,0,0,0,0,23.5,23.46
33,Will Dissly,SEA,TE,1,0,0,0,0,0,3,105,1,0,0,0,0,22.5,22.5
34,Russell Wilson,SEA,QB,1,298,3,2,5,0,0,0,0,0,0,0,0,22.4,22.42
35,Tom Brady,NE,QB,1,277,3,1,2,0,0,0,0,0,0,0,0,22.3,22.28
36,Dion Lewis,TEN,RB,1,0,0,0,75,1,5,35,0,0,0,0,0,22,22
37,Joe Flacco,BAL,QB,1,236,3,0,3,0,0,0,0,0,0,0,0,21.7,21.74
38,Kenny Golladay,DET,WR,1,0,0,0,0,0,7,114,0,0,0,1,1,21.4,21.4
39,Golden Tate,DET,WR,1,0,0,0,0,0,7,79,1,0,0,0,0,20.9,20.9
40,Jarvis Landry,CLE,WR,1,0,0,0,0,0,7,106,0,0,0,0,0,20.6,20.6
41,Kirk Cousins,MIN,QB,1,244,2,0,26,0,0,0,0,0,0,0,0,20.4,20.36
42,Ted Ginn,NO,WR,1,0,0,0,5,0,5,68,1,0,0,0,0,20.3,20.3
43,Jay Ajayi,PHI,RB,1,0,0,0,62,2,0,0,0,0,0,0,0,20.2,20.2
43,AJ Green,CIN,WR,1,0,0,0,0,0,6,92,1,0,0,0,0,20.2,20.2
45,Juju Smith-Schuster,PIT,WR,1,0,0,0,0,0,5,119,0,0,0,0,0,19.9,19.9
46,Davante Adams,GB,WR,1,0,0,0,0,0,5,88,1,0,0,0,0,19.8,19.8
47,Alex Smith,WAS,QB,1,255,2,0,14,0,0,0,0,0,0,0,0,19.6,19.6
47,Phillip Dorsett,NE,WR,1,0,0,0,0,0,7,66,1,0,0,0,0,19.6,19.6
49,Adam Thielen,MIN,WR,1,0,0,0,0,0,6,102,0,0,0,0,0,19.2,19.2
50,Demaryius Thomas,DEN,WR,1,0,0,0,0,0,6,63,1,0,0,0,0,18.3,18.3
50,Quincy Enunwa,NYJ,WR,1,0,0,0,0,0,6,63,1,0,0,0,0,18.3,18.3
52,Cam Newton,CAR,QB,1,161,0,0,58,1,0,0,0,0,0,0,0,18.2,18.24
53,Phillip Lindsay,DEN,RB,1,0,0,0,71,0,2,31,1,0,0,0,0,18.2,18.2
54,Minnesota Vikings,MIN,DST,1,0,0,0,0,0,0,0,0,3,3,1,1,18,18
55,Geronimo Allison,GB,WR,1,0,0,0,0,0,5,69,1,0,0,0,0,17.9,17.9
56,Cooper Kupp,LAR,WR,1,0,0,0,16,0,5,52,1,0,0,0,0,17.8,17.8
57,David Johnson,ARI,RB,1,0,0,0,37,1,5,30,0,0,0,0,0,17.7,17.7
58,Ezekiel Elliott,DAL,RB,1,0,0,0,69,1,3,17,0,0,0,0,0,17.6,17.6
59,Andy Dalton,CIN,QB,1,243,2,1,8,0,0,0,0,0,0,0,0,17.5,17.52
60,Jared Goff,LAR,QB,1,233,2,0,-1,0,0,0,0,0,0,0,0,17.2,17.22
61,Baltimore Ravens,BAL,DST,1,0,0,0,0,0,0,0,0,6,2,0,0,17,17
61,Los Angeles Rams,LAR,DST,1,0,0,0,0,0,0,0,0,1,3,0,0,17,17
61,Ben Roethlisberger,PIT,QB,1,335,1,3,16,0,0,0,0,0,0,0,0,17,17
64,Jalen Richard,OAK,RB,1,0,0,0,24,0,9,55,0,0,0,0,0,16.9,16.9
65,Cleveland Browns,CLE,DST,1,0,0,0,0,0,0,0,0,4,3,3,3,16,16
66,TJ Yeldon,JAX,RB,1,0,0,0,51,0,3,18,1,0,0,0,0,15.9,15.9
67,Jordan Howard,CHI,RB,1,0,0,0,82,0,5,25,0,0,0,0,0,15.7,15.7
68,Ryan Tannehill,MIA,QB,1,230,2,2,4,0,0,0,0,0,0,0,0,15.6,15.6
68,James White,NE,RB,1,0,0,0,18,0,4,38,1,0,0,0,0,15.6,15.6
68,T.Y. Hilton,IND,WR,1,0,0,0,0,0,5,46,1,0,0,0,0,15.6,15.6
71,Eric Ebron,IND,TE,1,0,0,0,0,0,4,51,1,0,0,0,0,15.1,15.1
71,DeAndre Hopkins,HOU,WR,1,0,0,0,-7,0,8,78,0,0,0,0,0,15.1,15.1
73,Mitch Trubisky,CHI,QB,1,171,0,0,32,1,0,0,0,0,0,0,0,15,15.04
74,Tyler Lockett,SEA,WR,1,0,0,0,0,0,3,59,1,0,0,0,0,14.9,14.9
74,Willie Snead,BAL,WR,1,0,0,0,0,0,4,49,1,0,0,0,0,14.9,14.9
76,Sam Darnold,NYJ,QB,1,198,2,1,-1,0,0,0,0,0,0,0,0,14.8,14.82
77,Jordan Reed,WAS,TE,1,0,0,0,0,0,4,48,1,0,0,0,0,14.8,14.8
77,Jakeem Grant,MIA,WR,1,0,0,0,0,0,5,38,0,0,0,0,0,14.8,14.8
79,Larry Fitzgerald,ARI,WR,1,0,0,0,0,0,7,76,0,0,0,0,0,14.6,14.6
80,Dalvin Cook,MIN,RB,1,0,0,0,40,0,6,55,0,0,0,0,0,14.5,14.5
80,Christian McCaffrey,CAR,RB,1,0,0,0,50,0,6,45,0,0,0,0,0,14.5,14.5
82,Brandin Cooks,LAR,WR,1,0,0,0,6,0,5,87,0,0,0,0,0,14.3,14.3
82,Cole Beasley,DAL,WR,1,0,0,0,0,0,7,73,0,0,0,0,0,14.3,14.3
84,Blake Bortles,JAX,QB,1,176,1,1,42,0,0,0,0,0,0,0,0,14.2,14.24
85,Javorius Allen,BAL,RB,1,0,0,0,17,1,5,15,0,0,0,0,0,14.2,14.2
86,Dante Pettis,SF,WR,1,0,0,0,0,0,2,61,1,0,0,0,0,14.1,14.1
86,Stefon Diggs,MIN,WR,1,0,0,0,8,0,3,43,1,0,0,0,0,14.1,14.1
88,Chicago Bears,CHI,DST,1,0,0,0,0,0,0,0,0,4,1,2,1,14,14
88,George Kittle,SF,TE,1,0,0,0,0,0,5,90,0,0,0,0,0,14,14
90,Ryan Grant,IND,WR,1,0,0,0,0,0,8,59,0,0,0,0,0,13.9,13.9
91,Bruce Ellington,HOU,WR,1,0,0,0,0,0,4,37,1,0,0,0,0,13.7,13.7
92,Brandon Marshall,SEA,WR,1,0,0,0,0,0,3,46,1,0,0,0,0,13.6,13.6
93,Carlos Hyde,CLE,RB,1,0,0,0,62,1,1,3,0,0,0,0,0,13.5,13.5
93,John Brown,BAL,WR,1,0,0,0,1,0,3,44,1,0,0,0,0,13.5,13.5
93,Nelson Agholor,PHI,WR,1,15,0,0,16,0,8,33,0,0,0,0,0,13.5,13.5
96,Chris Godwin,TB,WR,1,0,0,0,0,0,3,41,1,0,0,0,0,13.1,13.1
96,Mike Williams,LAC,WR,1,0,0,0,0,0,5,81,0,0,0,0,0,13.1,13.1
98,Deshaun Watson,HOU,QB,1,176,1,1,40,0,0,0,0,0,0,0,0,13,13.04
99,Jacksonville Jaguars,JAX,DST,1,0,0,0,0,0,0,0,0,2,1,0,1,13,13
99,Miami Dolphins,MIA,DST,1,0,0,0,0,0,0,0,0,0,3,0,0,13,13
99,Washington Redskins,WAS,DST,1,0,0,0,0,0,0,0,0,2,1,1,1,13,13
102,Marshawn Lynch,OAK,RB,1,0,0,0,41,1,2,8,0,0,0,0,0,12.9,12.9
103,Michael Crabtree,BAL,WR,1,0,0,0,0,0,3,38,1,0,0,0,0,12.8,12.8
104,Derek Carr,OAK,QB,1,303,0,3,1,0,0,0,0,0,0,0,0,12.2,12.22
105,Corey Davis,TEN,WR,1,0,0,0,0,0,6,62,0,0,0,0,0,12.2,12.2
105,Nyheim Hines,IND,RB,1,0,0,0,19,0,7,33,0,0,0,0,0,12.2,12.2
107,Jimmy Garoppolo,SF,QB,1,261,1,3,6,0,0,0,0,0,0,0,0,12,12.04
107,Matthew Stafford,DET,QB,1,286,1,4,6,0,0,0,0,0,0,0,0,12,12.04
109,Cincinnati Bengals,CIN,DST,1,0,0,0,0,0,0,0,0,2,1,1,1,12,12
109,Carolina Panthers,CAR,DST,1,0,0,0,0,0,0,0,0,6,0,1,1,12,12
109,Denver Broncos,DEN,DST,1,0,0,0,0,0,0,0,0,6,2,2,1,12,12
