,Name,Week,tar_ma,rec_ma,yds_ma,td_ma,fum_ma,def_rk_ma,year
0,AJ Derby,1,0.0,0.0,0.0,0.0,0.0,0.0,2017
1,AJ Derby,2,0.0,0.0,0.0,0.0,0.0,0.0,4035
2,AJ Derby,3,0.0,0.0,0.0,0.0,0.0,0.0,4035
3,AJ Derby,4,0.0,0.0,0.0,0.0,0.0,0.0,2017
4,AJ Derby,6,3.0,2.0,28.5,0.25,0.0,20.0,2017
5,AJ Derby,7,3.2,1.8,24.8,0.2,0.0,22.2,2017
6,AJ Derby,8,3.8333333333333335,2.5,31.666666666666668,0.16666666666666666,0.16666666666666666,19.833333333333332,2017
7,AJ Derby,9,3.857142857142857,2.4285714285714284,30.142857142857142,0.2857142857142857,0.14285714285714285,18.0,4033
8,AJ Derby,10,3.75,2.25,27.75,0.25,0.125,17.5,4033
9,AJ Derby,12,0.0,0.0,0.0,0.0,0.0,0.0,2016
10,AJ Derby,13,0.0,0.0,0.0,0.0,0.0,0.0,2016
11,AJ Derby,14,2.25,1.75,17.0,0.0,0.0,14.5,2016
12,AJ Derby,15,2.8,2.4,25.0,0.0,0.2,14.6,2016
13,AJ Derby,16,3.4444444444444446,2.111111111111111,24.88888888888889,0.2222222222222222,0.1111111111111111,16.666666666666668,2017
14,AJ Derby,17,3.6,2.0,23.5,0.2,0.1,15.7,2017
15,Adam Shaheen,3,0.0,0.0,0.0,0.0,0.0,0.0,2017
16,Adam Shaheen,8,0.0,0.0,0.0,0.0,0.0,0.0,2017
17,Adam Shaheen,10,0.0,0.0,0.0,0.0,0.0,0.0,2017
18,Adam Shaheen,11,0.0,0.0,0.0,0.0,0.0,0.0,2017
19,Adam Shaheen,12,2.0,1.75,20.5,0.5,0.0,6.75,2017
20,Adam Shaheen,14,1.8,1.6,16.6,0.4,0.0,8.2,2017
21,Alex Ellis,14,0.0,0.0,0.0,0.0,0.0,0.0,2016
22,Alex Ellis,15,0.0,0.0,0.0,0.0,0.0,0.0,2016
23,Alex Ellis,16,0.0,0.0,0.0,0.0,0.0,0.0,2016
24,Alex Smith,16,0.0,0.0,0.0,0.0,0.0,0.0,2015
25,Alex Smith,17,0.0,0.0,0.0,0.0,0.0,0.0,2015
26,Andrew Quarless,3,0.0,0.0,0.0,0.0,0.0,0.0,2015
27,Andrew Quarless,16,0.0,0.0,0.0,0.0,0.0,0.0,2015
28,Andrew Quarless,17,0.0,0.0,0.0,0.0,0.0,0.0,2015
29,Anthony Fasano,1,0.0,0.0,0.0,0.0,0.0,0.0,2015
30,Anthony Fasano,2,0.0,0.0,0.0,0.0,0.0,0.0,4031
31,Anthony Fasano,3,0.0,0.0,0.0,0.0,0.0,0.0,2015
32,Anthony Fasano,4,0.0,0.0,0.0,0.0,0.0,0.0,2016
33,Anthony Fasano,5,0.0,0.0,0.0,0.0,0.0,0.0,6048
34,Anthony Fasano,6,2.75,1.75,32.0,0.25,0.0,14.5,4031
35,Anthony Fasano,7,4.3,2.55,32.3,0.45,0.0,34.5,6048
36,Anthony Fasano,8,3.0,2.0,25.0,0.16666666666666666,0.0,15.666666666666666,4032
37,Anthony Fasano,9,4.314285714285715,2.6571428571428575,29.914285714285715,0.34285714285714286,0.0,36.65714285714286,6048
38,Anthony Fasano,10,4.25,2.8333333333333335,31.5,0.41666666666666663,0.0,37.16666666666667,4031
39,Anthony Fasano,11,2.888888888888889,1.8888888888888888,23.444444444444443,0.2222222222222222,0.0,16.444444444444443,2015
40,Anthony Fasano,12,4.228571428571429,2.757142857142857,30.214285714285715,0.4857142857142857,0.0,37.885714285714286,4031
41,Anthony Fasano,13,2.25,1.75,11.25,0.25,0.0,22.75,2017
42,Anthony Fasano,14,6.102272727272727,4.25909090909091,44.00454545454545,0.6318181818181818,0.0,61.60227272727273,6048
43,Anthony Fasano,15,4.416666666666667,3.25,35.75,0.3333333333333333,0.0,39.083333333333336,4032
44,Anthony Fasano,16,4.136752136752137,2.623931623931624,28.504273504273506,0.37606837606837606,0.0,35.35042735042735,4031
45,Anthony Fasano,17,1.8571428571428572,1.5714285714285714,15.142857142857142,0.14285714285714285,0.0,22.142857142857142,2017
46,Antonio Gates,1,0.0,0.0,0.0,0.0,0.0,0.0,6051
47,Antonio Gates,2,0.0,0.0,0.0,0.0,0.0,0.0,6051
48,Antonio Gates,3,0.0,0.0,0.0,0.0,0.0,0.0,4035
49,Antonio Gates,4,0.0,0.0,0.0,0.0,0.0,0.0,4035
50,Antonio Gates,5,4.25,2.25,19.0,0.25,0.0,20.5,6048
51,Antonio Gates,6,4.0,2.2,19.8,0.2,0.0,22.6,6048
52,Antonio Gates,7,8.5,5.0,39.41666666666667,0.6666666666666666,0.25,39.16666666666667,4033
53,Antonio Gates,8,9.142857142857142,5.257142857142857,40.8,0.5428571428571429,0.2,42.0,6048
54,Antonio Gates,9,6.5,3.5,25.333333333333332,0.5,0.16666666666666666,18.166666666666668,4031
55,Antonio Gates,10,9.857142857142858,5.589285714285714,50.42857142857143,0.6964285714285714,0.14285714285714285,39.964285714285715,4033
56,Antonio Gates,11,13.63888888888889,8.777777777777779,94.33333333333333,0.6111111111111112,0.0,35.0,4032
57,Antonio Gates,12,12.0,7.4,78.3,0.5,0.0,33.0,4032
58,Antonio Gates,13,18.518939393939394,10.704545454545455,111.4469696969697,1.3825757575757573,0.125,54.3219696969697,6048
59,Antonio Gates,14,18.325396825396822,10.932539682539682,111.39285714285715,1.2103174603174602,0.1111111111111111,55.19444444444444,6048
60,Antonio Gates,15,18.317307692307693,10.986538461538462,114.69423076923077,1.0769230769230769,0.1,55.01346153846154,6048
61,Antonio Gates,16,17.926406926406926,10.731601731601732,114.77272727272728,1.0418470418470418,0.09090909090909091,53.640692640692635,6048
62,Antonio Gates,17,18.15,11.033333333333335,118.68333333333334,1.1,0.08333333333333333,56.36666666666666,6048
63,Antony Auclair,4,0.0,0.0,0.0,0.0,0.0,0.0,2018
64,Antony Auclair,13,0.0,0.0,0.0,0.0,0.0,0.0,2017
65,Antony Auclair,15,0.0,0.0,0.0,0.0,0.0,0.0,2017
66,Asante Cleveland,12,0.0,0.0,0.0,0.0,0.0,0.0,2015
67,Austin Hooper,1,0.0,0.0,0.0,0.0,0.0,0.0,6051
68,Austin Hooper,2,0.0,0.0,0.0,0.0,0.0,0.0,6051
69,Austin Hooper,3,0.0,0.0,0.0,0.0,0.0,0.0,4035
70,Austin Hooper,4,0.0,0.0,0.0,0.0,0.0,0.0,6051
71,Austin Hooper,5,0.0,0.0,0.0,0.0,0.0,0.0,2016
72,Austin Hooper,6,3.25,2.5,48.5,0.25,0.0,14.5,2017
73,Austin Hooper,7,4.4,3.4,48.4,0.2,0.0,18.0,2017
74,Austin Hooper,8,5.333333333333334,4.5,79.83333333333334,0.41666666666666663,0.0,37.91666666666667,4033
75,Austin Hooper,9,6.342857142857143,5.342857142857143,81.14285714285714,0.4857142857142857,0.0,38.628571428571426,4033
76,Austin Hooper,10,7.208333333333334,5.458333333333334,81.54166666666666,0.5833333333333333,0.0,36.0,4033
77,Austin Hooper,11,4.555555555555555,3.4444444444444446,42.22222222222222,0.3333333333333333,0.0,16.555555555555557,2017
78,Austin Hooper,12,7.157142857142857,5.442857142857143,73.47142857142856,0.5857142857142856,0.0,33.22857142857143,4033
79,Austin Hooper,13,7.113636363636363,5.397727272727273,70.0340909090909,0.5227272727272727,0.0,30.011363636363637,4033
80,Austin Hooper,14,6.888888888888888,5.138888888888889,65.05555555555556,0.4722222222222222,0.0,27.72222222222222,4033
81,Austin Hooper,15,6.907692307692308,4.953846153846154,61.661538461538456,0.4307692307692308,0.0,26.115384615384613,4033
82,Austin Hooper,16,4.142857142857143,3.0714285714285716,33.785714285714285,0.21428571428571427,0.0,11.928571428571429,2017
83,Austin Hooper,17,4.133333333333334,3.066666666666667,32.733333333333334,0.2,0.0,11.266666666666667,2017
84,Austin Seferian-Jenkins,1,0.0,0.0,0.0,0.0,0.0,0.0,6049
85,Austin Seferian-Jenkins,2,0.0,0.0,0.0,0.0,0.0,0.0,6049
86,Austin Seferian-Jenkins,3,0.0,0.0,0.0,0.0,0.0,0.0,4035
87,Austin Seferian-Jenkins,4,0.0,0.0,0.0,0.0,0.0,0.0,4035
88,Austin Seferian-Jenkins,5,0.0,0.0,0.0,0.0,0.0,0.0,4033
89,Austin Seferian-Jenkins,6,0.0,0.0,0.0,0.0,0.0,0.0,2017
90,Austin Seferian-Jenkins,7,7.25,5.75,38.0,0.5,0.25,20.75,2017
91,Austin Seferian-Jenkins,8,6.8,5.2,34.6,0.6,0.2,23.0,2017
92,Austin Seferian-Jenkins,9,6.5,5.166666666666667,33.5,0.5,0.16666666666666666,21.333333333333332,4033
93,Austin Seferian-Jenkins,10,5.857142857142857,4.714285714285714,31.571428571428573,0.42857142857142855,0.14285714285714285,21.857142857142858,2017
94,Austin Seferian-Jenkins,12,7.75,6.125,51.25,0.625,0.125,36.75,4033
95,Austin Seferian-Jenkins,13,7.933333333333334,5.7555555555555555,49.0,0.5333333333333333,0.1111111111111111,33.4,6048
96,Austin Seferian-Jenkins,14,8.166666666666666,5.633333333333333,48.7,0.4666666666666667,0.1,33.56666666666666,6048
97,Austin Seferian-Jenkins,15,13.603896103896105,8.821428571428571,98.7564935064935,0.9155844155844155,0.09090909090909091,64.10714285714286,6048
98,Austin Seferian-Jenkins,16,13.35,8.533333333333333,91.125,0.975,0.08333333333333333,63.141666666666666,6048
99,Austin Seferian-Jenkins,17,5.333333333333333,3.0,48.333333333333336,0.6666666666666666,0.0,26.0,2015
100,Austin Traylor,11,0.0,0.0,0.0,0.0,0.0,0.0,2017
101,Austin Traylor,12,0.0,0.0,0.0,0.0,0.0,0.0,2017
102,Austin Traylor,13,0.0,0.0,0.0,0.0,0.0,0.0,2017
