Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,15138,Eddie Lacy,GB,RB,1,CHI,null,null,7500,20.6
2,7969,Jamaal Charles,KC,RB,2,DEN,1,8,7600,20.0
3,7969,Jamaal Charles,KC,RB,1,HOU,null,null,7900,18.9
3,13124,DeMarco Murray,PHI,RB,1,ATL,null,null,6700,18.9
5,13124,DeMarco Murray,PHI,RB,2,DAL,12,17,7000,18.8
6,12386,Marshawn Lynch,SEA,RB,1,LAR,null,null,7300,18.3
6,4807,Adrian Peterson,MIN,RB,1,SF,null,null,7700,18.3
8,13791,Lamar Miller,MIA,RB,1,WAS,null,null,5500,18.2
9,13337,Mark Ingram,NO,RB,2,TB,29,22,5900,18.0
10,12386,Marshawn Lynch,SEA,RB,2,GB,20,23,7200,17.9
10,2699,Matt Forte,CHI,RB,2,ARI,18,19,7700,17.9
12,16112,Jeremy Hill,CIN,RB,2,LAC,14,29,7400,17.7
12,15020,CJ Anderson,DEN,RB,1,BAL,null,null,7000,17.7
14,15138,Eddie Lacy,GB,RB,2,SEA,17,8,7200,17.4
14,15020,CJ Anderson,DEN,RB,2,KC,23,9,6700,17.4
16,16815,Ameer Abdullah,DET,RB,2,MIN,13,31,4500,17.1
17,16112,Jeremy Hill,CIN,RB,1,OAK,null,null,7100,16.9
18,2699,Matt Forte,CHI,RB,1,GB,null,null,7800,16.2
19,16668,Carlos Hyde,SF,RB,2,PIT,30,12,5100,14.7
20,12296,LeGarrette Blount,NE,RB,2,BUF,11,2,5000,14.2
21,16834,Tevin Coleman,ATL,RB,1,PHI,null,null,4800,13.8
22,7580,DeAngelo Williams,PIT,RB,2,SF,2,9,5300,12.4
23,9369,Justin Forsett,BAL,RB,1,DEN,null,null,6200,12.2
23,15207,Benjamin Cunningham,LAR,RB,1,SEA,null,null,3000,12.2
25,4807,Adrian Peterson,MIN,RB,2,DET,32,24,7700,12.1
26,11256,Ryan Mathews,PHI,RB,2,DAL,12,17,3600,12.0
27,9369,Justin Forsett,BAL,RB,2,OAK,28,28,6200,11.8
28,13791,Lamar Miller,MIA,RB,2,JAX,6,7,5500,11.2
29,11932,LeSean McCoy,BUF,RB,1,IND,null,null,7200,11.1
30,15224,Andre Ellington,ARI,RB,1,NO,null,null,6400,10.6
30,15071,Latavius Murray,OAK,RB,2,BAL,5,5,5800,10.6
32,16776,Melvin Gordon,LAC,RB,2,CIN,7,27,5000,10.5
33,13337,Mark Ingram,NO,RB,1,ARI,null,null,5600,10.3
34,15071,Latavius Murray,OAK,RB,1,CIN,null,null,5700,10.1
34,8649,Rashad Jennings,NYG,RB,1,DAL,null,null,5100,10.1
36,11932,LeSean McCoy,BUF,RB,2,NE,26,18,6600,9.5
37,5451,Jonathan Stewart,CAR,RB,1,JAX,null,null,5800,9.3
37,16797,TJ Yeldon,JAX,RB,1,CAR,null,null,5500,9.3
37,12323,Joique Bell,DET,RB,1,LAC,null,null,5200,9.3
37,5451,Jonathan Stewart,CAR,RB,2,HOU,24,20,5500,9.3
37,14385,Doug Martin,TB,RB,2,NO,31,26,5600,9.3
37,5820,Frank Gore,IND,RB,2,NYJ,2,1,4800,9.3
43,16776,Melvin Gordon,LAC,RB,1,DET,null,null,5500,9.2
44,14916,Giovani Bernard,CIN,RB,2,LAC,14,29,4500,9.1
45,12239,Chris Ivory,NYJ,RB,1,CLE,null,null,4100,9.0
46,7580,DeAngelo Williams,PIT,RB,1,NE,null,null,5100,8.9
46,16834,Tevin Coleman,ATL,RB,2,NYG,27,21,4500,8.9
46,16797,TJ Yeldon,JAX,RB,2,MIA,9,13,4800,8.9
46,12317,Danny Woodhead,LAC,RB,2,CIN,7,27,4000,8.9
46,12780,Shane Vereen,NYG,RB,1,DAL,null,null,4200,8.9
