Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,16524,Devonta Freeman,ATL,RB,11,IND,25,22,8400,23.2
2,4807,Adrian Peterson,MIN,RB,11,GB,18,12,6800,22.6
3,13124,DeMarco Murray,PHI,RB,12,DET,27,25,6100,20.1
4,13124,DeMarco Murray,PHI,RB,11,TB,21,11,6000,20
4,8066,Darren McFadden,DAL,RB,12,CAR,3,12,5500,20
6,16307,Charcandrick West,KC,RB,11,LAC,23,32,4500,19.6
6,13791,Lamar Miller,MIA,RB,11,DAL,14,29,6200,19.6
8,16771,Todd Gurley,LAR,RB,11,BAL,28,10,7600,19.5
9,16771,Todd Gurley,LAR,RB,12,CIN,8,13,7500,19.3
10,8066,Darren McFadden,DAL,RB,11,MIA,26,31,5000,19.1
11,14385,Doug Martin,TB,RB,12,IND,27,25,5800,18.9
12,16797,TJ Yeldon,JAX,RB,12,LAC,22,32,4800,18.3
13,4807,Adrian Peterson,MIN,RB,12,ATL,6,27,7300,18.2
13,11932,LeSean McCoy,BUF,RB,12,KC,10,6,5300,18.2
15,12317,Danny Woodhead,LAC,RB,11,KC,16,8,5300,18
16,15071,Latavius Murray,OAK,RB,11,DET,31,28,5600,17.8
17,16867,Jeremy Langford,CHI,RB,11,DEN,1,19,5600,17.7
17,13337,Mark Ingram,NO,RB,12,HOU,14,22,6400,17.7
19,11932,LeSean McCoy,BUF,RB,11,NE,14,3,5500,17.6
20,12239,Chris Ivory,NYJ,RB,11,HOU,15,23,6100,17.5
21,17050,Thomas Rawls,SEA,RB,12,PIT,18,2,4500,17.4
22,5820,Frank Gore,IND,RB,12,TB,19,11,4600,17.1
23,7580,DeAngelo Williams,PIT,RB,12,SEA,3,1,5700,16.9
24,15071,Latavius Murray,OAK,RB,12,TEN,13,4,5400,16.6
25,12506,James Starks,GB,RB,11,MIN,7,7,5300,16.5
26,5451,Jonathan Stewart,CAR,RB,11,WAS,19,16,4400,16.3
26,14385,Doug Martin,TB,RB,11,PHI,12,6,5300,16.3
28,14916,Giovani Bernard,CIN,RB,11,ARI,6,8,4500,15.8
29,5451,Jonathan Stewart,CAR,RB,12,DAL,13,26,5200,15.7
29,16834,Tevin Coleman,ATL,RB,12,MIN,7,7,4300,15.7
31,6828,Chris Johnson,ARI,RB,12,SF,28,30,4600,15.5
31,14046,Ronnie Hillman,DEN,RB,12,NE,12,5,4000,15.5
33,12239,Chris Ivory,NYJ,RB,12,MIA,26,31,5800,15.4
34,12296,LeGarrette Blount,NE,RB,11,BUF,17,18,5000,15.2
35,15138,Eddie Lacy,GB,RB,12,CHI,15,15,4700,14.9
36,15261,Spencer Ware,KC,RB,12,BUF,17,18,3800,14.8
37,12296,LeGarrette Blount,NE,RB,12,DEN,1,18,5100,14.5
38,14046,Ronnie Hillman,DEN,RB,11,CHI,13,14,3900,14.3
39,2699,Matt Forte,CHI,RB,12,GB,16,9,6800,13.1
40,16112,Jeremy Hill,CIN,RB,12,LAR,4,17,4700,12.6
41,5820,Frank Gore,IND,RB,11,ATL,9,25,4700,11.7
41,9369,Justin Forsett,BAL,RB,11,LAR,3,18,5800,11.7
41,16886,Javorius Allen,BAL,RB,12,CLE,31,27,4600,11.7
44,14916,Giovani Bernard,CIN,RB,12,LAR,4,17,4500,11.4
45,16797,TJ Yeldon,JAX,RB,11,TEN,12,6,4800,11.3
46,13791,Lamar Miller,MIA,RB,12,NYJ,5,3,6100,11.2
47,12317,Danny Woodhead,LAC,RB,12,JAX,21,20,5200,10.4
48,16189,Alfred Blue,HOU,RB,12,NO,32,29,4500,9.9
49,13158,Shaun Draughn,SF,RB,12,ARI,9,12,3800,9.8
50,6828,Chris Johnson,ARI,RB,11,CIN,5,14,4700,9.1
50,16163,Antonio Andrews,TEN,RB,12,OAK,29,24,3700,9.1
52,16838,Duke Johnson,CLE,RB,12,BAL,22,7,3900,9
53,15126,Theo Riddick,DET,RB,12,PHI,20,10,3500,8.8
54,15126,Theo Riddick,DET,RB,11,OAK,30,24,3300,8.6
55,16776,Melvin Gordon,LAC,RB,11,KC,16,8,3900,7.9
55,6198,Darren Sproles,PHI,RB,11,TB,21,11,3400,7.9
55,16609,Charles Sims,TB,RB,11,PHI,12,6,3300,7.9
58,8649,Rashad Jennings,NYG,RB,12,WAS,20,19,3700,7.8
59,16609,Charles Sims,TB,RB,12,IND,27,25,3500,7.7
60,6198,Darren Sproles,PHI,RB,12,DET,27,25,3600,7.6
61,16776,Melvin Gordon,LAC,RB,12,JAX,21,20,3800,7.5
62,12506,James Starks,GB,RB,12,CHI,15,15,4800,7.4
62,16856,Matt Jones,WAS,RB,12,NYG,30,21,3900,7.4
62,12780,Shane Vereen,NYG,RB,12,WAS,20,19,4200,7.4
65,16856,Matt Jones,WAS,RB,11,CAR,8,15,4000,7.3
66,15020,CJ Anderson,DEN,RB,12,NE,12,5,3500,7.2
66,11220,Dexter McCluster,TEN,RB,11,JAX,23,23,3300,7.2
68,15102,Chris Thompson,WAS,RB,12,NYG,30,21,3200,7.1
68,12800,Bilal Powell,NYJ,RB,12,MIA,26,31,3300,7.1
70,15020,CJ Anderson,DEN,RB,11,CHI,13,14,3700,7
71,16163,Antonio Andrews,TEN,RB,11,JAX,23,23,3700,6.9
72,16867,Jeremy Langford,CHI,RB,12,GB,16,9,5300,6.8
73,12323,Joique Bell,DET,RB,11,OAK,30,24,3300,6.7
73,2220,Ahmad Bradshaw,IND,RB,12,TB,19,11,3600,6.7
75,16056,James White,NE,RB,12,DEN,1,18,3000,6.5
76,15224,Andre Ellington,ARI,RB,12,SF,28,30,3500,6.4
77,16112,Jeremy Hill,CIN,RB,11,ARI,6,8,5000,6.3
77,13158,Shaun Draughn,SF,RB,11,SEA,2,2,3800,6.3
77,14719,Jonathan Grimes,HOU,RB,12,NO,32,29,3000,6.3
77,15102,Chris Thompson,WAS,RB,11,CAR,8,15,3200,6.3
81,15224,Andre Ellington,ARI,RB,11,CIN,5,14,3700,6.1
82,16189,Alfred Blue,HOU,RB,11,NYJ,5,3,3800,6
83,14269,Alfred Morris,WAS,RB,12,NYG,30,21,3800,5.7
84,15138,Eddie Lacy,GB,RB,11,MIN,7,7,4800,5.6
84,16815,Ameer Abdullah,DET,RB,12,PHI,20,10,3300,5.6
86,16127,Isaiah Crowell,CLE,RB,12,BAL,22,7,3200,5.5
86,12800,Bilal Powell,NYJ,RB,11,HOU,15,23,3000,5.5
88,16056,James White,NE,RB,11,BUF,17,18,3000,5.4
89,16915,Karlos Williams,BUF,RB,11,NE,14,3,4200,5.3
89,10949,CJ Spiller,NO,RB,12,HOU,14,22,3000,5.3
91,14269,Alfred Morris,WAS,RB,11,CAR,8,15,3900,5.1
92,14719,Jonathan Grimes,HOU,RB,11,NYJ,5,3,3000,5
93,16915,Karlos Williams,BUF,RB,12,KC,10,6,3900,4.8
93,17089,Terron Ward,ATL,RB,12,MIN,7,7,3500,4.8
95,16815,Ameer Abdullah,DET,RB,11,OAK,30,24,3400,4.6
95,16909,Jay Ajayi,MIA,RB,11,DAL,14,29,3200,4.6
95,2220,Ahmad Bradshaw,IND,RB,11,ATL,9,25,3000,4.6
95,16847,David Johnson,ARI,RB,12,SF,28,30,3300,4.6
95,5701,Fred Jackson,SEA,RB,12,PIT,18,2,3000,4.6
100,12323,Joique Bell,DET,RB,12,PHI,20,10,3300,4.4
101,16909,Jay Ajayi,MIA,RB,12,NYJ,5,3,3300,4.1
102,16886,Javorius Allen,BAL,RB,11,LAR,3,18,3300,4
102,16898,David Cobb,TEN,RB,12,OAK,29,24,3400,4
102,3382,Marcel Reece,OAK,FB,11,DET,31,28,3400,4
105,3382,Marcel Reece,OAK,FB,12,TEN,13,4,3300,3.8
106,13735,Chris Polk,HOU,RB,12,NO,32,29,3200,3.7
106,14901,Kyle Juszczyk,BAL,FB,11,LAR,3,18,3000,3.7
106,14901,Kyle Juszczyk,BAL,FB,12,CLE,31,27,3300,3.7
109,16898,David Cobb,TEN,RB,11,JAX,23,23,3000,3.6
109,15467,Kendall Gaskins,SF,FB,11,SEA,2,2,3000,3.6
111,15045,Knile Davis,KC,RB,12,BUF,17,18,3700,3.4
112,15018,Denard Robinson,JAX,RB,11,TEN,12,6,3000,3.3
112,14533,Robert Turbin,DAL,RB,12,CAR,3,12,3200,3.3
114,13063,Taiwan Jones,OAK,RB,11,DET,31,28,3000,3.1
114,4738,Mike Tolbert,CAR,FB,11,WAS,19,16,3000,3.1
116,16847,David Johnson,ARI,RB,11,CIN,5,14,3400,3
116,4738,Mike Tolbert,CAR,FB,12,DAL,13,26,3000,3
116,17217,Raheem Mostert,BAL,RB,12,CLE,31,27,3000,3
119,16626,Tre Mason,LAR,RB,12,CIN,8,13,3000,2.8
120,17050,Thomas Rawls,SEA,RB,11,SF,24,26,3800,2.7
120,15185,Kenjon Barner,PHI,RB,12,DET,27,25,3000,2.7
120,13163,Roy Helu,OAK,RB,12,TEN,13,4,3000,2.7
123,15207,Benjamin Cunningham,LAR,RB,11,BAL,28,10,3000,2.5
123,5701,Fred Jackson,SEA,RB,11,SF,24,26,3000,2.5
123,8604,Donald Brown,LAC,RB,11,KC,16,8,3000,2.5
123,13741,Brandon Bolden,NE,RB,11,BUF,17,18,3000,2.5
123,14789,Jamize Olawale,OAK,FB,12,TEN,13,4,3000,2.5
123,15207,Benjamin Cunningham,LAR,RB,12,CIN,8,13,3000,2.5
129,16427,Ka'Deem Carey,CHI,RB,11,DEN,1,19,3000,2.4
129,12774,Stevan Ridley,NYJ,RB,11,HOU,15,23,3000,2.4
129,16510,Jerick McKinnon,MIN,RB,11,GB,18,12,3000,2.4
129,13255,Matt Asiata,MIN,RB,11,GB,18,12,3000,2.4
129,15616,Fozzy Whittaker,CAR,RB,11,WAS,19,16,3000,2.4
129,16510,Jerick McKinnon,MIN,RB,12,ATL,6,27,3000,2.4
135,14789,Jamize Olawale,OAK,FB,11,DET,31,28,3000,2.3
135,16178,Bishop Sankey,TEN,RB,12,OAK,29,24,3000,2.3
135,13255,Matt Asiata,MIN,RB,12,ATL,6,27,3000,2.3
135,13741,Brandon Bolden,NE,RB,12,DEN,1,18,3000,2.3
139,15018,Denard Robinson,JAX,RB,12,LAC,22,32,3000,2.1
139,15616,Fozzy Whittaker,CAR,RB,12,DAL,13,26,3000,2.1
139,8604,Donald Brown,LAC,RB,12,JAX,21,20,3000,2.1
142,16008,Orleans Darkwa,NYG,RB,12,WAS,20,19,3000,2
142,13446,Bruce Miller,SF,FB,11,SEA,2,2,3000,2
144,14786,Patrick DiMarco,ATL,FB,12,MIN,7,7,3000,1.9
144,13446,Bruce Miller,SF,FB,12,ARI,9,12,3000,1.9
146,16834,Tevin Coleman,ATL,RB,11,IND,25,22,3400,1.8
146,16142,Terrance West,BAL,RB,12,CLE,31,27,3700,1.8
146,1589,John Kuhn,GB,FB,12,CHI,15,15,3000,1.8
149,14533,Robert Turbin,DAL,RB,11,MIA,26,31,null,1.6
149,1589,John Kuhn,GB,FB,11,MIN,7,7,3000,1.6
151,16402,Andre Williams,NYG,RB,12,WAS,20,19,3000,1.5
152,12774,Stevan Ridley,NYJ,RB,12,MIA,26,31,3000,1.4
152,15467,Kendall Gaskins,SF,FB,12,ARI,9,12,3000,1.4
152,13102,Jordan Todman,PIT,RB,12,SEA,3,1,3000,1.4
155,15261,Spencer Ware,KC,RB,11,LAC,23,32,3000,1.1
156,2262,Tim Hightower,NO,RB,12,HOU,14,22,3000,1
157,14352,Travaris Cadet,SF,RB,11,SEA,2,2,3000,0.9
158,14352,Travaris Cadet,SF,RB,12,ARI,9,12,3000,0.8
159,11439,Antone Smith,CHI,RB,11,DEN,1,19,3000,0.7
159,15555,Zach Line,MIN,FB,11,GB,18,12,3000,0.7
159,12285,Anthony Dixon,BUF,RB,11,NE,14,3,null,0.7
159,12285,Anthony Dixon,BUF,RB,12,KC,10,6,null,0.7
163,11413,Toby Gerhart,JAX,RB,11,TEN,12,6,3000,0.6
164,14891,Tommy Bohanon,NYJ,FB,11,HOU,15,23,3000,0.5
164,15555,Zach Line,MIN,FB,12,ATL,6,27,3000,0.5
164,14891,Tommy Bohanon,NYJ,FB,12,MIA,26,31,3000,0.5
167,16869,Jalston Fowler,TEN,RB,11,JAX,23,23,3000,0.4
167,17089,Terron Ward,ATL,RB,11,IND,25,22,3000,0.4
167,14786,Patrick DiMarco,ATL,FB,11,IND,25,22,3000,0.4
167,13852,Bobby Rainey,TB,RB,11,PHI,12,6,3000,0.4
167,16031,Damien Williams,MIA,RB,11,DAL,14,29,3000,0.4
167,13852,Bobby Rainey,TB,RB,12,IND,27,25,3000,0.4
167,11969,Darrel Young,WAS,FB,12,NYG,30,21,3000,0.4
167,14620,Will Johnson,PIT,FB,12,SEA,3,1,3000,0.4
167,16955,Malcolm Johnson,CLE,FB,12,BAL,22,7,3000,0.4
176,16210,Jay Prosch,HOU,FB,11,NYJ,5,3,3000,0.3
176,16287,Juwan Thompson,DEN,RB,11,CHI,13,14,3000,0.3
176,11969,Darrel Young,WAS,FB,11,CAR,8,15,3000,0.3
176,14917,Rex Burkhead,CIN,RB,11,ARI,6,8,3000,0.3
176,15230,Stepfan Taylor,ARI,RB,11,CIN,5,14,3000,0.3
176,15631,Derrick Coleman,SEA,FB,11,SF,24,26,3000,0.3
176,13418,Anthony Sherman,KC,FB,11,LAC,23,32,3000,0.3
176,733,Jerome Felton,BUF,FB,11,NE,14,3,3000,0.3
176,16869,Jalston Fowler,TEN,RB,12,OAK,29,24,3000,0.3
176,733,Jerome Felton,BUF,FB,12,KC,10,6,3000,0.3
176,14788,Dan Herron,BUF,RB,12,KC,19,11,3000,0.3
176,16210,Jay Prosch,HOU,FB,12,NO,32,29,3000,0.3
176,11737,Cedric Peerman,CIN,RB,12,LAR,4,17,3000,0.3
176,14917,Rex Burkhead,CIN,RB,12,LAR,4,17,3000,0.3
176,11413,Toby Gerhart,JAX,RB,12,LAC,22,32,3000,0.3
176,16031,Damien Williams,MIA,RB,12,NYJ,5,3,3000,0.3
176,15230,Stepfan Taylor,ARI,RB,12,SF,28,30,3000,0.3
176,15631,Derrick Coleman,SEA,FB,12,PIT,18,2,3000,0.3
194,15185,Kenjon Barner,PHI,RB,11,TB,21,11,3000,0.2
194,14538,Jorvorskie Lane,TB,FB,11,PHI,12,6,3000,0.2
194,15596,Chase Reynolds,LAR,RB,11,BAL,28,10,3000,0.2
194,13527,Tyler Clutts,DAL,FB,11,MIA,26,31,3000,0.2
194,11737,Cedric Peerman,CIN,RB,11,ARI,6,8,3000,0.2
194,16928,Michael Burton,DET,FB,12,PHI,20,10,3000,0.2
194,13527,Tyler Clutts,DAL,FB,12,CAR,3,12,3000,0.2
194,13418,Anthony Sherman,KC,FB,12,BUF,17,18,3000,0.2
194,16120,Nikita Whitlock,NYG,RB,12,WAS,20,19,3000,0.2
194,15596,Chase Reynolds,LAR,RB,12,CIN,8,13,3000,0.2
194,16287,Juwan Thompson,DEN,RB,12,NE,12,5,3000,0.2
194,16740,Glenn Winston,CLE,RB,12,BAL,22,7,3000,0.2
206,16965,Josh Robinson,IND,RB,11,ATL,9,25,null,0.1
206,17234,Alonzo Harris,GB,RB,11,MIN,7,7,3000,0.1
206,16966,Aaron Ripkowski,GB,FB,11,MIN,7,7,3000,0.1
206,17101,Trey Williams,DAL,RB,12,CAR,3,12,3000,0.1
206,11439,Antone Smith,CHI,RB,12,GB,16,9,3000,0.1
206,16966,Aaron Ripkowski,GB,FB,12,CHI,15,15,3000,0.1
206,15202,Mike James,TB,RB,12,IND,27,25,null,0.1
206,14538,Jorvorskie Lane,TB,FB,12,IND,27,25,3000,0.1
206,16989,Marcus Murphy,NO,RB,12,HOU,14,22,3000,0.1
215,16178,Bishop Sankey,TEN,RB,11,JAX,23,23,3000,0
215,14687,Bernard Pierce,JAX,RB,11,TEN,12,6,3000,0
215,14549,Joe Banyard,JAX,RB,11,TEN,12,6,3000,0
215,13800,Marcus Thigpen,OAK,RB,11,DET,null,null,null,0
215,15497,George Winn,DET,RB,11,OAK,30,24,3000,0
215,16928,Michael Burton,DET,FB,11,OAK,30,24,3000,0
215,13163,Roy Helu,OAK,RB,11,DET,31,28,3000,0
215,13991,Vick Ballard,IND,RB,11,ATL,null,null,null,0
215,13735,Chris Polk,HOU,RB,11,NYJ,5,3,3200,0
215,11256,Ryan Mathews,PHI,RB,11,TB,21,11,3500,0
215,15202,Mike James,TB,RB,11,PHI,12,6,null,0
215,2699,Matt Forte,CHI,RB,11,DEN,1,19,6800,0
215,16855,Ty Montgomery,GB,RB,11,MIN,7,9,3000,0
215,17016,Terrence Magee,BAL,RB,11,LAR,3,18,null,0
215,16142,Terrance West,BAL,RB,11,LAR,3,18,null,0
215,16626,Tre Mason,LAR,RB,11,BAL,28,10,3000,0
215,15256,Christine Michael,DAL,RB,11,MIA,8,15,3000,0
215,17101,Trey Williams,DAL,RB,11,MIA,26,31,3000,0
215,14501,LaMichael James,MIA,RB,11,DAL,null,null,null,0
215,16934,Cameron Artis-Payne,CAR,RB,11,WAS,19,16,3000,0
215,15010,Kerwynn Williams,ARI,RB,11,CIN,5,14,null,0
215,17254,Jarryd Hayne,SF,RB,11,SEA,2,2,null,0
215,12649,Will Tukuafu,SEA,FB,11,SF,24,26,3000,0
215,13719,Bryce Brown,SEA,RB,11,SF,24,26,3000,0
215,16668,Carlos Hyde,SF,RB,11,SEA,2,2,3800,0
215,12386,Marshawn Lynch,SEA,RB,11,SF,24,26,6700,0
215,15045,Knile Davis,KC,RB,11,LAC,23,32,3000,0
215,14783,James Develin,NE,RB,11,BUF,17,18,null,0
215,14788,Dan Herron,BUF,RB,11,NE,14,3,3000,0
215,11256,Ryan Mathews,PHI,RB,12,DET,27,25,3400,0
215,15497,George Winn,DET,RB,12,PHI,20,10,3000,0
215,16934,Cameron Artis-Payne,CAR,RB,12,DAL,13,26,3000,0
215,16855,Ty Montgomery,GB,RB,12,CHI,15,16,3000,0
215,16427,Ka'Deem Carey,CHI,RB,12,GB,16,9,3000,0
215,17234,Alonzo Harris,GB,RB,12,CHI,15,15,3000,0
215,13800,Marcus Thigpen,OAK,RB,12,TEN,10,31,null,0
215,11220,Dexter McCluster,TEN,RB,12,OAK,29,24,3200,0
215,13063,Taiwan Jones,OAK,RB,12,TEN,13,4,3000,0
215,16307,Charcandrick West,KC,RB,12,BUF,17,18,5300,0
215,13991,Vick Ballard,IND,RB,12,TB,null,null,null,0
215,16965,Josh Robinson,IND,RB,12,TB,19,11,null,0
215,15256,Christine Michael,WAS,RB,12,NYG,30,21,null,0
215,14821,Edwin Baker,NO,RB,12,HOU,null,null,null,0
215,16524,Devonta Freeman,ATL,RB,12,MIN,7,7,8300,0
215,14549,Joe Banyard,JAX,RB,12,LAC,22,32,3000,0
215,14687,Bernard Pierce,JAX,RB,12,LAC,22,32,3000,0
215,16668,Carlos Hyde,SF,RB,12,ARI,9,12,3800,0
215,14421,Isaiah Pead,PIT,RB,12,SEA,3,1,3000,0
215,16699,Fitzgerald Toussaint,PIT,RB,12,SEA,3,1,null,0
215,12649,Will Tukuafu,SEA,FB,12,PIT,18,2,3000,0
215,12386,Marshawn Lynch,SEA,RB,12,PIT,18,2,6500,0
215,13719,Bryce Brown,SEA,RB,12,PIT,18,2,null,0
