Name,Opponent,PlayerID,Team,Week,att,def_rk,fum,h/a_1,points,rec,rec_td,rec_yds,ru_att,ru_td,ru_yds,ru_yds/att,salary,surface_0,tar,td,yds,yds/att,year
Jerome Felton,IND,733,BUF,1,,18,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,0.0,1,0,0,,2015
John Kuhn,CHI,1589,GB,1,,22,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Matt Forte,GB,2699,CHI,1,,13,0,1.0,30.6,5,,,24.0,1.0,141.0,5.9,3000,1.0,8,0,25,,2015
Marcel Reece,CIN,3382,OAK,1,,15,0,1.0,17.6,3,,,0.0,0.0,0.0,0.0,7800,1.0,4,2,26,,2015
Reggie Bush,MIN,4640,SF,1,,9,0,1.0,0.8,0,,,2.0,0.0,8.0,4.0,3000,1.0,1,0,0,,2015
Mike Tolbert,JAX,4738,CAR,1,,27,0,0.0,2.8,1,,,1.0,0.0,12.0,12.0,3900,1.0,2,0,6,,2015
Adrian Peterson,SF,4807,MIN,1,,32,0,0.0,8.2,3,,,10.0,0.0,31.0,3.1,3000,1.0,3,0,21,,2015
Jonathan Stewart,JAX,5451,CAR,1,,27,0,0.0,12.1,4,,,18.0,0.0,56.0,3.1,7700,1.0,4,0,25,,2015
Fred Jackson,LAR,5701,SEA,1,,23,0,0.0,3.9,1,,,3.0,0.0,13.0,4.3,5800,1.0,1,0,16,,2015
Frank Gore,BUF,5820,IND,1,,10,0,0.0,5.1,2,,,8.0,0.0,31.0,3.9,3900,0.0,3,0,0,,2015
Darren Sproles,ATL,6198,PHI,1,,30,0,0.0,19.6,7,,,5.0,0.0,50.0,10.0,5400,0.0,9,0,76,,2015
Chris Johnson,NO,6828,ARI,1,,29,0,1.0,3.7,0,,,10.0,0.0,37.0,3.7,3300,1.0,1,0,0,,2015
DeAngelo Williams,NE,7580,PIT,1,,12,0,0.0,17.2,1,,,21.0,0.0,127.0,6.0,3200,0.0,1,0,5,,2015
Jamaal Charles,HOU,7969,KC,1,,7,0,0.0,21.3,5,,,16.0,0.0,57.0,3.6,5100,0.0,8,1,46,,2015
Darren McFadden,NYG,8066,DAL,1,,24,0,1.0,4.5,1,,,6.0,0.0,16.0,2.7,7900,0.0,1,0,19,,2015
Rashad Jennings,DAL,8649,NYG,1,,25,0,0.0,11.2,0,,,13.0,1.0,52.0,4.0,4400,0.0,1,0,0,,2015
Justin Forsett,DEN,9369,BAL,1,,14,0,0.0,9.6,4,,,14.0,0.0,43.0,3.1,3000,1.0,7,0,13,,2015
Dexter McCluster,TB,11220,TEN,1,,11,0,0.0,0.8,0,,,2.0,0.0,8.0,4.0,5100,1.0,0,0,0,,2015
Ryan Mathews,ATL,11256,PHI,1,,30,0,0.0,11.8,3,,,3.0,1.0,4.0,1.3,6200,0.0,4,0,24,,2015
Cedric Peerman,OAK,11737,CIN,1,,21,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,3300,1.0,0,0,0,,2015
LeSean McCoy,IND,11932,BUF,1,,18,0,1.0,11.7,3,,,17.0,0.0,41.0,2.4,3600,0.0,4,0,46,,2015
Darrel Young,MIA,11969,WAS,1,,31,0,1.0,1.0,1,,,0.0,0.0,0.0,0.0,3000,1.0,1,0,0,,2015
Chris Ivory,CLE,12239,NYJ,1,,16,0,1.0,23.0,1,,,20.0,2.0,91.0,4.6,7200,0.0,1,0,9,,2015
Anthony Dixon,IND,12285,BUF,1,,18,0,1.0,6.1,0,,,3.0,1.0,1.0,0.3,3000,0.0,0,0,0,,2015
Danny Woodhead,DET,12317,LAC,1,,17,0,0.0,21.2,3,,,13.0,2.0,43.0,3.3,4100,0.0,6,0,19,,2015
Joique Bell,LAC,12323,DET,1,,26,0,0.0,6.1,2,,,6.0,0.0,14.0,2.3,0,1.0,2,0,27,,2015
Marshawn Lynch,LAR,12386,SEA,1,,23,0,0.0,17.4,5,,,18.0,0.0,73.0,4.1,3700,1.0,7,0,31,,2015
James Starks,CHI,12506,GB,1,,22,0,0.0,0.2,0,,,2.0,0.0,2.0,1.0,5200,1.0,0,0,0,,2015
Dion Lewis,PIT,12708,NE,1,,2,0,1.0,16.0,4,,,15.0,0.0,69.0,4.6,7300,0.0,5,0,51,,2015
Shane Vereen,DAL,12780,NYG,1,,25,0,0.0,9.9,4,,,3.0,0.0,14.0,4.7,3600,0.0,5,0,45,,2015
Nick Bellore,MIN,12787,SF,1,,9,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3000,1.0,0,0,0,,2015
Bilal Powell,CLE,12800,NYJ,1,,16,0,1.0,9.8,2,,,12.0,0.0,62.0,5.2,3000,0.0,4,0,16,,2015
Taiwan Jones,CIN,13063,OAK,1,,15,0,1.0,2.8,1,,,3.0,0.0,5.0,1.7,3400,1.0,1,0,13,,2015
Jordan Todman,NE,13102,PIT,1,,12,0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,4200,0.0,0,0,0,,2015
DeMarco Murray,ATL,13124,PHI,1,,30,0,0.0,18.0,4,,,8.0,1.0,9.0,1.1,3000,0.0,5,1,11,,2015
Shaun Draughn,NYJ,13158,CLE,1,,5,0,0.0,0.4,0,,,1.0,0.0,4.0,4.0,3000,0.0,1,0,0,,2015
Matt Asiata,SF,13255,MIN,1,,32,0,0.0,5.2,2,,,1.0,0.0,4.0,4.0,3000,1.0,2,0,28,,2015
Jacquizz Rodgers,GB,13299,CHI,1,,13,0,1.0,1.6,0,,,4.0,0.0,16.0,4.0,6700,1.0,1,0,0,,2015
Mark Ingram,ARI,13337,NO,1,,8,0,0.0,20.2,8,,,9.0,0.0,24.0,2.7,3000,1.0,9,0,98,,2015
Anthony Sherman,HOU,13418,KC,1,,7,0,0.0,1.0,1,,,0.0,0.0,0.0,0.0,3000,0.0,1,0,0,,2015
Bruce Miller,MIN,13446,SF,1,,9,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,3500,1.0,0,0,0,,2015
Tyler Clutts,NYG,13527,DAL,1,,24,0,1.0,0.0,0,,,0.0,0.0,0.0,0.0,5600,0.0,0,0,0,,2015
Chris Polk,KC,13735,HOU,1,,3,0,1.0,4.1,1,,,5.0,0.0,22.0,4.4,3000,0.0,1,0,9,,2015
Brandon Bolden,PIT,13741,NE,1,,2,0,1.0,2.3,1,,,5.0,0.0,1.0,0.2,3000,0.0,2,0,12,,2015
Lamar Miller,WAS,13791,MIA,1,,20,0,0.0,8.5,1,,,13.0,0.0,53.0,4.1,3000,1.0,1,0,22,,2015
