PlayerID,Name,Team,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,h/a,surface,year,def_rk
733,Jerome Felton,BUF,1,IND,0,0,0.0,0,1,0,0,0,0,0,0.0,3000,home,turf,2015,18
1589,John Kuhn,GB,1,CHI,0,0,0.0,0,0,0,0,0,0,0,0.0,3000,away,grass,2015,22
2699,Matt Forte,CHI,1,GB,24,141,5.9,1,8,5,25,0,0,0,30.6,3000,home,grass,2015,13
3382,Marcel Reece,OAK,1,CIN,0,0,0.0,0,4,3,26,2,0,0,17.6,7800,home,grass,2015,15
4640,Reggie Bush,SF,1,MIN,2,8,4.0,0,1,0,0,0,0,0,0.8,3000,home,grass,2015,9
4738,Mike Tolbert,CAR,1,JAX,1,12,12.0,0,2,1,6,0,0,0,2.8,3900,away,grass,2015,27
4807,Adrian Peterson,MIN,1,SF,10,31,3.1,0,3,3,21,0,0,0,8.2,3000,away,grass,2015,32
5451,Jonathan Stewart,CAR,1,JAX,18,56,3.1,0,4,4,25,0,0,0,12.1,7700,away,grass,2015,27
5701,Fred Jackson,SEA,1,LAR,3,13,4.3,0,1,1,16,0,0,0,3.9,5800,away,grass,2015,23
5820,Frank Gore,IND,1,BUF,8,31,3.9,0,3,2,0,0,0,0,5.1,3900,away,turf,2015,10
6198,Darren Sproles,PHI,1,ATL,5,50,10.0,0,9,7,76,0,1,0,19.6,5400,away,turf,2015,30
6828,Chris Johnson,ARI,1,NO,10,37,3.7,0,1,0,0,0,0,0,3.7,3300,home,grass,2015,29
7580,DeAngelo Williams,PIT,1,NE,21,127,6.0,0,1,1,5,0,0,0,17.2,3200,away,turf,2015,12
7969,Jamaal Charles,KC,1,HOU,16,57,3.6,0,8,5,46,1,1,0,21.3,5100,away,turf,2015,7
8066,Darren McFadden,DAL,1,NYG,6,16,2.7,0,1,1,19,0,0,0,4.5,7900,home,turf,2015,24
8649,Rashad Jennings,NYG,1,DAL,13,52,4.0,1,1,0,0,0,0,0,11.2,4400,away,turf,2015,25
9369,Justin Forsett,BAL,1,DEN,14,43,3.1,0,7,4,13,0,0,0,9.6,3000,away,grass,2015,14
11220,Dexter McCluster,TEN,1,TB,2,8,4.0,0,0,0,0,0,0,0,0.8,5100,away,grass,2015,11
11256,Ryan Mathews,PHI,1,ATL,3,4,1.3,1,4,3,24,0,0,0,11.8,6200,away,turf,2015,30
11737,Cedric Peerman,CIN,1,OAK,0,0,0.0,0,0,0,0,0,0,0,0.0,3300,away,grass,2015,21
11932,LeSean McCoy,BUF,1,IND,17,41,2.4,0,4,3,46,0,0,0,11.7,3600,home,turf,2015,18
11969,Darrel Young,WAS,1,MIA,0,0,0.0,0,1,1,0,0,0,0,1.0,3000,home,grass,2015,31
12239,Chris Ivory,NYJ,1,CLE,20,91,4.6,2,1,1,9,0,0,0,23.0,7200,home,turf,2015,16
12285,Anthony Dixon,BUF,1,IND,3,1,0.3,1,0,0,0,0,0,0,6.1,3000,home,turf,2015,18
12317,Danny Woodhead,LAC,1,DET,13,43,3.3,2,6,3,19,0,0,0,21.2,4100,away,turf,2015,17
