Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Saquon Barkley,NYG,RB,6,PHI,13,130,10,1,12,9,99,0,0,0,40.9,40.9
2,Todd Gurley,LAR,RB,6,DEN,28,208,7.4,2,5,2,17,0,0,0,39.5,39.5
3,Melvin Gordon,LAC,RB,6,CLE,18,132,7.3,3,4,2,18,0,0,0,38,38
4,James Conner,PIT,RB,5,ATL,21,110,5.2,2,4,4,75,0,1,0,37.5,37.5
5,Todd Gurley,LAR,RB,5,SEA,22,77,3.5,3,5,4,36,0,0,0,33.3,33.3
6,Isaiah Crowell,NYJ,RB,5,DEN,15,219,14.6,1,1,1,12,0,0,0,33.1,33.1
7,Kareem Hunt,KC,RB,6,NE,10,80,8,0,6,5,105,1,0,0,32.5,32.5
8,James Conner,PIT,RB,6,CIN,19,111,5.8,2,7,4,18,0,0,0,31.9,31.9
9,Saquon Barkley,NYG,RB,5,CAR,15,48,3.2,0,4,4,81,2,0,0,28.9,28.9
10,TJ Yeldon,JAX,RB,5,KC,10,53,5.3,0,10,8,69,1,0,0,26.2,26.2
11,Latavius Murray,MIN,RB,6,ARI,24,155,6.5,1,2,1,3,0,0,0,25.8,25.8
12,Sony Michel,NE,RB,6,KC,24,106,4.4,2,1,0,0,0,0,0,25.6,25.6
13,Kenyan Drake,MIA,RB,5,CIN,6,46,7.7,0,11,7,69,1,0,0,24.5,24.5
14,Tarik Cohen,CHI,RB,6,MIA,5,31,6.2,1,9,7,90,0,1,1,24.1,24.1
15,James White,NE,RB,5,IND,2,0,0,0,14,10,77,1,0,0,23.7,23.7
16,Melvin Gordon,LAC,RB,5,OAK,19,58,3.1,1,4,4,62,0,0,0,22,22
17,Ezekiel Elliott,DAL,RB,6,JAX,24,106,4.4,1,1,1,11,0,0,0,21.7,21.7
18,Mark Ingram,NO,RB,5,WAS,16,53,3.3,2,3,2,20,0,1,0,21.3,21.3
19,David Johnson,ARI,RB,5,SF,18,55,3.1,2,3,2,16,0,0,0,21.1,21.1
20,Peyton Barber,TB,RB,6,ATL,13,82,6.3,0,4,4,24,1,0,0,20.6,20.6
21,Joe Mixon,CIN,RB,5,MIA,22,93,4.2,0,4,3,22,1,0,0,20.5,20.5
22,Christian McCaffrey,CAR,RB,5,NYG,17,58,3.4,0,6,5,35,1,0,0,20.3,20.3
23,Alfred Blue,HOU,RB,5,DAL,20,46,2.3,0,8,8,73,0,0,0,19.9,19.9
24,Joe Mixon,CIN,RB,6,PIT,11,64,5.8,1,7,4,20,0,0,0,18.4,18.4
25,Wendell Smallwood,PHI,RB,5,MIN,3,27,9,0,4,3,44,1,0,0,18.1,18.1
26,Sony Michel,NE,RB,5,IND,18,98,5.4,1,1,1,12,0,0,0,18,18
27,Alex Collins,BAL,RB,6,TEN,19,54,2.8,2,0,0,0,0,0,0,17.4,17.4
28,Chris Carson,SEA,RB,5,LAR,19,116,6.1,0,1,1,11,0,0,0,16.7,16.7
29,Kareem Hunt,KC,RB,5,JAX,22,87,4,1,2,1,7,0,0,0,16.4,16.4
30,Nyheim Hines,IND,RB,5,NE,15,45,3,0,9,7,45,0,0,0,16,16
31,Corey Clement,PHI,RB,6,NYG,11,43,3.9,1,3,3,26,0,0,0,15.9,15.9
31,Frank Gore,MIA,RB,6,CHI,15,101,6.7,0,1,1,18,0,0,0,15.9,15.9
33,Mike Davis,SEA,RB,5,LAR,12,68,5.7,1,2,2,7,0,0,0,15.5,15.5
34,Ezekiel Elliott,DAL,RB,5,HOU,20,54,2.7,0,7,7,30,0,0,0,15.4,15.4
35,Duke Johnson,CLE,RB,6,LAC,2,36,18,0,5,4,73,0,0,0,14.9,14.9
36,Kyle Juszczyk,SF,FB,5,ARI,1,12,12,0,7,6,75,0,0,0,14.7,14.7
37,LeGarrette Blount,DET,RB,5,GB,12,22,1.8,2,0,0,0,0,0,0,14.2,14.2
37,James White,NE,RB,6,KC,6,39,6.5,0,7,5,53,0,0,0,14.2,14.2
39,David Johnson,ARI,RB,6,MIN,18,54,3,1,5,2,15,0,1,1,13.9,13.9
40,Christian McCaffrey,CAR,RB,6,WAS,8,20,2.5,0,8,7,46,0,0,0,13.6,13.6
41,Matt Breida,SF,RB,5,ARI,8,56,7,0,1,1,5,1,0,0,13.1,13.1
42,Austin Ekeler,LAC,RB,5,OAK,6,15,2.5,0,3,1,44,1,0,0,12.9,12.9
43,LeSean McCoy,BUF,RB,5,TEN,24,85,3.5,0,3,2,23,0,0,0,12.8,12.8
43,Javorius Allen,BAL,RB,5,CLE,8,34,4.2,0,8,6,44,0,1,1,12.8,12.8
45,Phillip Lindsay,DEN,RB,6,LAR,4,18,4.5,0,7,6,48,0,0,0,12.6,12.6
46,LeSean McCoy,BUF,RB,6,HOU,16,73,4.6,0,5,3,21,0,0,0,12.4,12.4
47,Chris Thompson,WAS,RB,5,NO,8,17,2.1,0,8,6,45,0,0,0,12.2,12.2
48,Matt Breida,SF,RB,6,GB,14,61,4.4,1,0,0,0,0,0,0,12.1,12.1
48,Alfred Morris,SF,RB,5,ARI,18,61,3.4,0,5,3,30,0,0,0,12.1,12.1
48,Jalen Richard,OAK,RB,6,SEA,2,3,1.5,0,8,7,48,0,0,0,12.1,12.1
51,Jalen Richard,OAK,RB,5,LAC,1,4,4,0,6,6,53,0,0,0,11.7,11.7
52,Tevin Coleman,ATL,RB,6,TB,10,35,3.5,0,2,1,6,1,0,0,11.1,11.1
52,Phillip Lindsay,DEN,RB,5,NYJ,12,61,5.1,0,4,3,20,0,0,0,11.1,11.1
54,Devontae Booker,DEN,RB,5,NYJ,0,0,0,0,6,5,59,0,0,0,10.9,10.9
55,Kenyan Drake,MIA,RB,6,CHI,13,57,4.4,0,6,4,21,0,1,1,10.8,10.8
56,Kerryon Johnson,DET,RB,5,GB,12,70,5.8,0,2,2,15,0,0,0,10.5,10.5
57,Marlon Mack,IND,RB,6,NYJ,12,89,7.4,0,2,1,4,0,0,0,10.3,10.3
58,Ty Montgomery,GB,RB,6,SF,4,12,3,1,3,2,10,0,0,0,10.2,10.2
59,Ito Smith,ATL,RB,6,TB,11,22,2,1,2,2,-1,0,0,0,10.1,10.1
60,TJ Yeldon,JAX,RB,6,DAL,8,41,5.1,0,5,3,29,0,0,0,10,10
61,Adrian Peterson,WAS,RB,6,CAR,17,97,5.7,0,1,0,0,0,0,0,9.7,9.7
61,Carlos Hyde,CLE,RB,5,BAL,17,63,3.7,0,3,2,14,0,0,0,9.7,9.7
63,Jamaal Williams,GB,RB,5,DET,6,33,5.5,0,4,2,19,0,0,0,9.2,9.2
64,Lamar Miller,HOU,RB,6,BUF,15,46,3.1,0,3,2,25,0,0,0,9.1,9.1
65,Rashaad Penny,SEA,RB,6,OAK,9,43,4.8,0,2,2,27,0,0,0,9,9
66,Bilal Powell,NYJ,RB,5,DEN,20,99,5,0,0,0,0,0,1,1,8.9,8.9
66,Marshawn Lynch,OAK,RB,6,SEA,13,45,3.5,0,5,3,14,0,0,0,8.9,8.9
68,Raheem Mostert,SF,RB,6,GB,12,87,7.2,0,0,0,0,0,0,0,8.7,8.7
69,Ito Smith,ATL,RB,5,PIT,3,5,1.7,1,1,1,5,0,0,0,8,8
70,Aaron Jones,GB,RB,5,DET,7,40,5.7,0,3,2,19,0,0,0,7.9,7.9
71,Royce Freeman,DEN,RB,5,NYJ,5,31,6.2,0,4,3,16,0,0,0,7.7,7.7
72,Alex Collins,BAL,RB,5,CLE,12,59,4.9,0,4,1,7,0,0,0,7.6,7.6
72,Latavius Murray,MIN,RB,5,PHI,11,42,3.8,0,2,2,14,0,0,0,7.6,7.6
74,Isaiah Crowell,NYJ,RB,6,IND,13,40,3.1,0,2,2,12,0,0,0,7.2,7.2
75,Kapri Bibbs,WAS,RB,5,NO,4,9,2.2,1,0,0,0,0,0,0,6.9,6.9
75,Alvin Kamara,NO,RB,5,WAS,6,24,4,0,4,3,15,0,0,0,6.9,6.9
77,Dion Lewis,TEN,RB,5,BUF,12,34,2.8,0,4,3,14,0,1,1,6.8,6.8
78,Frank Gore,MIA,RB,5,CIN,12,63,5.2,0,0,0,0,0,0,0,6.3,6.3
78,Alfred Blue,HOU,RB,6,BUF,7,26,3.7,0,3,2,17,0,0,0,6.3,6.3
80,Wayne Gallman,NYG,RB,6,PHI,4,17,4.2,0,5,2,25,0,0,0,6.2,6.2
80,Adrian Peterson,WAS,RB,5,NO,4,6,1.5,0,3,2,36,0,0,0,6.2,6.2
82,Wendell Smallwood,PHI,RB,6,NYG,18,51,2.8,0,2,1,0,0,1,0,6.1,6.1
82,Devonta Freeman,ATL,RB,5,PIT,8,32,4,0,2,2,9,0,0,0,6.1,6.1
82,Marshawn Lynch,OAK,RB,5,LAC,9,31,3.4,0,2,2,10,0,0,0,6.1,6.1
85,Austin Ekeler,LAC,RB,6,CLE,7,60,8.6,0,0,0,0,0,0,0,6,6
86,Chris Carson,SEA,RB,6,OAK,14,59,4.2,0,0,0,0,0,0,0,5.9,5.9
86,Bilal Powell,NYJ,RB,6,IND,16,59,3.7,0,1,0,0,0,1,0,5.9,5.9
86,Jordan Howard,CHI,RB,6,MIA,14,69,4.9,0,1,0,0,0,1,1,5.9,5.9
89,Jordan Wilkins,IND,RB,5,NE,6,39,6.5,0,2,2,9,0,1,1,5.8,5.8
