Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,13791,Lamar Miller,MIA,RB,7,HOU,14,175,12.5,1,3,3,61,1,0,0,41.6,41.6
2,16771,Todd Gurley,LAR,RB,7,CLE,19,128,6.7,2,5,4,35,0,0,0,35.3,35.3
3,12317,Danny Woodhead,LAC,RB,7,OAK,5,26,5.2,0,12,11,75,2,0,0,33.1,33.1
4,11792,Arian Foster,HOU,RB,7,MIA,18,59,3.3,1,7,5,66,1,0,0,29.5,29.5
5,8066,Darren McFadden,DAL,RB,7,NYG,29,152,5.2,1,2,2,10,0,0,0,27.2,27.2
6,16771,Todd Gurley,LAR,RB,8,SF,20,133,6.6,1,3,3,13,0,0,0,26.6,26.6
7,13337,Mark Ingram,NO,RB,7,IND,14,143,10.2,1,2,2,5,0,1,0,25.8,25.8
8,16307,Charcandrick West,KC,RB,7,PIT,22,110,5,1,5,2,19,0,0,0,23.9,23.9
9,12708,Dion Lewis,NE,RB,8,MIA,5,19,3.8,0,9,6,93,1,0,0,23.2,23.2
10,14385,Doug Martin,TB,RB,7,WAS,19,136,7.2,0,3,3,35,0,0,0,23.1,23.1
11,16797,TJ Yeldon,JAX,RB,7,BUF,20,115,5.8,1,3,1,9,0,0,0,22.4,22.4
12,16307,Charcandrick West,KC,RB,8,DET,20,97,4.8,1,6,4,25,0,0,0,22.2,22.2
13,12386,Marshawn Lynch,SEA,RB,7,SF,27,122,4.5,1,0,0,0,0,0,0,21.2,21.2
13,6828,Chris Johnson,ARI,RB,7,BAL,18,122,6.8,1,0,0,0,0,0,0,21.2,21.2
15,11256,Ryan Mathews,PHI,RB,7,CAR,6,97,16.2,1,3,3,24,0,0,0,21.1,21.1
16,14967,Le'Veon Bell,PIT,RB,7,KC,17,121,7.1,0,4,4,16,0,0,0,20.7,20.7
17,15020,CJ Anderson,DEN,RB,8,GB,14,101,7.2,1,1,1,5,0,0,0,20.6,20.6
18,12780,Shane Vereen,NYG,RB,8,NO,2,3,1.5,0,9,8,60,1,0,0,20.3,20.3
19,16524,Devonta Freeman,ATL,RB,8,TB,21,88,4.2,0,8,6,43,0,0,0,19.1,19.1
20,14046,Ronnie Hillman,DEN,RB,8,GB,19,60,3.2,2,2,1,-5,0,0,0,18.5,18.5
21,16524,Devonta Freeman,ATL,RB,7,TEN,25,116,4.6,0,3,2,14,0,0,0,18,18
22,8066,Darren McFadden,DAL,RB,8,SEA,20,64,3.2,0,8,6,49,0,1,0,17.3,17.3
23,15645,Khiry Robinson,NO,RB,7,IND,14,28,2,2,1,1,3,0,0,0,16.1,16.1
24,16838,Duke Johnson,CLE,RB,7,LAR,6,17,2.8,0,7,7,73,0,0,0,16,16
25,13337,Mark Ingram,NO,RB,8,NYG,16,80,5,0,5,4,39,0,0,0,15.9,15.9
25,15071,Latavius Murray,OAK,RB,8,NYJ,20,113,5.6,0,2,1,6,0,0,0,15.9,15.9
25,4807,Adrian Peterson,MIN,RB,8,CHI,20,103,5.2,0,2,2,6,0,0,0,15.9,15.9
28,15071,Latavius Murray,OAK,RB,7,LAC,15,85,5.7,1,1,1,1,0,0,0,15.6,15.6
29,5451,Jonathan Stewart,CAR,RB,7,PHI,24,125,5.2,0,1,0,0,0,0,0,15.5,15.5
30,7580,DeAngelo Williams,PIT,RB,8,CIN,9,71,7.9,0,4,4,39,0,0,0,15,15
31,4738,Mike Tolbert,CAR,FB,7,PHI,3,16,5.3,1,1,1,2,1,0,0,14.8,14.8
32,13791,Lamar Miller,MIA,RB,8,NE,9,15,1.7,1,5,5,19,0,0,0,14.4,14.4
33,5451,Jonathan Stewart,CAR,RB,8,IND,24,82,3.4,1,2,1,1,0,1,1,14.3,14.3
34,4807,Adrian Peterson,MIN,RB,7,DET,19,98,5.2,0,3,3,12,0,0,0,14,14
35,13063,Taiwan Jones,OAK,RB,8,NYJ,2,5,2.5,0,1,1,59,1,0,0,13.4,13.4
35,11932,LeSean McCoy,BUF,RB,7,JAX,18,68,3.8,0,4,2,36,0,1,1,13.4,13.4
35,9369,Justin Forsett,BAL,RB,7,ARI,12,36,3,1,4,3,8,0,0,0,13.4,13.4
35,16345,Branden Oliver,LAC,RB,7,OAK,9,35,3.9,0,7,6,39,0,0,0,13.4,13.4
39,12239,Chris Ivory,NYJ,RB,7,NE,17,41,2.4,0,2,2,12,1,0,0,13.3,13.3
40,11220,Dexter McCluster,TEN,RB,7,ATL,5,20,4,0,8,6,48,0,0,0,12.8,12.8
41,5820,Frank Gore,IND,RB,7,NO,9,43,4.8,0,8,5,32,0,0,0,12.5,12.5
42,5820,Frank Gore,IND,RB,8,CAR,22,70,3.2,0,3,3,22,0,1,0,12.2,12.2
42,16189,Alfred Blue,HOU,RB,8,TEN,14,39,2.8,0,5,5,33,0,0,0,12.2,12.2
44,6828,Chris Johnson,ARI,RB,8,CLE,30,109,3.6,0,1,0,0,0,2,2,11.9,11.9
45,15138,Eddie Lacy,GB,RB,8,DEN,11,38,3.5,1,2,1,9,0,1,0,11.7,11.7
46,10949,CJ Spiller,NO,RB,8,NYG,4,21,5.2,0,4,2,15,1,0,0,11.6,11.6
47,14901,Kyle Juszczyk,BAL,FB,7,ARI,0,0,0,0,5,4,15,1,0,0,11.5,11.5
48,16163,Antonio Andrews,TEN,RB,8,HOU,16,64,4,0,3,3,18,0,0,0,11.2,11.2
49,16776,Melvin Gordon,LAC,RB,8,BAL,18,54,3,0,6,5,7,0,0,0,11.1,11.1
50,2699,Matt Forte,CHI,RB,8,MIN,10,41,4.1,0,4,4,28,0,0,0,10.9,10.9
51,16008,Orleans Darkwa,NYG,RB,7,DAL,8,48,6,1,1,0,0,0,0,0,10.8,10.8
51,10949,CJ Spiller,NO,RB,7,IND,4,16,4,0,6,6,32,0,0,0,10.8,10.8
53,15126,Theo Riddick,DET,RB,8,KC,5,17,3.4,0,7,6,30,0,0,0,10.7,10.7
54,8649,Rashad Jennings,NYG,RB,8,NO,10,54,5.4,0,3,2,31,0,0,0,10.5,10.5
55,12386,Marshawn Lynch,SEA,RB,8,DAL,21,71,3.4,0,2,2,11,0,0,0,10.2,10.2
56,16838,Duke Johnson,CLE,RB,8,ARI,1,3,3,0,2,2,68,0,0,0,9.1,9.1
56,15565,Jonas Gray,MIA,RB,8,NE,2,1,0.5,0,5,4,50,0,0,0,9.1,9.1
58,13124,DeMarco Murray,PHI,RB,7,CAR,18,65,3.6,0,4,2,5,0,0,0,9,9
58,6198,Darren Sproles,PHI,RB,7,CAR,3,9,3,0,10,5,31,0,0,0,9,9
60,14385,Doug Martin,TB,RB,8,ATL,23,71,3.1,0,1,1,7,0,0,0,8.8,8.8
61,12296,LeGarrette Blount,NE,RB,8,MIA,17,72,4.2,0,1,1,2,0,0,0,8.4,8.4
61,9369,Justin Forsett,BAL,RB,8,LAC,17,69,4.1,0,1,1,5,0,0,0,8.4,8.4
63,16856,Matt Jones,WAS,RB,7,TB,9,29,3.2,0,4,3,22,0,0,0,8.1,8.1
64,15224,Andre Ellington,ARI,RB,7,BAL,5,21,4.2,0,4,3,28,0,0,0,7.9,7.9
65,16112,Jeremy Hill,CIN,RB,8,PIT,15,60,4,0,1,1,8,0,0,0,7.8,7.8
65,14967,Le'Veon Bell,PIT,RB,8,CIN,10,45,4.5,0,2,2,13,0,0,0,7.8,7.8
65,15126,Theo Riddick,DET,RB,7,MIN,3,8,2.7,0,4,3,40,0,0,0,7.8,7.8
65,11220,Dexter McCluster,TEN,RB,8,HOU,3,15,5,0,6,4,23,0,0,0,7.8,7.8
69,16609,Charles Sims,TB,RB,7,WAS,10,49,4.9,0,3,2,17,0,1,1,7.6,7.6
69,16609,Charles Sims,TB,RB,8,ATL,6,22,3.7,0,4,3,24,0,0,0,7.6,7.6
71,5701,Fred Jackson,SEA,RB,7,SF,1,2,2,0,4,4,33,0,0,0,7.5,7.5
72,15261,Spencer Ware,KC,RB,8,DET,2,12,6,1,0,0,0,0,0,0,7.2,7.2
72,12780,Shane Vereen,NYG,RB,7,DAL,4,56,14,0,3,1,6,0,0,0,7.2,7.2
72,13063,Taiwan Jones,OAK,RB,7,LAC,3,35,11.7,0,3,2,17,0,0,0,7.2,7.2
75,12239,Chris Ivory,NYJ,RB,8,OAK,15,17,1.1,0,5,3,24,0,0,0,7.1,7.1
76,15565,Jonas Gray,MIA,RB,7,HOU,12,48,4,0,1,1,10,0,0,0,6.8,6.8
76,16847,David Johnson,ARI,RB,8,CLE,1,4,4,0,2,2,44,0,1,0,6.8,6.8
78,12317,Danny Woodhead,LAC,RB,8,BAL,3,9,3,0,3,2,36,0,0,0,6.5,6.5
79,4640,Reggie Bush,SF,RB,7,SEA,4,21,5.2,0,5,3,13,0,0,0,6.4,6.4
80,16626,Tre Mason,LAR,RB,8,SF,15,46,3.1,0,1,1,6,0,0,0,6.2,6.2
81,15555,Zach Line,MIN,FB,7,DET,2,2,1,0,1,1,49,0,0,0,6.1,6.1
81,17050,Thomas Rawls,SEA,RB,7,SF,6,32,5.3,0,2,2,9,0,0,0,6.1,6.1
81,16886,Javorius Allen,BAL,RB,8,LAC,4,1,0.2,0,4,3,30,0,0,0,6.1,6.1
84,16056,James White,NE,RB,7,NYJ,2,4,2,0,5,3,26,0,0,0,6,6
85,14533,Robert Turbin,CLE,RB,7,LAR,5,30,6,0,2,2,8,0,0,0,5.8,5.8
86,16163,Antonio Andrews,TEN,RB,7,ATL,10,57,5.7,0,0,0,0,0,0,0,5.7,5.7
87,12323,Joique Bell,DET,RB,8,KC,7,56,8,0,1,0,0,0,0,0,5.6,5.6
87,14891,Tommy Bohanon,NYJ,FB,7,NE,0,0,0,0,4,2,36,0,0,0,5.6,5.6
87,3382,Marcel Reece,OAK,FB,8,NYJ,0,0,0,0,3,3,26,0,0,0,5.6,5.6
90,12323,Joique Bell,DET,RB,7,MIN,3,21,7,0,2,2,14,0,0,0,5.5,5.5
91,16345,Branden Oliver,LAC,RB,8,BAL,4,18,4.5,0,2,2,16,0,0,0,5.4,5.4
91,14916,Giovani Bernard,CIN,RB,8,PIT,1,12,12,0,3,2,22,0,0,0,5.4,5.4
93,4738,Mike Tolbert,CAR,FB,8,IND,0,0,0,0,1,1,40,0,0,0,5,5
94,14901,Kyle Juszczyk,BAL,FB,8,LAC,0,0,0,0,2,1,39,0,0,0,4.9,4.9
95,16510,Jerick McKinnon,MIN,RB,7,DET,9,36,4,0,1,1,1,0,0,0,4.7,4.7
96,16867,Jeremy Langford,CHI,RB,8,MIN,12,46,3.8,0,1,0,0,0,0,0,4.6,4.6
97,16886,Javorius Allen,BAL,RB,7,ARI,3,25,8.3,0,1,1,10,0,0,0,4.5,4.5
97,3382,Marcel Reece,OAK,FB,7,LAC,0,0,0,0,3,3,15,0,0,0,4.5,4.5
99,15207,Benjamin Cunningham,LAR,RB,7,CLE,4,11,2.8,0,2,2,13,0,0,0,4.4,4.4
99,16847,David Johnson,ARI,RB,7,BAL,3,5,1.7,0,2,2,19,0,0,0,4.4,4.4
101,16815,Ameer Abdullah,DET,RB,7,MIN,8,43,5.4,0,0,0,0,0,0,0,4.3,4.3
101,15467,Kendall Gaskins,SF,FB,8,LAR,5,6,1.2,0,3,2,17,0,0,0,4.3,4.3
103,13255,Matt Asiata,MIN,RB,8,CHI,1,5,5,0,3,3,6,0,0,0,4.1,4.1
104,16668,Carlos Hyde,SF,RB,7,SEA,11,40,3.6,0,0,0,0,0,1,0,4,4
104,15221,Zac Stacy,NYJ,RB,7,NE,7,19,2.7,0,1,1,11,0,0,0,4,4
106,16031,Damien Williams,MIA,RB,7,HOU,4,19,4.8,0,2,2,10,0,1,1,3.9,3.9
107,13735,Chris Polk,HOU,RB,7,MIA,4,4,1,0,3,2,14,0,0,0,3.8,3.8
107,16887,Mike Davis,SF,RB,8,LAR,10,4,0.4,0,3,2,14,0,0,0,3.8,3.8
107,12506,James Starks,GB,RB,8,DEN,5,9,1.8,0,2,2,9,0,0,0,3.8,3.8
110,15645,Khiry Robinson,NO,RB,8,NYG,4,4,1,0,2,2,13,0,0,0,3.7,3.7
111,16127,Isaiah Crowell,CLE,RB,8,ARI,10,14,1.4,0,2,1,12,0,0,0,3.6,3.6
112,13735,Chris Polk,HOU,RB,8,TEN,8,18,2.2,0,2,1,4,0,0,0,3.2,3.2
112,14719,Jonathan Grimes,HOU,RB,8,TEN,0,0,0,0,3,2,12,0,0,0,3.2,3.2
114,2220,Ahmad Bradshaw,IND,RB,8,CAR,7,31,4.4,0,1,0,0,0,0,0,3.1,3.1
114,16834,Tevin Coleman,ATL,RB,8,TB,3,11,3.7,0,1,1,10,0,0,0,3.1,3.1
