Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Todd Gurley,LAR,RB,1,OAK,19.3,87.6,4.6,0.8,5.57,4.1,40.1,0.2,0.2,0.2,18.4,18.37
2,Alvin Kamara,NO,RB,1,TB,14.4,73.8,5.3,0.6,6.55,5,47.2,0.3,0.1,0.1,17.3,17.3
3,David Johnson,ARI,RB,1,WAS,18.7,76.7,4.1,0.6,6.5,5,49.1,0.2,0.2,0.2,17,16.98
4,Ezekiel Elliott,DAL,RB,1,CAR,19.7,85.5,4.3,0.6,3.45,2.6,23.8,0.1,0.1,0.1,14.9,14.93
5,Melvin Gordon,LAC,RB,1,KC,17.8,75.2,4.2,0.6,5.03,3.4,29.8,0.1,0.1,0.1,14.5,14.5
6,Leonard Fournette,JAX,RB,1,NYG,19.6,80.5,4,0.6,3.67,2.5,20.6,0.1,0.1,0.1,14.1,14.11
7,Kareem Hunt,KC,RB,1,LAC,15.3,75.6,5.1,0.5,4.51,3.2,25.3,0.1,0.1,0.1,13.5,13.49
8,Saquon Barkley,NYG,RB,1,JAX,16.9,71.3,4.2,0.4,5.06,3.4,26.4,0.1,0.1,0.1,12.6,12.57
9,Dalvin Cook,MIN,RB,1,SF,16.7,67.9,4,0.5,4.29,2.9,22.8,0.1,0.1,0.1,12.5,12.47
10,Christian McCaffrey,CAR,RB,1,DAL,11.9,48.3,4,0.3,6.72,4.8,42.1,0.3,0.1,0.1,12.4,12.44
11,Alex Collins,BAL,RB,1,BUF,15.7,69.8,4.4,0.5,2.74,2,15.6,0.1,0.1,0.1,11.9,11.94
12,Devonta Freeman,ATL,RB,1,PHI,13.9,56.4,4,0.5,4.05,3,24.2,0.1,0.1,0.1,11.5,11.46
13,Jordan Howard,CHI,RB,1,GB,16.5,67.7,4.2,0.5,2.6,1.9,14.3,0,0.1,0.1,11,11
14,Joe Mixon,CIN,RB,1,IND,14.1,58.2,4.1,0.5,3.69,2.6,22.8,0,0.1,0.1,10.9,10.9
15,LeSean McCoy,BUF,RB,1,BAL,14.7,59.7,4,0.3,4.62,3.4,24.7,0.1,0.1,0.1,10.6,10.64
16,Derrick Henry,TEN,RB,1,MIA,13.9,60.9,4.4,0.5,1.78,1.2,10.6,0.1,0.1,0.1,10.6,10.55
17,Lamar Miller,HOU,RB,1,NE,14.4,61.3,4.4,0.3,3.61,2.6,21.7,0.1,0.1,0.1,10.5,10.5
18,Kenyan Drake,MIA,RB,1,TEN,13.2,56.1,4.3,0.4,4.14,2.8,20.6,0.1,0.1,0.1,10.5,10.47
19,Jamaal Williams,GB,RB,1,CHI,13.3,58.3,4.5,0.4,2.52,1.9,16.3,0.1,0.1,0.1,10.3,10.26
20,Le'Veon Bell,PIT,RB,1,CLE,10.6,48,4.4,0.4,4.26,2.9,24.7,0.1,0.1,0.1,10.1,10.07
21,Royce Freeman,DEN,RB,1,SEA,13.6,55.6,4,0.4,3.04,2.1,16.8,0.1,0.1,0.1,10,10.04
22,James Conner,PIT,RB,1,CLE,13.5,53.4,3.8,0.4,2.51,1.7,12.2,0.1,0,0,9.6,9.56
23,Jay Ajayi,PHI,RB,1,ATL,15.1,66.1,4.4,0.3,2.48,1.8,12.8,0,0.1,0.1,9.5,9.49
24,Rex Burkhead,NE,RB,1,HOU,9.2,39.9,4.4,0.5,3.6,2.5,20.6,0.1,0.1,0.1,9.4,9.45
25,Marshawn Lynch,OAK,RB,1,LAR,12.6,56.3,4.3,0.4,2.08,1.5,11.6,0,0.1,0.1,9,8.99
26,Carlos Hyde,CLE,RB,1,PIT,11.2,52.3,4.7,0.4,2.66,1.9,13.5,0,0.2,0.2,8.6,8.58
27,Dion Lewis,TEN,RB,1,MIA,8.5,38.6,4.9,0.3,3.88,2.7,20.3,0.1,0.1,0.1,8.1,8.09
28,Peyton Barber,TB,RB,1,NO,13.1,52.1,4,0.3,2.16,1.6,12.3,0,0.1,0.1,8,8.04
29,Kerryon Johnson,DET,RB,1,NYJ,10.6,41.8,3.8,0.3,2.54,1.9,15.2,0.1,0.1,0.1,7.9,7.9
30,Jordan Wilkins,IND,RB,1,CIN,10.7,39.9,3.6,0.3,2.16,1.6,13.2,0.1,0.1,0.1,7.5,7.51
31,Bilal Powell,NYJ,RB,1,DET,9.4,40.2,4.4,0.3,3.48,2.4,17.8,0,0.1,0.1,7.4,7.4
32,Isaiah Crowell,NYJ,RB,1,DET,11.3,45.1,4.1,0.3,2.64,1.8,12.8,0,0.1,0.1,7.4,7.39
33,Chris Carson,SEA,RB,1,DEN,11.5,44.4,3.7,0.2,2.38,1.6,12.9,0.1,0.1,0.1,7.3,7.33
34,Tevin Coleman,ATL,RB,1,PHI,9.3,38,4.2,0.2,2.68,2,18.6,0.1,0.1,0.1,7.3,7.26
35,Matt Breida,SF,RB,1,MIN,8.1,32.9,4.1,0.2,3.33,2.4,19.1,0.1,0.1,0.1,6.8,6.8
36,Alfred Morris,SF,RB,1,MIN,9.5,41.4,4.1,0.3,1.47,1.1,8.2,0,0.1,0.1,6.6,6.56
37,Adrian Peterson,WAS,RB,1,ARI,13.1,44.4,3.4,0.3,1.43,1.1,6.7,0,0.2,0.2,6.5,6.51
38,Duke Johnson,CLE,RB,1,PIT,4.2,18.6,4.8,0.1,5.16,3.8,34.2,0.1,0.1,0.1,6.3,6.28
39,Ty Montgomery,GB,RB,1,CHI,6,26.8,4.5,0.2,3.48,2.6,19.8,0.1,0.1,0.1,6.3,6.26
40,Chris Thompson,WAS,RB,1,ARI,4.1,16.1,4,0.1,4.52,3.3,30.3,0.2,0.1,0.1,6.2,6.24
41,Giovani Bernard,CIN,RB,1,IND,6.1,26.8,4.5,0.1,3.61,2.7,23.8,0.1,0.1,0.1,6.1,6.06
42,James White,NE,RB,1,HOU,3.8,13.9,3.5,0.1,5.36,3.7,30.5,0.2,0.1,0.1,6,6.04
43,Latavius Murray,MIN,RB,1,SF,8.5,34.1,4.2,0.3,1.33,1,7.4,0,0.1,0.1,5.8,5.75
44,Tarik Cohen,CHI,RB,1,GB,5.1,20.4,4,0.1,4.79,3.5,26.7,0.1,0.1,0.1,5.7,5.71
45,Marlon Mack,IND,RB,1,CIN,6.1,27.8,4.7,0.2,1.59,1.1,10.3,0.1,0,0,5.6,5.61
46,Corey Clement,PHI,RB,1,ATL,6,24.9,4.2,0.2,2.22,1.7,14.8,0.1,0.1,0.1,5.6,5.57
47,Devontae Booker,DEN,RB,1,SEA,8.1,29.2,3.6,0.2,2.59,1.8,15.7,0,0.1,0.1,5.5,5.49
48,Javorius Allen,BAL,RB,1,BUF,6.3,24.8,4.2,0.2,2.89,2.1,13.9,0.1,0.1,0.1,5.5,5.47
49,Mike Gillislee,NO,RB,1,TB,7.7,31.1,3.9,0.3,1.07,0.8,6.9,0,0.2,0.2,5.2,5.2
50,Theo Riddick,DET,RB,1,NYJ,4.2,14.2,3.5,0.1,4.88,3.3,26.5,0.1,0.1,0.1,5.1,5.07
51,CJ Anderson,CAR,RB,1,DAL,8.4,34.3,4.2,0.2,1.12,0.8,5.7,0,0.1,0.1,5,5
52,LeGarrette Blount,DET,RB,1,NYJ,8.2,30.3,3.8,0.3,0.55,0.4,2.4,0,0.1,0.1,4.9,4.87
53,Austin Ekeler,LAC,RB,1,KC,5.8,22.9,3.8,0.1,2.34,1.7,16.2,0.1,0.2,0.2,4.7,4.71
54,Jaylen Samuels,PIT,FB,1,CLE,5.3,18.3,3.6,0.2,2.5,1.9,15.1,0,0,0,4.5,4.54
55,Nyheim Hines,IND,RB,1,CIN,4.9,17.5,3.6,0.1,2.7,2,15.8,0.1,0,0,4.5,4.53
56,Darren Sproles,PHI,RB,1,ATL,3.9,16,4,0.1,3.31,2.3,19.1,0.1,0.1,0.1,4.5,4.51
57,Frank Gore,MIA,RB,1,TEN,7,23.8,3.4,0.1,2.01,1.5,10.9,0.1,0.1,0.1,4.5,4.47
58,Jeremy Hill,NE,RB,1,HOU,6.1,23.2,3.8,0.3,0.78,0.6,4.3,0,0.1,0.1,4.4,4.35
59,Doug Martin,OAK,RB,1,LAR,7.4,27.3,3.9,0.2,1.02,0.7,5.6,0,0.1,0.1,4.3,4.29
60,Sony Michel,NE,RB,1,HOU,4.7,18.1,3.6,0.2,1.64,1.2,9.3,0,0,0,3.9,3.94
61,TJ Yeldon,JAX,RB,1,NYG,4.7,17.6,3.6,0.1,2.81,1.9,15.1,0,0.1,0.1,3.7,3.67
