Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Kareem Hunt,KC,RB,1,NE,17,148,8.7,1,5,5,98,2,1,1,49.6,49.6
2,Kareem Hunt,KC,RB,15,LAC,24,155,6.5,1,9,7,51,1,0,0,42.6,42.6
3,Kareem Hunt,KC,RB,3,LAC,17,172,10.1,1,1,1,11,0,0,0,28.3,28.3
4,Kareem Hunt,KC,RB,2,PHI,13,81,6.2,2,3,3,28,0,0,0,25.9,25.9
5,Kareem Hunt,KC,RB,14,OAK,25,116,4.6,1,3,3,22,0,0,0,25.8,25.8
6,Kareem Hunt,KC,RB,16,MIA,29,91,3.1,1,4,4,15,0,0,0,20.6,20.6
7,Kareem Hunt,KC,RB,4,WAS,21,101,4.8,0,4,4,20,0,0,0,19.1,19.1
8,Kareem Hunt,KC,RB,5,HOU,29,107,3.7,0,4,3,9,0,0,0,17.6,17.6
9,Kareem Hunt,KC,RB,6,PIT,9,21,2.3,0,6,5,89,0,0,0,16,16
10,Kareem Hunt,KC,RB,7,OAK,18,87,4.8,0,4,4,30,0,0,0,15.7,15.7
11,Kareem Hunt,KC,RB,11,NYG,18,73,4.1,0,4,3,4,0,0,0,10.7,10.7
12,Kareem Hunt,KC,RB,9,DAL,9,37,4.1,0,5,4,24,0,0,0,10.1,10.1
13,Kareem Hunt,KC,RB,8,DEN,22,46,2.1,0,5,3,22,0,0,0,9.8,9.8
14,Kareem Hunt,KC,RB,17,DEN,1,35,35,1,0,0,0,0,0,0,9.5,9.5
15,Kareem Hunt,KC,RB,13,NYJ,9,40,4.4,0,5,3,23,0,0,0,9.3,9.3
16,Kareem Hunt,KC,RB,12,BUF,11,17,1.5,0,1,1,9,0,0,0,3.6,3.6
