Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Alvin Kamara,NO,RB,2,CLE,18,28,9500,23.37
2,Todd Gurley,LAR,RB,1,OAK,25,17,9600,22.74
3,Todd Gurley,LAR,RB,2,ARI,23,32,9200,22.71
4,Alvin Kamara,NO,RB,1,TB,27,28,8500,22.32
5,David Johnson,ARI,RB,1,WAS,23,30,8800,22.22
6,Ezekiel Elliott,DAL,RB,2,NYG,4,21,8400,19.78
7,David Johnson,ARI,RB,2,LAR,12,20,8200,19.45
8,Melvin Gordon,LAC,RB,2,BUF,29,26,7400,19.31
9,Christian McCaffrey,CAR,RB,2,ATL,3,27,7000,18.11
10,Melvin Gordon,LAC,RB,1,KC,21,12,6800,18
11,Saquon Barkley,NYG,RB,2,DAL,3,17,8000,17.99
12,Ezekiel Elliott,DAL,RB,1,CAR,15,3,7700,17.96
13,James Conner,PIT,RB,2,KC,30,31,6700,17.95
14,Christian McCaffrey,CAR,RB,1,DAL,12,5,6400,17.44
15,Kareem Hunt,KC,RB,1,LAC,3,19,6900,16.82
16,Leonard Fournette,JAX,RB,1,NYG,32,21,7100,16.76
17,Dalvin Cook,MIN,RB,2,GB,7,10,6500,16.28
18,Saquon Barkley,NYG,RB,1,JAX,2,11,6700,16.19
19,TJ Yeldon,JAX,RB,2,NE,14,21,6000,16.1
20,Kareem Hunt,KC,RB,2,PIT,15,13,6200,15.83
21,Tevin Coleman,ATL,RB,2,CAR,2,9,5300,15.46
22,Dalvin Cook,MIN,RB,1,SF,28,24,6200,15.42
23,Devonta Freeman,ATL,RB,1,PHI,5,2,6600,14.58
24,Jordan Howard,CHI,RB,2,SEA,31,27,7500,14.44
25,LeSean McCoy,BUF,RB,1,BAL,4,23,6000,14.15
26,James Conner,PIT,RB,1,CLE,24,15,4500,14.01
27,Joe Mixon,CIN,RB,2,BAL,1,1,6400,13.85
28,Joe Mixon,CIN,RB,1,IND,29,20,6100,13.76
29,Lamar Miller,HOU,RB,2,TEN,16,8,5400,13.6
30,Alex Collins,BAL,RB,1,BUF,16,32,5600,13.46
31,Lamar Miller,HOU,RB,1,NE,20,14,5200,13.45
31,Kenyan Drake,MIA,RB,1,TEN,19,8,5900,13.45
33,LeSean McCoy,BUF,RB,2,LAC,27,16,5700,13.44
34,Kenyan Drake,MIA,RB,2,NYJ,4,1,5800,13.42
35,Jordan Howard,CHI,RB,1,GB,30,22,6300,12.99
36,Chris Thompson,WAS,RB,2,IND,19,22,5900,12.78
37,Rex Burkhead,NE,RB,1,HOU,31,13,4200,12.77
38,Adrian Peterson,WAS,RB,2,IND,19,22,5500,12.53
38,Dion Lewis,TEN,RB,2,HOU,24,24,5000,12.53
40,Jay Ajayi,PHI,RB,2,TB,31,30,6300,12.48
40,Jamaal Williams,GB,RB,1,CHI,7,9,6000,12.48
42,Royce Freeman,DEN,RB,1,SEA,8,10,4500,12.24
43,Alex Collins,BAL,RB,2,CIN,21,7,5800,11.92
44,Derrick Henry,TEN,RB,1,MIA,22,25,5400,11.9
44,Jamaal Williams,GB,RB,2,MIN,11,7,5200,11.9
46,Rex Burkhead,NE,RB,2,JAX,8,19,4800,11.68
47,Matt Breida,SF,RB,2,DET,25,29,4800,11.54
48,Carlos Hyde,CLE,RB,2,NO,32,3,4900,11.41
49,Jay Ajayi,PHI,RB,1,ATL,10,7,5500,11.4
50,Dion Lewis,TEN,RB,1,MIA,22,25,4900,11.07
51,James White,NE,RB,2,JAX,8,19,4900,10.94
52,Carlos Hyde,CLE,RB,1,PIT,6,18,4500,10.89
53,Royce Freeman,DEN,RB,2,OAK,21,23,4600,10.82
54,Marshawn Lynch,OAK,RB,1,LAR,14,31,5300,10.56
55,James White,NE,RB,1,HOU,31,13,4000,10.47
56,Chris Thompson,WAS,RB,1,ARI,11,4,4700,10.3
57,Chris Carson,SEA,RB,2,CHI,25,1,4800,10.23
