Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,18983,James Conner,PIT,RB,5,ATL,21,110,5.2,2,4,4,75,0,1,0,37.5,37.5
2,16771,Todd Gurley,LAR,RB,5,SEA,22,77,3.5,3,5,4,36,0,0,0,33.3,33.3
3,16127,Isaiah Crowell,NYJ,RB,5,DEN,15,219,14.6,1,1,1,12,0,0,0,33.1,33.1
4,19766,Saquon Barkley,NYG,RB,5,CAR,15,48,3.2,0,4,4,81,2,0,0,28.9,28.9
5,16797,TJ Yeldon,JAX,RB,5,KC,10,53,5.3,0,10,8,69,1,0,0,26.2,26.2
6,18003,Kenyan Drake,MIA,RB,5,CIN,6,46,7.7,0,11,7,69,1,0,0,24.5,24.5
7,16056,James White,NE,RB,5,IND,2,0,0,0,14,10,77,1,0,0,23.7,23.7
8,16776,Melvin Gordon,LAC,RB,5,OAK,19,58,3.1,1,4,4,62,0,0,0,22,22
9,13337,Mark Ingram,NO,RB,5,WAS,16,53,3.3,2,3,2,20,0,1,0,21.3,21.3
10,16847,David Johnson,ARI,RB,5,SF,18,55,3.1,2,3,2,16,0,0,0,21.1,21.1
11,18858,Joe Mixon,CIN,RB,5,MIA,22,93,4.2,0,4,3,22,1,0,0,20.5,20.5
12,18877,Christian McCaffrey,CAR,RB,5,NYG,17,58,3.4,0,6,5,35,1,0,0,20.3,20.3
13,16189,Alfred Blue,HOU,RB,5,DAL,20,46,2.3,0,8,8,73,0,0,0,19.9,19.9
14,18070,Wendell Smallwood,PHI,RB,5,MIN,3,27,9,0,4,3,44,1,0,0,18.1,18.1
15,19828,Sony Michel,NE,RB,5,IND,18,98,5.4,1,1,1,12,0,0,0,18,18
16,19119,Chris Carson,SEA,RB,5,LAR,19,116,6.1,0,1,1,11,0,0,0,16.7,16.7
17,18944,Kareem Hunt,KC,RB,5,JAX,22,87,4,1,2,1,7,0,0,0,16.4,16.4
18,19912,Nyheim Hines,IND,RB,5,NE,15,45,3,0,9,7,45,0,0,0,16,16
19,16887,Mike Davis,SEA,RB,5,LAR,12,68,5.7,1,2,2,7,0,0,0,15.5,15.5
20,17923,Ezekiel Elliott,DAL,RB,5,HOU,20,54,2.7,0,7,7,30,0,0,0,15.4,15.4
21,14901,Kyle Juszczyk,SF,FB,5,ARI,1,12,12,0,7,6,75,0,0,0,14.7,14.7
22,12296,LeGarrette Blount,DET,RB,5,GB,12,22,1.8,2,0,0,0,0,0,0,14.2,14.2
23,19319,Matt Breida,SF,RB,5,ARI,8,56,7,0,1,1,5,1,0,0,13.1,13.1
24,19562,Austin Ekeler,LAC,RB,5,OAK,6,15,2.5,0,3,1,44,1,0,0,12.9,12.9
25,11932,LeSean McCoy,BUF,RB,5,TEN,24,85,3.5,0,3,2,23,0,0,0,12.8,12.8
25,16886,Javorius Allen,BAL,RB,5,CLE,8,34,4.2,0,8,6,44,0,1,1,12.8,12.8
27,15102,Chris Thompson,WAS,RB,5,NO,8,17,2.1,0,8,6,45,0,0,0,12.2,12.2
