games,year,Name,Team,Week,Opponent,att,yds,td,tar,rec_yds,def_rk,h/a_1,surface_0,points
1,2016,Aaron Green,LAR,16,SF,0,0,0,0,0,32,1.0,1.0,0.0
2,2016,Aaron Green,LAR,17,ARI,0,0,0,0,0,1,1.0,1.0,0.0
1,2017,Aaron Jones,GB,2,ATL,0,0,0,0,0,14,0.0,0.0,0.0
2,2017,Aaron Jones,GB,3,CIN,0,0,0,0,0,30,1.0,1.0,0.0
3,2017,Aaron Jones,GB,4,CHI,13,49,1,0,0,11,1.0,1.0,10.9
4,2017,Aaron Jones,GB,5,DAL,19,125,1,1,9,8,0.0,0.0,23.4
5,2017,Aaron Jones,GB,6,MIN,13,41,0,4,1,1,0.0,0.0,5.2
6,2017,Aaron Jones,GB,7,NO,17,131,1,5,7,17,1.0,1.0,25.8
7,2017,Aaron Jones,GB,9,DET,5,12,0,5,-1,31,1.0,1.0,3.1
8,2017,Aaron Jones,GB,10,CHI,3,12,0,1,0,11,0.0,1.0,2.2
9,2017,Aaron Jones,GB,13,TB,1,20,1,0,0,29,1.0,1.0,8.0
10,2017,Aaron Jones,GB,14,CLE,4,-2,0,0,0,13,0.0,1.0,-0.2
11,2017,Aaron Jones,GB,15,CAR,3,47,0,2,6,3,0.0,1.0,6.3
12,2017,Aaron Jones,GB,16,MIN,3,13,0,0,0,1,1.0,1.0,1.3
13,2018,Aaron Jones,GB,3,WAS,6,42,0,1,5,14,0.0,1.0,5.7
14,2018,Aaron Jones,GB,3,WAS,6,42,0,1,5,15,0.0,1.0,5.7
15,2018,Aaron Jones,GB,4,BUF,11,65,1,1,17,25,1.0,1.0,15.2
16,2018,Aaron Jones,GB,4,BUF,11,65,1,1,17,18,1.0,1.0,15.2
17,2018,Aaron Jones,GB,5,DET,7,40,0,3,19,29,0.0,0.0,7.9
18,2018,Aaron Jones,GB,6,SF,8,41,0,1,0,22,0.0,1.0,4.1
19,2018,Aaron Jones,GB,8,LAR,12,86,1,2,0,14,0.0,1.0,16.6
1,2015,Aaron Ripkowski,GB,1,CHI,0,0,0,0,0,22,0.0,1.0,0.0
2,2015,Aaron Ripkowski,GB,2,SEA,0,0,0,0,0,1,1.0,1.0,0.0
3,2015,Aaron Ripkowski,GB,3,KC,0,0,0,0,0,3,1.0,1.0,0.0
4,2015,Aaron Ripkowski,GB,4,SF,0,0,0,0,0,32,0.0,1.0,0.0
5,2015,Aaron Ripkowski,GB,5,LAR,0,0,0,0,0,23,1.0,1.0,0.0
6,2015,Aaron Ripkowski,GB,6,LAC,0,0,0,0,0,26,1.0,1.0,0.0
7,2015,Aaron Ripkowski,GB,8,DEN,0,0,0,0,0,14,0.0,1.0,0.0
8,2015,Aaron Ripkowski,GB,9,CAR,0,0,0,1,18,19,0.0,1.0,2.8
9,2015,Aaron Ripkowski,GB,10,DET,0,0,0,0,0,17,1.0,1.0,0.0
10,2015,Aaron Ripkowski,GB,11,MIN,0,0,0,0,0,9,0.0,0.0,0.0
11,2015,Aaron Ripkowski,GB,12,CHI,0,0,0,0,0,22,1.0,1.0,0.0
12,2015,Aaron Ripkowski,GB,14,DAL,0,0,0,0,0,25,1.0,1.0,0.0
13,2015,Aaron Ripkowski,GB,15,OAK,0,0,0,0,0,21,0.0,1.0,0.0
14,2015,Aaron Ripkowski,GB,16,ARI,0,0,0,0,0,8,0.0,1.0,0.0
15,2015,Aaron Ripkowski,GB,17,MIN,0,0,0,0,0,9,1.0,1.0,0.0
16,2016,Aaron Ripkowski,GB,1,JAX,0,0,0,0,0,14,0.0,1.0,0.0
17,2016,Aaron Ripkowski,GB,2,MIN,0,0,0,0,0,8,0.0,0.0,0.0
18,2016,Aaron Ripkowski,GB,3,DET,0,0,0,0,0,9,1.0,1.0,0.0
19,2016,Aaron Ripkowski,GB,5,NYG,2,17,0,0,0,6,1.0,1.0,1.7
20,2016,Aaron Ripkowski,GB,6,DAL,1,0,0,1,2,3,1.0,1.0,1.2
21,2016,Aaron Ripkowski,GB,7,CHI,3,8,0,1,8,5,1.0,1.0,2.6
22,2016,Aaron Ripkowski,GB,8,ATL,6,34,0,1,-1,29,0.0,0.0,4.3
23,2016,Aaron Ripkowski,GB,9,IND,2,4,0,1,3,25,1.0,1.0,1.7
24,2016,Aaron Ripkowski,GB,10,TEN,0,0,0,0,0,2,0.0,1.0,0.0
25,2016,Aaron Ripkowski,GB,11,WAS,2,9,0,0,0,26,0.0,1.0,0.9
26,2016,Aaron Ripkowski,GB,12,PHI,3,1,1,2,15,12,0.0,1.0,9.6
27,2016,Aaron Ripkowski,GB,13,HOU,3,14,1,1,4,11,1.0,1.0,8.8
28,2016,Aaron Ripkowski,GB,14,SEA,3,2,0,1,0,4,1.0,1.0,0.2
29,2016,Aaron Ripkowski,GB,15,CHI,0,0,0,0,0,5,0.0,1.0,0.0
30,2016,Aaron Ripkowski,GB,16,MIN,0,0,0,0,0,8,1.0,1.0,0.0
31,2016,Aaron Ripkowski,GB,17,DET,9,61,0,2,15,9,0.0,0.0,15.6
32,2017,Aaron Ripkowski,GB,1,SEA,0,0,0,0,0,9,1.0,1.0,0.0
33,2017,Aaron Ripkowski,GB,2,ATL,0,0,0,1,2,14,0.0,0.0,1.2
34,2017,Aaron Ripkowski,GB,3,CIN,0,0,0,0,0,30,1.0,1.0,0.0
35,2017,Aaron Ripkowski,GB,4,CHI,1,4,0,2,6,11,1.0,1.0,2.0
36,2017,Aaron Ripkowski,GB,5,DAL,1,2,0,0,0,8,0.0,0.0,0.2
37,2017,Aaron Ripkowski,GB,6,MIN,0,0,0,1,0,1,0.0,0.0,1.0
38,2017,Aaron Ripkowski,GB,7,NO,0,0,0,0,0,17,1.0,1.0,0.0
39,2017,Aaron Ripkowski,GB,9,DET,0,0,0,1,9,31,1.0,1.0,1.9
40,2017,Aaron Ripkowski,GB,10,CHI,2,3,0,1,12,11,0.0,1.0,2.5
41,2017,Aaron Ripkowski,GB,11,BAL,0,0,0,1,6,20,1.0,1.0,1.6
42,2017,Aaron Ripkowski,GB,12,PIT,1,4,0,0,0,18,0.0,1.0,0.4
43,2017,Aaron Ripkowski,GB,13,TB,0,0,0,1,0,29,1.0,1.0,0.0
44,2017,Aaron Ripkowski,GB,14,CLE,0,0,0,1,0,13,0.0,1.0,0.0
45,2017,Aaron Ripkowski,GB,15,CAR,0,0,0,0,0,3,0.0,1.0,0.0
46,2017,Aaron Ripkowski,GB,16,MIN,0,0,0,1,4,1,1.0,1.0,1.4
47,2017,Aaron Ripkowski,GB,17,DET,0,0,0,0,0,31,0.0,0.0,0.0
1,2015,Adrian Peterson,MIN,1,SF,10,31,0,3,21,32,0.0,1.0,8.2
2,2015,Adrian Peterson,MIN,2,DET,29,134,0,2,58,17,1.0,0.0,23.2
3,2015,Adrian Peterson,MIN,3,LAC,20,126,2,0,0,26,1.0,0.0,27.6
4,2015,Adrian Peterson,MIN,4,DEN,16,81,1,6,13,14,0.0,1.0,19.4
5,2015,Adrian Peterson,MIN,6,KC,26,60,0,1,-3,3,1.0,0.0,6.7
6,2015,Adrian Peterson,MIN,7,DET,19,98,0,3,12,17,0.0,0.0,14.0
7,2015,Adrian Peterson,MIN,8,CHI,20,103,0,2,6,22,0.0,1.0,15.9
8,2015,Adrian Peterson,MIN,9,LAR,29,125,1,2,18,23,1.0,0.0,25.3
9,2015,Adrian Peterson,MIN,10,OAK,26,203,1,3,13,21,0.0,1.0,32.6
10,2015,Adrian Peterson,MIN,11,GB,13,45,1,2,16,13,1.0,0.0,13.1
11,2015,Adrian Peterson,MIN,12,ATL,29,158,2,4,29,30,0.0,0.0,35.7
12,2015,Adrian Peterson,MIN,13,SEA,8,18,0,4,6,1,1.0,0.0,6.4
13,2015,Adrian Peterson,MIN,14,ARI,23,69,1,1,17,8,0.0,1.0,14.6
14,2015,Adrian Peterson,MIN,15,CHI,18,63,0,0,0,22,1.0,0.0,6.3
15,2015,Adrian Peterson,MIN,16,NYG,22,104,1,2,15,24,1.0,0.0,21.9
16,2015,Adrian Peterson,MIN,17,GB,19,67,1,1,1,13,0.0,1.0,13.8
17,2016,Adrian Peterson,MIN,1,TEN,19,31,0,2,0,2,0.0,1.0,3.1
18,2016,Adrian Peterson,MIN,2,GB,12,19,0,3,7,10,1.0,0.0,4.6
19,2016,Adrian Peterson,MIN,15,IND,6,22,0,1,1,25,1.0,0.0,2.3
20,2017,Adrian Peterson,NO,1,MIN,6,18,0,1,0,1,0.0,0.0,1.8
21,2017,Adrian Peterson,NO,2,NE,8,26,0,0,0,16,1.0,0.0,2.6
22,2017,Adrian Peterson,NO,3,CAR,9,33,0,2,4,3,0.0,1.0,5.7
23,2017,Adrian Peterson,NO,4,MIA,4,4,0,0,0,25,0.0,1.0,0.4
