Name,Team,year,Week,Opponent,def_rk,h/a_1,surface_0
Todd Gurley II,LAR,2018,9,NO,21,0.0,0.0
Melvin Gordon III,LAC,2018,9,SEA,18,0.0,0.0
Le'Veon Bell,PIT,2018,9,BAL,25,0.0,1.0
Christian McCaffrey,CAR,2018,9,TB,15,1.0,1.0
Kareem Hunt,KC,2018,9,CLE,12,0.0,1.0
Alvin Kamara,NO,2018,9,LAR,8,1.0,0.0
James Conner,PIT,2018,9,BAL,25,0.0,1.0
Tarik Cohen,CHI,2018,9,BUF,9,0.0,0.0
Adrian Peterson,WAS,2018,9,ATL,23,1.0,1.0
Kerryon Johnson,DET,2018,9,MIN,3,0.0,0.0
Phillip Lindsay,DEN,2018,9,HOU,1,1.0,1.0
Chris Thompson,WAS,2018,9,ATL,23,1.0,1.0
Kenyan Drake,MIA,2018,9,NYJ,17,1.0,1.0
Dalvin Cook,MIN,2018,9,DET,20,1.0,0.0
Lamar Miller,HOU,2018,9,DEN,26,0.0,1.0
Latavius Murray,MIN,2018,9,DET,20,1.0,0.0
Mark Ingram,NO,2018,9,LAR,8,1.0,0.0
LeSean McCoy,BUF,2018,9,CHI,4,1.0,0.0
Tevin Coleman,ATL,2018,9,WAS,11,0.0,1.0
Jordan Howard,CHI,2018,9,BUF,9,0.0,0.0
Chris Carson,SEA,2018,9,LAC,10,1.0,0.0
Alex Collins,BAL,2018,9,PIT,7,1.0,1.0
Nick Chubb,CLE,2018,9,KC,10,1.0,1.0
Austin Ekeler,LAC,2018,9,SEA,18,0.0,0.0
Isaiah Crowell,NYJ,2018,9,MIA,27,0.0,1.0
Malcolm Brown,LAR,2018,9,NO,21,0.0,0.0
Spencer Ware,KC,2018,9,CLE,12,0.0,1.0
Chris Ivory,BUF,2018,9,CHI,4,1.0,0.0
John Kelly,LAR,2018,9,NO,21,0.0,0.0
Duke Johnson Jr.,CLE,2018,9,KC,10,1.0,1.0
Stevan Ridley,PIT,2018,9,BAL,25,0.0,1.0
Javorius Allen,BAL,2018,9,PIT,7,1.0,1.0
Theo Riddick,DET,2018,9,MIN,3,0.0,0.0
Royce Freeman,DEN,2018,9,HOU,1,1.0,1.0
Ito Smith,ATL,2018,9,WAS,11,0.0,1.0
Devontae Booker,DEN,2018,9,HOU,1,1.0,1.0
Rashaad Penny,SEA,2018,9,LAC,10,1.0,0.0
Peyton Barber,TB,2018,9,CAR,13,0.0,1.0
Trenton Cannon,NYJ,2018,9,MIA,27,0.0,1.0
Alfred Blue,HOU,2018,9,DEN,26,0.0,1.0
D'Onta Foreman,HOU,2018,9,DEN,26,0.0,1.0
Frank Gore,MIA,2018,9,NYJ,17,1.0,1.0
Kapri Bibbs,WAS,2018,9,ATL,23,1.0,1.0
Ronald Jones II,TB,2018,9,CAR,13,0.0,1.0
LeGarrette Blount,DET,2018,9,MIN,3,0.0,0.0
Mike Davis,SEA,2018,9,LAC,10,1.0,0.0
Marcus Murphy,BUF,2018,9,CHI,4,1.0,0.0
C.J. Anderson,CAR,2018,9,TB,15,1.0,1.0
Benny Cunningham,CHI,2018,9,BUF,9,0.0,0.0
Kalen Ballage,MIA,2018,9,NYJ,17,1.0,1.0
Tyler Ervin,HOU,2018,9,DEN,26,0.0,1.0
Taiwan Jones,BUF,2018,9,CHI,4,1.0,0.0
Patrick DiMarco,BUF,2018,9,CHI,4,1.0,0.0
Michael Burton,CHI,2018,9,BUF,9,0.0,0.0
Jacquizz Rodgers,TB,2018,9,CAR,13,0.0,1.0
Shaun Wilson,TB,2018,9,CAR,13,0.0,1.0
Cameron Artis-Payne,CAR,2018,9,TB,15,1.0,1.0
Alex Armah,CAR,2018,9,TB,15,1.0,1.0
Elijah Hood,CAR,2018,9,TB,15,1.0,1.0
Dontrell Hilliard,CLE,2018,9,KC,10,1.0,1.0
Darrel Williams,KC,2018,9,CLE,12,0.0,1.0
Damien Williams,KC,2018,9,CLE,12,0.0,1.0
Anthony Sherman,KC,2018,9,CLE,12,0.0,1.0
Brandon Bolden,MIA,2018,9,NYJ,17,1.0,1.0
Senorise Perry,MIA,2018,9,NYJ,17,1.0,1.0
Elijah McGuire,NYJ,2018,9,MIA,27,0.0,1.0
De'Angelo Henderson,NYJ,2018,9,MIA,27,0.0,1.0
Jaylen Samuels,PIT,2018,9,BAL,25,0.0,1.0
Roosevelt Nix,PIT,2018,9,BAL,25,0.0,1.0
Gus Edwards,BAL,2018,9,PIT,7,1.0,1.0
Kenneth Dixon,BAL,2018,9,PIT,7,1.0,1.0
Patrick Ricard,BAL,2018,9,PIT,7,1.0,1.0
Nick Bellore,DET,2018,9,MIN,3,0.0,0.0
Ameer Abdullah,DET,2018,9,MIN,3,0.0,0.0
Mike Boone,MIN,2018,9,DET,20,1.0,0.0
C.J. Ham,MIN,2018,9,DET,20,1.0,0.0
Roc Thomas,MIN,2018,9,DET,20,1.0,0.0
Devonta Freeman,ATL,2018,9,WAS,11,0.0,1.0
Brian Hill,ATL,2018,9,WAS,11,0.0,1.0
Ricky Ortiz,ATL,2018,9,WAS,11,0.0,1.0
Rob Kelley,WAS,2018,9,ATL,23,1.0,1.0
Samaje Perine,WAS,2018,9,ATL,23,1.0,1.0
Byron Marshall,WAS,2018,9,ATL,23,1.0,1.0
Buddy Howell,HOU,2018,9,DEN,26,0.0,1.0
Andy Janovich,DEN,2018,9,HOU,1,1.0,1.0
Derek Watt,LAC,2018,9,SEA,18,0.0,0.0
Justin Jackson,LAC,2018,9,SEA,18,0.0,0.0
Detrez Newsome,LAC,2018,9,SEA,18,0.0,0.0
C.J. Prosise,SEA,2018,9,LAC,10,1.0,0.0
J.D. McKissic,SEA,2018,9,LAC,10,1.0,0.0
Tre Madden,SEA,2018,9,LAC,10,1.0,0.0
Justin Davis,LAR,2018,9,NO,21,0.0,0.0
Zach Line,NO,2018,9,LAR,8,1.0,0.0
Dwayne Washington,NO,2018,9,LAR,8,1.0,0.0
Shane Vereen,NO,2018,9,LAR,8,1.0,0.0
