player,games,avg_points,wght_avg,sal_avg,val
Matt Forte,39.0,16.83,16.99,3231.27,191.99
Reggie Bush,12.0,3.76,3.77,3395.15,902.97
Mike Tolbert,41.0,9.04,9.13,3330.08,368.37
Adrian Peterson,32.0,16.57,16.7,3311.9,199.87
Jonathan Stewart,44.0,15.09,15.25,2972.1,196.96
Fred Jackson,10.0,6.12,6.13,3062.63,500.43
Frank Gore,52.0,16.15,16.35,3350.91,207.49
Darren Sproles,35.0,13.58,13.69,3210.63,236.42
Chris Johnson,19.0,10.89,10.94,3321.29,304.99
DeAngelo Williams,24.0,16.32,16.41,3143.6,192.62
Jamaal Charles,20.0,11.39,11.44,3258.02,286.04
Darren McFadden,20.0,12.37,12.43,3331.32,269.31
Rashad Jennings,29.0,13.16,13.25,3630.4,275.87
Justin Forsett,19.0,11.65,11.7,3043.64,261.26
Dexter McCluster,14.0,7.94,7.97,3352.48,422.23
Ryan Mathews,26.0,13.47,13.55,3274.57,243.1
LeSean McCoy,46.0,20.32,20.54,3620.85,178.19
Chris Ivory,44.0,14.68,14.83,3555.94,242.23
Anthony Dixon,7.0,3.06,3.07,2521.38,823.98
Danny Woodhead,26.0,14.9,14.99,3343.74,224.41
Marshawn Lynch,26.0,13.46,13.54,3564.79,264.84
James Starks,25.0,11.71,11.78,3594.76,306.98
Dion Lewis,34.0,15.65,15.78,3744.2,239.25
Shane Vereen,33.0,11.58,11.67,3469.84,299.64
Bilal Powell,45.0,16.76,16.94,3288.53,196.21
Taiwan Jones,9.0,4.55,4.56,3345.96,735.38
DeMarco Murray,46.0,17.91,18.11,3413.89,190.61
Shaun Draughn,20.0,10.51,10.56,3154.17,300.11
Matt Asiata,27.0,9.27,9.33,3064.16,330.55
Jacquizz Rodgers,30.0,9.08,9.14,3421.76,376.85
Mark Ingram,44.0,19.08,19.28,3245.56,170.1
Chris Polk,15.0,6.32,6.34,2728.49,431.72
Brandon Bolden,15.0,7.08,7.11,3527.43,498.22
Lamar Miller,50.0,19.22,19.45,3359.05,174.77
Bobby Rainey,9.0,5.02,5.03,3095.65,616.66
Ronnie Hillman,24.0,10.78,10.84,3583.61,332.43
Alfred Morris,46.0,11.39,11.51,3116.48,273.62
Doug Martin,39.0,15.95,16.1,2961.52,185.68
Isaiah Pead,3.0,1.38,1.38,3003.71,2176.6
Jorvorskie Lane,1.0,0.14,0.14,2571.57,18368.36
Will Johnson,1.0,5.89,5.89,2571.57,436.6
Jonathan Grimes,19.0,8.49,8.53,3164.97,372.79
Jamize Olawale,23.0,7.56,7.6,3052.92,403.83
Tommy Bohanon,5.0,4.6,4.61,2528.66,549.71
Giovani Bernard,46.0,16.12,16.3,3131.92,194.29
Denard Robinson,18.0,6.99,7.02,2986.79,427.29
CJ Anderson,41.0,15.64,15.79,3631.62,232.2
Knile Davis,15.0,3.76,3.77,2979.65,792.46
Latavius Murray,50.0,17.43,17.64,3310.26,189.92
Joseph Randle,6.0,11.48,11.5,3136.02,273.17
Chris Thompson,39.0,15.54,15.68,3612.02,232.43
Eddie Lacy,29.0,11.14,11.22,3416.18,306.66
Austin Johnson,3.0,3.07,3.07,2250.38,733.02
Benjamin Cunningham,26.0,7.57,7.62,2752.17,363.56
Andre Ellington,26.0,9.52,9.58,3221.76,338.42
Fozzy Whittaker,32.0,8.11,8.17,2393.7,295.15
Derrick Coleman,6.0,1.37,1.37,3027.31,2209.72
Khiry Robinson,9.0,7.6,7.62,3896.79,512.74
Damien Williams,31.0,9.42,9.49,3613.07,383.55
Jeremy Hill,39.0,14.12,14.25,2977.13,210.84
Isaiah Crowell,52.0,16.56,16.76,3577.0,216.0
Terrance West,29.0,11.52,11.6,3411.55,296.14
Bishop Sankey,8.0,7.55,7.56,3848.87,509.78
Alfred Blue,40.0,11.14,11.25,3544.56,318.18
Branden Oliver,13.0,5.5,5.52,2622.29,476.78
Andre Williams,19.0,4.8,4.82,3498.62,728.88
Jerick McKinnon,43.0,13.91,14.05,3166.48,227.64
Devonta Freeman,46.0,21.23,21.46,3212.02,151.3
Charles Sims,35.0,12.45,12.55,2955.84,237.42
Carlos Hyde,40.0,17.8,17.97,3127.39,175.7
Melvin Gordon,47.0,20.02,20.24,3460.38,172.85
TJ Yeldon,40.0,14.54,14.68,3625.78,249.37
Ameer Abdullah,32.0,11.56,11.65,3678.55,318.21
Tevin Coleman,44.0,15.12,15.28,3207.15,212.11
Duke Johnson,50.0,15.56,15.74,3025.06,194.41
Matt Jones,22.0,11.61,11.67,3437.72,296.1
Jeremy Langford,26.0,12.97,13.05,3106.79,239.54
Javorius Allen,39.0,15.06,15.2,3187.22,211.63
Karlos Williams,11.0,11.64,11.67,3179.01,273.11
Josh Robinson,5.0,2.93,2.93,2888.92,985.98
Zach Zenner,22.0,8.41,8.45,3058.94,363.73
Tyler Varga,1.0,2.71,2.71,3000.14,1107.06
Thomas Rawls,30.0,13.52,13.62,3410.93,252.29
Jarryd Hayne,4.0,3.47,3.47,2921.25,841.86
CJ Spiller,17.0,7.91,7.94,2402.48,303.73
LeGarrette Blount,47.0,15.37,15.54,3784.22,246.21
Joique Bell,14.0,8.13,8.16,3059.71,376.35
Jordan Todman,6.0,1.97,1.97,2777.37,1409.83
Bernard Pierce,3.0,1.33,1.33,3576.25,2688.91
Lance Dunbar,10.0,8.47,8.49,2867.48,338.55
Kerwynn Williams,22.0,7.27,7.31,3613.17,497.0
Theo Riddick,40.0,14.84,14.98,3719.85,250.66
Zach Line,14.0,4.39,4.4,2944.63,670.76
Lorenzo Taliaferro,4.0,5.41,5.42,3395.98,627.72
Jay Prosch,8.0,1.68,1.68,2994.18,1782.25
Tre Mason,13.0,5.16,5.18,3006.9,582.73
David Johnson,35.0,21.68,21.86,3111.18,143.5
Jalston Fowler,7.0,3.99,4.0,2686.61,673.34
Mike Davis,18.0,9.75,9.79,3402.31,348.95
Michael Burton,8.0,1.4,1.4,2892.13,2065.81
Corey Grant,19.0,7.99,8.03,3083.45,385.91
Marcel Reece,8.0,6.0,6.01,3195.68,532.61
Toby Gerhart,5.0,2.5,2.5,2559.48,1023.79
Darrel Young,4.0,0.95,0.95,2825.5,2974.21
Le'Veon Bell,33.0,25.66,25.86,2912.35,113.5
Stepfan Taylor,8.0,1.86,1.86,2412.11,1296.83
Jonas Gray,7.0,4.68,4.69,2872.32,613.74
James White,40.0,15.16,15.3,2854.1,188.27
Antonio Andrews,14.0,8.31,8.34,2973.05,357.77
Juwan Thompson,9.0,3.44,3.45,3104.2,902.38
Todd Gurley,47.0,24.24,24.51,3301.02,136.18
Cameron Artis-Payne,14.0,7.49,7.51,2560.4,341.84
Alonzo Harris,2.0,1.1,1.1,4635.5,4214.09
John Kuhn,20.0,7.15,7.18,2671.11,373.58
Arian Foster,8.0,11.87,11.89,2652.16,223.43
Roy Helu,5.0,4.45,4.46,2415.35,542.78
Zac Stacy,6.0,5.05,5.06,2863.33,567.0
Christine Michael,24.0,10.37,10.43,3295.5,317.79
Charcandrick West,34.0,12.51,12.61,3204.46,256.15
Ty Montgomery,27.0,13.07,13.15,2806.59,214.74
Terron Ward,14.0,6.08,6.1,3852.47,633.63
Jerome Felton,9.0,1.9,1.9,2974.52,1565.54
Dan Herron,6.0,3.03,3.03,2309.81,762.31
Rex Burkhead,23.0,12.08,12.15,3350.68,277.37
Cierre Wood,1.0,0.4,0.4,2571.57,6428.93
Zurlon Tipton,4.0,3.43,3.43,3045.48,887.9
Anthony Sherman,2.0,7.91,7.91,2620.96,331.35
Robert Turbin,31.0,9.26,9.33,3018.21,325.94
Ahmad Bradshaw,6.0,7.3,7.31,3338.55,457.34
Patrick DiMarco,3.0,1.87,1.87,3088.5,1651.6
Spencer Ware,27.0,13.95,14.04,2948.98,211.4
George Winn,2.0,0.3,0.3,2867.93,9559.77
Orleans Darkwa,27.0,10.38,10.45,3115.87,300.18
Pierre Thomas,3.0,6.57,6.57,2865.19,436.1
Donald Brown,6.0,7.16,7.17,2408.24,336.35
Antone Smith,4.0,4.33,4.33,3025.12,698.64
Bruce Miller,4.0,3.0,3.0,2864.46,954.82
Kendall Gaskins,4.0,4.57,4.57,3592.25,786.05
Jay Ajayi,41.0,15.71,15.86,3596.42,228.93
Tim Hightower,21.0,12.81,12.87,3234.17,252.47
Will Tukuafu,5.0,1.79,1.79,4024.26,2248.19
Stevan Ridley,13.0,4.78,4.79,3168.77,662.92
Ka'Deem Carey,17.0,5.87,5.89,3208.51,546.59
Kyle Juszczyk,12.0,5.48,5.5,3014.81,550.15
Kenjon Barner,20.0,5.86,5.89,3689.66,629.63
David Cobb,7.0,4.06,4.07,2766.95,681.51
Akeem Hunt,18.0,4.39,4.41,3227.21,735.13
DuJuan Harris,11.0,7.56,7.58,2491.66,329.58
Travaris Cadet,16.0,8.52,8.55,2904.92,340.95
Mike Gillislee,31.0,10.98,11.06,2775.58,252.79
Fitzgerald Toussaint,10.0,3.36,3.37,3701.57,1101.66
John Crockett,2.0,1.24,1.24,2250.25,1814.72
Glenn Winston,1.0,-1.4,-1.4,2571.57,-1836.84
Marcus Murphy,5.0,3.43,3.43,2773.18,808.51
Kendall Hunter,1.0,0.31,0.31,4885.86,15760.84
Marcus Thigpen,1.0,0.06,0.06,5400.14,90002.33
Joey Iosefa,2.0,2.61,2.61,2250.25,862.16
Terrence Magee,2.0,1.38,1.38,3269.7,2369.35
Steven Jackson,2.0,6.47,6.47,2620.96,405.09
Bryce Brown,3.0,4.11,4.11,3035.89,738.66
Malcolm Brown,21.0,5.62,5.65,2962.33,527.1
Keith Smith,3.0,1.53,1.53,2810.89,1837.18
Ezekiel Elliott,28.0,21.52,21.66,3871.44,179.9
Derrick Henry,34.0,11.74,11.83,3429.52,292.12
CJ Prosise,9.0,8.47,8.49,2930.61,346.0
Devontae Booker,33.0,11.43,11.52,3442.14,301.15
Tyler Ervin,3.0,3.17,3.17,3307.66,1043.43
Deandre Washington,28.0,9.94,10.01,3508.88,353.01
Wendell Smallwood,23.0,8.03,8.07,2890.85,360.01
Andy Janovich,11.0,3.57,3.58,3087.28,864.78
Josh Ferguson,8.0,4.72,4.73,3832.9,812.06
Jalen Richard,32.0,10.23,10.31,3234.81,316.21
Daryl Richardson,2.0,0.56,0.56,3609.35,6445.27
Kapri Bibbs,10.0,7.42,7.44,3627.35,488.86
Kenyan Drake,30.0,11.14,11.22,3380.36,303.44
Jordan Howard,35.0,16.92,17.06,3176.19,187.72
Alex Collins,28.0,12.23,12.31,3350.57,273.96
Dwayne Washington,15.0,5.0,5.02,3037.82,607.56
DJ Foster,6.0,3.39,3.39,2822.88,832.71
Kenneth Farrow,10.0,5.0,5.01,3213.16,642.63
Rob Kelley,23.0,11.57,11.63,2797.17,241.76
Malcolm Johnson,1.0,1.26,1.26,2571.57,2040.93
Paul Perkins,20.0,6.96,6.99,2932.07,421.27
Aaron Ripkowski,14.0,5.59,5.61,2889.16,516.84
Kenneth Dixon,13.0,9.48,9.51,3042.32,320.92
Derek Watt,8.0,1.82,1.82,3084.09,1694.55
Peyton Barber,23.0,8.77,8.82,3729.12,425.21
Paul Lasike,3.0,0.6,0.6,2664.07,4440.12
Jonathan Williams,10.0,2.91,2.92,3406.62,1170.66
