year,Name,Week,Opponent,games,att_ma,yds_ma,td_ma,tar_ma,rec_yds_ma,att_car,yds_car,td_car,tar_car,rec_yds_car,surface_0,h/a_1,def_rk,points
2016,Aaron Green,16,SF,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32,0.0
2016,Aaron Green,17,ARI,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0
2017,Aaron Jones,2,ATL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0
2017,Aaron Jones,3,CIN,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,30,0.0
2017,Aaron Jones,4,CHI,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11,10.9
2017,Aaron Jones,5,DAL,4,0.0,0.0,0.0,0.0,0.0,4.33,16.33,0.33,0.0,0.0,0.0,0.0,8,23.4
2017,Aaron Jones,6,MIN,5,8.0,43.5,0.5,0.25,2.25,8.0,43.5,0.5,0.25,2.25,0.0,0.0,1,5.2
2017,Aaron Jones,7,NO,6,9.0,43.0,0.4,1.0,2.0,9.0,43.0,0.4,1.0,2.0,1.0,1.0,17,25.8
2017,Aaron Jones,9,DET,7,10.333333333333334,57.666666666666664,0.5,1.6666666666666667,2.8333333333333335,10.33,57.67,0.5,1.67,2.83,1.0,1.0,31,3.1
2017,Aaron Jones,10,CHI,8,9.571428571428571,51.142857142857146,0.42857142857142855,2.142857142857143,2.2857142857142856,9.57,51.14,0.43,2.14,2.29,1.0,0.0,11,2.2
2017,Aaron Jones,13,TB,9,8.75,46.25,0.375,2.0,2.0,8.75,46.25,0.38,2.0,2.0,1.0,1.0,29,8.0
2017,Aaron Jones,14,CLE,10,7.888888888888889,43.333333333333336,0.4444444444444444,1.7777777777777777,1.7777777777777777,7.89,43.33,0.44,1.78,1.78,1.0,0.0,13,-0.2
2017,Aaron Jones,15,CAR,11,7.5,38.8,0.4,1.6,1.6,7.5,38.8,0.4,1.6,1.6,1.0,0.0,3,6.3
2017,Aaron Jones,16,MIN,12,7.090909090909091,39.54545454545455,0.36363636363636365,1.6363636363636365,2.0,7.09,39.55,0.36,1.64,2.0,1.0,1.0,1,1.3
2018,Aaron Jones,3,WAS,13,0.0,0.0,0.0,0.0,0.0,6.75,37.33,0.33,1.5,1.83,1.0,0.0,14,5.7
2018,Aaron Jones,3,WAS,14,0.0,0.0,0.0,0.0,0.0,4.5,27.5,0.0,0.5,2.5,1.0,0.0,15,5.7
2018,Aaron Jones,4,BUF,15,0.0,0.0,0.0,0.0,0.0,5.0,32.33,0.0,0.67,3.33,1.0,1.0,25,15.2
2018,Aaron Jones,4,BUF,16,0.0,0.0,0.0,0.0,0.0,6.5,40.5,0.25,0.75,6.75,1.0,1.0,18,15.2
2018,Aaron Jones,5,DET,17,8.5,53.5,0.5,1.0,11.0,7.4,45.4,0.4,0.8,8.8,0.0,0.0,29,7.9
2018,Aaron Jones,6,SF,18,8.2,50.8,0.4,1.4,12.6,7.33,44.5,0.33,1.17,10.5,1.0,0.0,22,4.1
2018,Aaron Jones,8,LAR,19,8.166666666666666,49.166666666666664,0.3333333333333333,1.3333333333333333,10.5,7.43,44.0,0.29,1.14,9.0,1.0,0.0,14,16.6
2015,Aaron Ripkowski,1,CHI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22,0.0
2015,Aaron Ripkowski,2,SEA,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0.0
2015,Aaron Ripkowski,3,KC,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,0.0
2015,Aaron Ripkowski,4,SF,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,32,0.0
2015,Aaron Ripkowski,5,LAR,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23,0.0
2015,Aaron Ripkowski,6,LAC,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26,0.0
2015,Aaron Ripkowski,8,DEN,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14,0.0
2015,Aaron Ripkowski,9,CAR,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19,2.8
2015,Aaron Ripkowski,10,DET,9,0.0,0.0,0.0,0.125,2.25,0.0,0.0,0.0,0.12,2.25,1.0,1.0,17,0.0
2015,Aaron Ripkowski,11,MIN,10,0.0,0.0,0.0,0.1111111111111111,2.0,0.0,0.0,0.0,0.11,2.0,0.0,0.0,9,0.0
2015,Aaron Ripkowski,12,CHI,11,0.0,0.0,0.0,0.1,1.8,0.0,0.0,0.0,0.1,1.8,1.0,1.0,22,0.0
2015,Aaron Ripkowski,14,DAL,12,0.0,0.0,0.0,0.09090909090909091,1.6363636363636365,0.0,0.0,0.0,0.09,1.64,1.0,1.0,25,0.0
2015,Aaron Ripkowski,15,OAK,13,0.0,0.0,0.0,0.08333333333333333,1.5,0.0,0.0,0.0,0.08,1.5,1.0,0.0,21,0.0
2015,Aaron Ripkowski,16,ARI,14,0.0,0.0,0.0,0.07692307692307693,1.3846153846153846,0.0,0.0,0.0,0.08,1.38,1.0,0.0,8,0.0
2015,Aaron Ripkowski,17,MIN,15,0.0,0.0,0.0,0.07142857142857142,1.2857142857142858,0.0,0.0,0.0,0.07,1.29,1.0,1.0,9,0.0
2016,Aaron Ripkowski,1,JAX,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,1.2,1.0,0.0,14,0.0
2016,Aaron Ripkowski,2,MIN,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0
