Name,Team,year,Week,home,away,Opponent
Todd Gurley II,LAR,2018,9,NO,LAR,NO
Melvin Gordon III,LAC,2018,9,SEA,LAC,SEA
Le'Veon Bell,PIT,2018,9,BAL,PIT,BAL
Christian McCaffrey,CAR,2018,9,CAR,TB,TB
Kareem Hunt,KC,2018,9,CLE,KC,CLE
Alvin Kamara,NO,2018,9,NO,LAR,LAR
James Conner,PIT,2018,9,BAL,PIT,BAL
Tarik Cohen,CHI,2018,9,BUF,CHI,BUF
Adrian Peterson,WAS,2018,9,WAS,ATL,ATL
Kerryon Johnson,DET,2018,9,MIN,DET,MIN
Phillip Lindsay,DEN,2018,9,DEN,HOU,HOU
Chris Thompson,WAS,2018,9,WAS,ATL,ATL
Kenyan Drake,MIA,2018,9,MIA,NYJ,NYJ
Dalvin Cook,MIN,2018,9,MIN,DET,DET
Lamar Miller,HOU,2018,9,DEN,HOU,DEN
Latavius Murray,MIN,2018,9,MIN,DET,DET
Mark Ingram,NO,2018,9,NO,LAR,LAR
LeSean McCoy,BUF,2018,9,BUF,CHI,CHI
Tevin Coleman,ATL,2018,9,WAS,ATL,WAS
Jordan Howard,CHI,2018,9,BUF,CHI,BUF
Chris Carson,SEA,2018,9,SEA,LAC,LAC
Alex Collins,BAL,2018,9,BAL,PIT,PIT
Nick Chubb,CLE,2018,9,CLE,KC,KC
Austin Ekeler,LAC,2018,9,SEA,LAC,SEA
Isaiah Crowell,NYJ,2018,9,MIA,NYJ,MIA
Malcolm Brown,LAR,2018,9,NO,LAR,NO
Spencer Ware,KC,2018,9,CLE,KC,CLE
Chris Ivory,BUF,2018,9,BUF,CHI,CHI
John Kelly,LAR,2018,9,NO,LAR,NO
Duke Johnson Jr.,CLE,2018,9,CLE,KC,KC
Stevan Ridley,PIT,2018,9,BAL,PIT,BAL
Javorius Allen,BAL,2018,9,BAL,PIT,PIT
Theo Riddick,DET,2018,9,MIN,DET,MIN
Royce Freeman,DEN,2018,9,DEN,HOU,HOU
Ito Smith,ATL,2018,9,WAS,ATL,WAS
Devontae Booker,DEN,2018,9,DEN,HOU,HOU
Rashaad Penny,SEA,2018,9,SEA,LAC,LAC
Peyton Barber,TB,2018,9,CAR,TB,CAR
Trenton Cannon,NYJ,2018,9,MIA,NYJ,MIA
Alfred Blue,HOU,2018,9,DEN,HOU,DEN
D'Onta Foreman,HOU,2018,9,DEN,HOU,DEN
Frank Gore,MIA,2018,9,MIA,NYJ,NYJ
Kapri Bibbs,WAS,2018,9,WAS,ATL,ATL
Ronald Jones II,TB,2018,9,CAR,TB,CAR
LeGarrette Blount,DET,2018,9,MIN,DET,MIN
Mike Davis,SEA,2018,9,SEA,LAC,LAC
Marcus Murphy,BUF,2018,9,BUF,CHI,CHI
C.J. Anderson,CAR,2018,9,CAR,TB,TB
Benny Cunningham,CHI,2018,9,BUF,CHI,BUF
Kalen Ballage,MIA,2018,9,MIA,NYJ,NYJ
Tyler Ervin,HOU,2018,9,DEN,HOU,DEN
Taiwan Jones,BUF,2018,9,BUF,CHI,CHI
Patrick DiMarco,BUF,2018,9,BUF,CHI,CHI
Michael Burton,CHI,2018,9,BUF,CHI,BUF
Jacquizz Rodgers,TB,2018,9,CAR,TB,CAR
Shaun Wilson,TB,2018,9,CAR,TB,CAR
Cameron Artis-Payne,CAR,2018,9,CAR,TB,TB
Alex Armah,CAR,2018,9,CAR,TB,TB
Elijah Hood,CAR,2018,9,CAR,TB,TB
Dontrell Hilliard,CLE,2018,9,CLE,KC,KC
Darrel Williams,KC,2018,9,CLE,KC,CLE
Damien Williams,KC,2018,9,CLE,KC,CLE
Anthony Sherman,KC,2018,9,CLE,KC,CLE
Brandon Bolden,MIA,2018,9,MIA,NYJ,NYJ
Senorise Perry,MIA,2018,9,MIA,NYJ,NYJ
Elijah McGuire,NYJ,2018,9,MIA,NYJ,MIA
De'Angelo Henderson,NYJ,2018,9,MIA,NYJ,MIA
Jaylen Samuels,PIT,2018,9,BAL,PIT,BAL
Roosevelt Nix,PIT,2018,9,BAL,PIT,BAL
Gus Edwards,BAL,2018,9,BAL,PIT,PIT
Kenneth Dixon,BAL,2018,9,BAL,PIT,PIT
Patrick Ricard,BAL,2018,9,BAL,PIT,PIT
Nick Bellore,DET,2018,9,MIN,DET,MIN
Ameer Abdullah,DET,2018,9,MIN,DET,MIN
Mike Boone,MIN,2018,9,MIN,DET,DET
C.J. Ham,MIN,2018,9,MIN,DET,DET
Roc Thomas,MIN,2018,9,MIN,DET,DET
Devonta Freeman,ATL,2018,9,WAS,ATL,WAS
Brian Hill,ATL,2018,9,WAS,ATL,WAS
Ricky Ortiz,ATL,2018,9,WAS,ATL,WAS
Rob Kelley,WAS,2018,9,WAS,ATL,ATL
Samaje Perine,WAS,2018,9,WAS,ATL,ATL
Byron Marshall,WAS,2018,9,WAS,ATL,ATL
Buddy Howell,HOU,2018,9,DEN,HOU,DEN
Andy Janovich,DEN,2018,9,DEN,HOU,HOU
Derek Watt,LAC,2018,9,SEA,LAC,SEA
Justin Jackson,LAC,2018,9,SEA,LAC,SEA
Detrez Newsome,LAC,2018,9,SEA,LAC,SEA
C.J. Prosise,SEA,2018,9,SEA,LAC,LAC
J.D. McKissic,SEA,2018,9,SEA,LAC,LAC
Tre Madden,SEA,2018,9,SEA,LAC,LAC
Justin Davis,LAR,2018,9,NO,LAR,NO
Zach Line,NO,2018,9,NO,LAR,LAR
Dwayne Washington,NO,2018,9,NO,LAR,LAR
Shane Vereen,NO,2018,9,NO,LAR,LAR
