Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,10974,Rob Gronkowski,NE,TE,3,DET,25,11,7300,16.2
2,15048,Travis Kelce,KC,TE,4,DEN,19,24,6800,15.98
3,14856,Zach Ertz,PHI,TE,3,IND,11,10,6800,15.08
4,15048,Travis Kelce,KC,TE,3,SF,23,22,6700,14.95
5,10974,Rob Gronkowski,NE,TE,4,MIA,10,15,7000,14.53
6,14856,Zach Ertz,PHI,TE,4,TEN,6,1,6200,14.12
7,15100,Jordan Reed,WAS,TE,3,GB,22,12,5400,12.4
8,16451,Eric Ebron,IND,TE,3,PHI,19,24,3400,11.82
9,13275,Kyle Rudolph,MIN,TE,4,LAR,1,21,4400,11.77
10,16451,Eric Ebron,IND,TE,4,HOU,17,24,3600,11.42
11,18912,Evan Engram,NYG,TE,3,HOU,10,23,4300,11.04
12,11488,Jimmy Graham,GB,TE,3,WAS,2,14,4900,10.91
13,11488,Jimmy Graham,GB,TE,4,BUF,20,23,4500,10.85
14,8534,Jared Cook,OAK,TE,3,MIA,5,18,4000,10.82
15,19063,George Kittle,SF,TE,3,KC,32,31,4500,10.78
16,13275,Kyle Rudolph,MIN,TE,3,BUF,31,19,4100,10.21
17,8534,Jared Cook,OAK,TE,4,CLE,7,3,4100,10.12
18,18901,OJ Howard,TB,TE,4,CHI,9,20,3500,10.08
19,18901,OJ Howard,TB,TE,3,PIT,29,31,3500,9.73
20,19063,George Kittle,SF,TE,4,LAC,26,2,4200,9.55
21,14918,Tyler Eifert,CIN,TE,4,ATL,27,10,3800,9.42
22,15239,Vance McDonald,PIT,TE,4,BAL,3,7,2900,9.19
23,15965,Trey Burton,CHI,TE,4,TB,29,31,3900,8.99
24,15965,Trey Burton,CHI,TE,3,ARI,27,26,5000,8.55
25,17963,Austin Hooper,ATL,TE,4,CIN,23,28,2900,8.48
26,18876,David Njoku,CLE,TE,4,OAK,21,5,3200,8.45
27,17963,Austin Hooper,ATL,TE,3,NO,29,9,2900,8.38
28,11756,Benjamin Watson,NO,TE,4,NYG,12,8,3300,8.37
29,19950,Will Dissly,SEA,TE,3,DAL,3,21,3800,8.35
30,11756,Benjamin Watson,NO,TE,3,ATL,14,5,3100,8.25
31,14918,Tyler Eifert,CIN,TE,3,CAR,12,17,3200,8.11
32,16608,Austin Seferian-Jenkins,JAX,TE,3,TEN,17,3,3300,7.89
33,18876,David Njoku,CLE,TE,3,NYJ,4,9,3300,7.84
34,16920,Jesse James,PIT,TE,3,TB,30,26,3600,7.75
35,18997,Jake Butt,DEN,TE,4,KC,32,30,2700,7.37
36,19950,Will Dissly,SEA,TE,4,ARI,18,22,3100,6.94
36,19410,Ricky Seals-Jones,ARI,TE,3,CHI,15,16,3200,6.94
38,14445,Rhett Ellison,NYG,TE,4,NO,31,9,2700,6.87
39,16608,Austin Seferian-Jenkins,JAX,TE,4,NYJ,5,6,3000,6.57
40,16920,Jesse James,PIT,TE,4,BAL,3,7,3400,6.51
41,19910,Ian Thomas,CAR,TE,3,CIN,25,32,2800,6.45
42,12751,Charles Clay,BUF,TE,4,GB,22,20,3000,6.42
43,12751,Charles Clay,BUF,TE,3,MIN,13,25,3000,6.39
44,18997,Jake Butt,DEN,TE,3,BAL,6,13,2700,6.37
45,19410,Ricky Seals-Jones,ARI,TE,4,SEA,15,14,2900,6.32
46,7884,Antonio Gates,LAC,TE,4,SF,28,29,2700,6.23
47,14985,Ryan Griffin,HOU,TE,4,IND,11,26,2600,6.1
48,16931,Nick Boyle,BAL,TE,3,DEN,18,29,2600,5.77
49,16931,Nick Boyle,BAL,TE,4,PIT,30,32,2500,5.64
50,16593,Cameron Brate,TB,TE,4,CHI,9,20,2600,5.43
51,15239,Vance McDonald,PIT,TE,3,TB,30,26,2900,5.4
52,17005,Geoff Swaim,DAL,TE,4,DET,16,11,2600,5.34
53,18990,Jonnu Smith,TEN,TE,3,JAX,8,7,2700,5.33
54,19853,Mike Gesicki,MIA,TE,4,NE,24,12,2600,5.32
55,19863,Dallas Goedert,PHI,TE,4,TEN,6,1,2800,4.96
56,7884,Antonio Gates,LAC,TE,3,LAR,1,28,2700,4.93
57,18990,Jonnu Smith,TEN,TE,4,PHI,13,17,2600,4.91
58,19803,Mark Andrews,BAL,TE,4,PIT,30,32,2600,4.78
59,16853,Jeff Heuerman,DEN,TE,4,KC,32,30,2500,4.76
60,14496,Garrett Celek,SF,TE,3,KC,32,31,2600,4.5
61,18019,Nick Vannett,SEA,TE,3,DAL,3,21,2700,4.43
62,13016,Virgil Green,LAC,TE,3,LAR,1,28,2800,4.4
63,16593,Cameron Brate,TB,TE,3,PIT,29,31,2600,4.32
64,19803,Mark Andrews,BAL,TE,3,DEN,18,29,2600,4.2
65,19853,Mike Gesicki,MIA,TE,3,OAK,16,4,2500,4.16
66,18032,Tyler Higbee,LAR,TE,4,MIN,14,23,2600,4.09
66,14985,Ryan Griffin,HOU,TE,3,NYG,4,1,2600,4.09
68,18019,Nick Vannett,SEA,TE,4,ARI,18,22,2500,3.82
69,16962,AJ Derby,MIA,TE,3,OAK,16,4,2700,3.81
70,5084,Vernon Davis,WAS,TE,3,GB,22,12,2800,3.71
71,13016,Virgil Green,LAC,TE,4,SF,28,29,2500,3.6
72,16816,Maxx Williams,BAL,TE,4,PIT,30,32,2500,3.59
73,14445,Rhett Ellison,NYG,TE,3,HOU,10,23,2500,3.56
74,19903,Jordan Akins,HOU,TE,3,NYG,4,1,2600,3.48
75,15866,Josh Hill,NO,TE,3,ATL,14,5,2500,3.47
76,16816,Maxx Williams,BAL,TE,3,DEN,18,29,2500,3.44
77,11026,Jermaine Gresham,ARI,TE,3,CHI,15,16,2900,3.41
78,19843,Hayden Hurst,BAL,TE,4,PIT,30,32,2800,3.38
79,16853,Jeff Heuerman,DEN,TE,3,BAL,6,13,2500,3.34
79,19903,Jordan Akins,HOU,TE,4,IND,11,26,2500,3.34
81,17223,Eric Tomlinson,NYJ,TE,4,JAX,1,4,2500,3.32
81,16238,Erik Swoope,IND,TE,4,HOU,17,24,2500,3.32
83,13370,Luke Stocker,TEN,TE,4,PHI,13,17,2500,3.31
84,15263,Luke Willson,DET,TE,3,NE,24,17,2800,3.28
85,18032,Tyler Higbee,LAR,TE,3,LAC,21,2,3000,3.26
86,17223,Eric Tomlinson,NYJ,TE,3,CLE,14,6,2500,3.23
87,16917,CJ Uzomah,CIN,TE,4,ATL,27,10,2500,3.2
88,15263,Luke Willson,DET,TE,4,DAL,4,16,2700,3.19
89,17182,Gabe Holmes,ARI,TE,3,CHI,15,16,2500,3.11
89,17005,Geoff Swaim,DAL,TE,3,SEA,20,15,2500,3.11
91,16917,CJ Uzomah,CIN,TE,3,CAR,12,17,2600,3.1
92,16846,Tyler Kroft,CIN,TE,3,CAR,12,17,2600,3.04
