Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,15048,Travis Kelce,KC,TE,4,DEN,19,25,7000,15.97
2,10974,Rob Gronkowski,NE,TE,4,MIA,10,15,7000,14.58
3,14856,Zach Ertz,PHI,TE,4,TEN,6,1,6200,14.33
4,13275,Kyle Rudolph,MIN,TE,4,LAR,1,21,4400,11.77
5,16451,Eric Ebron,IND,TE,4,HOU,17,24,3600,11.55
6,11488,Jimmy Graham,GB,TE,4,BUF,20,23,4500,11.05
7,8534,Jared Cook,OAK,TE,4,CLE,7,3,4100,10.12
8,18901,OJ Howard,TB,TE,4,CHI,9,20,3500,10.07
9,19063,George Kittle,SF,TE,4,LAC,26,2,4200,9.74
10,14918,Tyler Eifert,CIN,TE,4,ATL,27,10,3800,9.41
11,15239,Vance McDonald,PIT,TE,4,BAL,3,3,3700,9.19
12,15965,Trey Burton,CHI,TE,4,TB,29,31,3900,9.13
13,18876,David Njoku,CLE,TE,4,OAK,21,5,3200,8.64
14,11756,Benjamin Watson,NO,TE,4,NYG,12,8,3300,8.57
15,17963,Austin Hooper,ATL,TE,4,CIN,23,28,2900,8.48
16,18997,Jake Butt,DEN,TE,4,KC,31,30,2500,7.37
17,19950,Will Dissly,SEA,TE,4,ARI,18,22,3100,7.1
18,14445,Rhett Ellison,NYG,TE,4,NO,31,9,2700,7.05
19,16608,Austin Seferian-Jenkins,JAX,TE,4,NYJ,5,6,3000,6.79
20,12751,Charles Clay,BUF,TE,4,GB,22,20,3000,6.75
21,16920,Jesse James,PIT,TE,4,BAL,3,3,3100,6.48
22,19410,Ricky Seals-Jones,ARI,TE,4,SEA,15,14,2900,6.33
23,7884,Antonio Gates,LAC,TE,4,SF,28,29,2700,6.23
24,14985,Ryan Griffin,HOU,TE,4,IND,11,26,2600,6.09
25,16931,Nick Boyle,BAL,TE,4,PIT,30,32,2500,5.63
26,19853,Mike Gesicki,MIA,TE,4,NE,24,12,2600,5.53
27,16593,Cameron Brate,TB,TE,4,CHI,9,20,2600,5.42
28,17005,Geoff Swaim,DAL,TE,4,DET,16,11,2600,5.35
29,19863,Dallas Goedert,PHI,TE,4,TEN,6,1,2800,5.21
30,18990,Jonnu Smith,TEN,TE,4,PHI,13,17,2600,4.97
31,19803,Mark Andrews,BAL,TE,4,PIT,30,32,2600,4.78
32,16853,Jeff Heuerman,DEN,TE,4,KC,31,30,2600,4.77
33,18019,Nick Vannett,SEA,TE,4,ARI,18,22,2500,4.14
34,18032,Tyler Higbee,LAR,TE,4,MIN,14,23,2600,4.08
35,16846,Tyler Kroft,CIN,TE,4,ATL,27,10,2500,3.94
36,14496,Garrett Celek,SF,TE,4,LAC,26,2,2500,3.7
37,13016,Virgil Green,LAC,TE,4,SF,28,29,2500,3.6
38,16238,Erik Swoope,IND,TE,4,HOU,17,24,2500,3.5
39,16816,Maxx Williams,BAL,TE,4,PIT,30,32,2500,3.48
40,17223,Eric Tomlinson,NYJ,TE,4,JAX,1,4,2500,3.34
41,13370,Luke Stocker,TEN,TE,4,PHI,13,17,2500,3.24
41,19903,Jordan Akins,HOU,TE,4,IND,11,26,2500,3.24
43,16917,CJ Uzomah,CIN,TE,4,ATL,27,10,2500,3.2
44,15263,Luke Willson,DET,TE,4,DAL,4,16,2700,3.18
44,17415,Matt LaCosse,DEN,TE,4,KC,31,30,2500,3.18
46,19415,Jason Croom,BUF,TE,4,GB,22,20,2500,3.07
47,15866,Josh Hill,NO,TE,4,NYG,12,8,2500,2.98
48,11026,Jermaine Gresham,ARI,TE,4,SEA,15,14,2500,2.96
49,15305,Demetrius Harris,KC,TE,4,DEN,19,25,2500,2.91
50,15247,Darren Fells,CLE,TE,4,OAK,21,5,2500,2.79
51,14876,Dion Sims,CHI,TE,4,TB,29,31,2500,2.64
52,20020,Jordan Thomas,HOU,TE,4,IND,11,26,2500,2.57
53,18935,Gerald Everett,LAR,TE,4,MIN,14,23,2500,2.53
54,19457,Blake Jarwin,DAL,TE,4,DET,16,11,2500,2.01
55,3061,Marcedes Lewis,GB,TE,4,BUF,20,23,2500,1.83
56,17154,Khari Lee,BUF,TE,4,GB,22,20,2500,1.78
57,13386,Lance Kendricks,GB,TE,4,BUF,20,23,2500,1.72
58,18105,David Morgan,MIN,TE,4,LAR,1,21,2500,1.49
59,16933,James O'Shaughnessy,JAX,TE,4,NYJ,5,6,2500,1.47
60,16327,Scott Simonson,NYG,TE,4,NO,31,9,2500,1.25
61,18468,Joshua Perkins,PHI,TE,4,TEN,6,1,2500,1.22
62,15640,Derek Carrier,OAK,TE,4,CLE,7,3,2500,1.2
63,13170,Niles Paul,JAX,TE,4,NYJ,5,6,2500,1.18
64,15378,Levine Toilolo,DET,TE,4,DAL,4,16,2500,1.14
65,13987,Dwayne Allen,NE,TE,4,MIA,10,15,2500,1.03
66,19988,Tyler Conklin,MIN,TE,4,LAR,1,21,2500,1.02
67,18999,Jordan Leggett,NYJ,TE,4,JAX,1,4,2500,0.97
68,18133,Rico Gathers,DAL,TE,4,DET,16,11,2500,0.91
69,19943,Durham Smythe,MIA,TE,4,NE,24,12,2500,0.86
70,11345,Logan Paulsen,ATL,TE,4,CIN,23,28,2500,0.82
71,19035,Eric Saubert,ATL,TE,4,CIN,23,28,2500,0.8
72,20663,Garrett Dickerson,NYG,TE,4,NO,31,9,2500,0.62
73,16395,Xavier Grimble,PIT,TE,4,BAL,3,3,2500,0.61
74,18399,Hakeem Valles,DET,TE,4,DAL,4,16,2500,0.6
74,19030,Bucky Hodges,PIT,TE,4,BAL,3,3,null,0.6
76,12777,Lee Smith,OAK,TE,4,CLE,7,3,2500,0.58
77,19176,Darrell Daniels,SEA,TE,4,ARI,18,22,2500,0.54
78,19335,Antony Auclair,TB,TE,4,CHI,9,20,2500,0.52
79,17182,Gabe Holmes,ARI,TE,4,SEA,15,14,2500,0.41
80,13861,Orson Charles,CLE,TE,4,OAK,21,5,2500,0.39
81,18229,Ben Braunecker,CHI,TE,4,TB,29,31,2500,0.25
81,16903,MyCole Pruitt,TEN,TE,4,PHI,13,17,2500,0.25
83,18522,Cole Wick,SF,TE,4,LAC,26,2,2500,0.21
84,19219,Cethan Carter,CIN,TE,4,ATL,27,10,null,0
84,18931,Adam Shaheen,CHI,TE,4,TB,29,31,2500,0
84,16656,Logan Thomas,BUF,TE,4,GB,22,20,2500,0
84,7175,Delanie Walker,TEN,TE,4,PHI,13,17,2500,0
84,16491,Richard Rodgers,PHI,TE,4,TEN,6,1,2500,0
84,15602,Jack Doyle,IND,TE,4,HOU,17,24,3700,0
84,17750,Ross Travis,IND,TE,4,HOU,17,24,null,0
84,17741,Matt Lengel,HOU,TE,4,IND,11,26,null,0
84,18262,Stephen Anderson,NE,TE,4,MIA,10,15,null,0
84,15371,MarQueis Gray,MIA,TE,4,NE,24,12,null,0
84,16962,AJ Derby,MIA,TE,4,NE,24,12,2600,0
84,19281,Jacob Hollister,NE,TE,4,MIA,10,15,2500,0
84,20069,Ryan Izzo,NE,TE,4,MIA,10,15,null,0
84,18057,Seth DeValve,CLE,TE,4,OAK,21,5,2500,0
84,12153,Ed Dickson,SEA,TE,4,ARI,18,22,2800,0
84,18716,Garrett Griffin,NO,TE,4,NYG,12,8,null,0
84,11535,Michael Hoomanawanui,NO,TE,4,NYG,12,8,null,0
84,18912,Evan Engram,NYG,TE,4,NO,31,9,4100,0
84,19559,Sean Culkin,LAC,TE,4,SF,28,29,2500,0
84,18272,Ryan Malleck,PIT,TE,4,BAL,3,3,null,0
84,18642,Alex Ellis,KC,TE,4,DEN,19,25,2500,0
84,19973,Troy Fumagalli,DEN,TE,4,KC,31,30,null,0
