PlayerID,Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsDraftKings,salary,def_rk,h/a,surface,year
3,Craig Stevens,TEN,1,TB,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,21,away,grass,2015
722,Jason Witten,DAL,1,NYG,9,8,88.9,60,2,15,6.7,7.5,0,0,0.0,0,0,0,26.0,4000,31,away,turf,2015
852,Jacob Tamme,ATL,1,PHI,3,3,100.0,19,0,8,6.3,6.3,0,0,0.0,0,0,0,4.9,2600,11,away,grass,2015
1181,Martellus Bennett,CHI,1,GB,7,5,71.4,55,1,24,7.9,11.0,0,0,0.0,0,0,0,16.5,4300,14,away,grass,2015
1545,Anthony Fasano,TEN,1,TB,1,1,100.0,18,0,18,18.0,18.0,0,0,0.0,0,0,0,2.8,2500,21,away,grass,2015
1658,Greg Olsen,CAR,1,JAX,3,1,33.3,11,0,11,3.7,11.0,0,0,0.0,0,0,0,2.1,5300,28,away,grass,2015
1810,Owen Daniels,DEN,1,BAL,2,2,100.0,5,0,9,2.5,2.5,0,0,0.0,0,0,0,2.5,3400,4,away,grass,2015
3061,Marcedes Lewis,JAX,1,CAR,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,12,away,grass,2015
4577,Gary Barnidge,CLE,1,NYJ,5,3,60.0,38,0,22,7.6,12.7,0,0,0.0,0,0,0,6.8,2500,3,away,turf,2015
5084,Vernon Davis,SF,1,MIN,6,3,50.0,47,0,20,7.8,15.7,0,0,0.0,0,0,0,7.7,3100,15,away,turf,2015
5511,Brent Celek,PHI,1,ATL,1,1,100.0,6,0,6,6.0,6.0,0,0,0.0,0,0,0,1.6,2500,29,away,turf,2015
6293,Matt Spaeth,PIT,1,NE,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,5,away,turf,2015
7007,Daniel Fells,NYG,1,DAL,4,3,75.0,33,0,13,8.2,11.0,0,0,0.0,0,0,0,6.3,2500,1,away,turf,2015
7175,Delanie Walker,TEN,1,TB,3,3,100.0,43,1,22,14.3,14.3,0,0,0.0,0,0,0,13.3,3400,21,away,grass,2015
7635,Heath Miller,PIT,1,NE,11,8,72.7,84,0,18,7.6,10.5,0,0,0.0,0,0,0,16.4,3300,5,away,turf,2015
8142,Kellen Davis,NYJ,1,CLE,1,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2500,6,away,grass,2015
8508,David Johnson,LAC,1,DET,0,0,0.0,0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,2800,27,away,turf,2015
