Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,points,year,def_ru_rk,def_pass_rk
Jimmy Graham,NO,1,WAS,10,6,60.0,85,1,,8.5,14.2,0,0,0.0,0,0,0,14.5,2012,22,22
Dennis Pitta,BAL,1,CIN,9,5,55.6,73,1,,8.1,14.6,0,0,0.0,0,0,0,13.3,2012,8,8
Aaron Hernandez,NE,1,TEN,7,6,85.7,59,1,,8.4,9.8,1,5,5.0,0,0,0,12.4,2012,32,32
Rob Gronkowski,NE,1,TEN,6,6,100.0,60,1,,10.0,10.0,0,0,0.0,0,0,0,12.0,2012,32,32
Tony Gonzalez,ATL,1,KC,6,5,83.3,53,1,,8.8,10.6,0,0,0.0,0,0,0,11.3,2012,25,25
Marcedes Lewis,JAX,1,MIN,5,5,100.0,52,1,,10.4,10.4,0,0,0.0,0,0,0,11.2,2012,14,14
Heath Miller,PIT,1,DEN,7,4,57.1,50,1,,7.1,12.5,0,0,0.0,0,0,0,11.0,2012,4,4
Jermichael Finley,GB,1,SF,11,7,63.6,47,1,,4.3,6.7,0,0,0.0,0,0,0,10.7,2012,2,2
Vernon Davis,SF,1,GB,5,3,60.0,43,1,,8.6,14.3,0,0,0.0,0,0,0,10.3,2012,11,11
Jacob Tamme,DEN,1,PIT,5,5,100.0,43,1,,8.6,8.6,0,0,0.0,0,0,0,10.3,2012,6,6
Martellus Bennett,NYG,1,DAL,6,4,66.7,40,1,,6.7,10.0,0,0,0.0,0,0,0,10.0,2012,24,24
Scott Chandler,BUF,1,NYJ,6,4,66.7,38,1,,6.3,9.5,0,0,0.0,0,0,0,9.8,2012,20,20
Kevin Boss,KC,1,ATL,2,2,100.0,36,1,,18.0,18.0,0,0,0.0,0,0,0,9.6,2012,5,5
Owen Daniels,HOU,1,MIA,8,4,50.0,87,0,,10.9,21.8,0,0,0.0,0,0,0,8.7,2012,7,7
Coby Fleener,IND,1,CHI,10,6,60.0,82,0,,8.2,13.7,0,0,0.0,0,0,0,8.2,2012,3,3
Brandon Pettigrew,DET,1,LAR,10,5,50.0,77,0,,7.7,15.4,0,0,0.0,0,0,0,7.7,2012,14,14
Clay Harbor,PHI,1,CLE,6,3,50.0,16,1,,2.7,5.3,0,0,0.0,0,0,0,7.6,2012,19,19
Kyle Rudolph,MIN,1,JAX,7,5,71.4,67,0,,9.6,13.4,0,0,0.0,0,0,0,6.7,2012,29,29
Brent Celek,PHI,1,CLE,8,4,50.0,65,0,,8.1,16.2,0,0,0.0,0,0,0,6.5,2012,19,19
Brandon Myers,OAK,1,LAC,5,5,100.0,65,0,,13.0,13.0,0,0,0.0,0,0,0,6.5,2012,16,16
Jared Cook,TEN,1,NE,6,4,66.7,64,0,,10.7,16.0,0,0,0.0,0,0,0,6.4,2012,9,9
Greg Olsen,CAR,1,TB,7,6,85.7,56,0,,8.0,9.3,0,0,0.0,0,0,0,5.6,2012,23,23
Antonio Gates,LAC,1,OAK,8,4,50.0,43,0,,5.4,10.8,0,0,0.0,0,0,0,4.3,2012,28,28
Zach Miller,SEA,1,ARI,3,3,100.0,40,0,,13.3,13.3,0,0,0.0,0,0,0,4.0,2012,17,17
Fred Davis,WAS,1,NO,4,2,50.0,38,0,,9.5,19.0,0,0,0.0,0,0,0,3.8,2012,31,31
Tony Moeaki,KC,1,ATL,6,3,50.0,37,0,,6.2,12.3,0,0,0.0,0,0,0,3.7,2012,5,5
Jeff Cumberland,NYJ,1,BUF,4,3,75.0,33,0,,8.2,11.0,0,0,0.0,0,0,0,3.3,2012,26,26
Dallas Clark,TB,1,CAR,1,1,100.0,33,0,,33.0,33.0,0,0,0.0,0,0,0,3.3,2012,18,18
Todd Heap,ARI,1,SEA,4,3,75.0,32,0,,8.0,10.7,0,0,0.0,0,0,0,3.2,2012,1,1
Tony Scheffler,DET,1,LAR,8,5,62.5,30,0,,3.8,6.0,0,0,0.0,0,0,0,3.0,2012,14,14
Jermaine Gresham,CIN,1,BAL,8,3,37.5,30,0,,3.8,10.0,0,0,0.0,0,0,0,3.0,2012,12,12
Logan Paulsen,WAS,1,NO,1,1,100.0,22,0,,22.0,22.0,0,0,0.0,0,0,0,2.2,2012,31,31
Ed Dickson,BAL,1,CIN,3,2,66.7,22,0,,7.3,11.0,0,0,0.0,0,0,0,2.2,2012,8,8
Will Heller,DET,1,LAR,2,2,100.0,19,0,,9.5,9.5,0,0,0.0,0,0,0,1.9,2012,14,14
Anthony Fasano,MIA,1,HOU,5,3,60.0,19,0,,3.8,6.3,0,0,0.0,0,0,0,1.9,2012,9,9
Kyle Adams,CHI,1,IND,1,1,100.0,17,0,,17.0,17.0,0,0,0.0,0,0,0,1.7,2012,21,21
James Casey,HOU,1,MIA,2,1,50.0,17,0,,8.5,17.0,0,0,0.0,0,0,0,1.7,2012,7,7
Lance Kendricks,LAR,1,DET,2,2,100.0,16,0,,8.0,8.0,0,0,0.0,0,0,0,1.6,2012,27,27
David Ausberry,OAK,1,LAC,1,1,100.0,12,0,,12.0,12.0,0,0,0.0,0,0,0,1.2,2012,16,16
Jason Witten,DAL,1,NYG,3,2,66.7,10,0,,3.3,5.0,0,0,0.0,0,0,0,1.0,2012,12,12
