Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Eric Ebron,IND,TE,5,NE,15,9,60,105,2,28,7,11.7,0,0,0,0,0,0,34.5,34.5
2,Jared Cook,OAK,TE,4,CLE,13,8,61.5,110,2,24,8.5,13.8,0,0,0,0,0,0,34,34
3,Travis Kelce,KC,TE,2,PIT,10,7,70,109,2,31,10.9,15.6,0,0,0,0,0,0,32.9,32.9
4,Jared Cook,OAK,TE,1,LAR,12,9,75,180,0,45,15,20,0,0,0,0,0,0,30,30
4,Zach Ertz,PHI,TE,5,MIN,11,10,90.9,110,1,23,10,11,0,0,0,0,0,0,30,30
6,Jesse James,PIT,TE,2,KC,5,5,100,138,1,46,27.6,27.6,0,0,0,0,0,0,27.8,27.8
7,George Kittle,SF,TE,4,LAC,8,6,75,125,1,82,15.6,20.8,0,0,0,0,0,0,27.5,27.5
8,Rob Gronkowski,NE,TE,1,HOU,8,7,87.5,123,1,30,15.4,17.6,0,0,0,0,1,1,27.3,27.3
9,Vance McDonald,PIT,TE,3,TB,5,4,80,112,1,75,22.4,28,0,0,0,0,0,0,24.2,24.2
9,Zach Ertz,PHI,TE,4,TEN,14,10,71.4,112,0,24,8,11.2,0,0,0,0,0,0,24.2,24.2
11,Will Dissly,SEA,TE,1,DEN,5,3,60,105,1,66,21,35,0,0,0,0,0,0,22.5,22.5
12,Travis Kelce,KC,TE,3,SF,10,8,80,114,0,25,11.4,14.2,0,0,0,0,0,0,22.4,22.4
13,Austin Hooper,ATL,TE,6,TB,10,9,90,71,1,14,7.1,7.9,0,0,0,0,0,0,22.1,22.1
14,Travis Kelce,KC,TE,4,DEN,12,7,58.3,78,1,29,6.5,11.1,0,0,0,0,0,0,20.8,20.8
15,Zach Ertz,PHI,TE,2,TB,13,11,84.6,94,0,34,7.2,8.5,0,0,0,0,0,0,20.4,20.4
16,Dallas Goedert,PHI,TE,3,IND,7,7,100,73,1,19,10.4,10.4,0,0,0,0,0,0,20.3,20.3
17,Evan Engram,NYG,TE,2,DAL,7,7,100,67,1,18,9.6,9.6,0,0,0,0,0,0,19.7,19.7
18,OJ Howard,TB,TE,2,PHI,4,3,75,96,1,75,24,32,0,0,0,0,0,0,18.6,18.6
19,David Njoku,CLE,TE,6,LAC,12,7,58.3,55,1,22,4.6,7.9,0,0,0,0,0,0,18.5,18.5
20,Jimmy Graham,GB,TE,6,SF,9,5,55.6,104,0,54,11.6,20.8,0,0,0,0,0,0,18.4,18.4
21,Travis Kelce,KC,TE,5,JAX,8,5,62.5,100,0,40,12.5,20,0,0,0,0,0,0,18,18
22,Zach Ertz,PHI,TE,6,NYG,9,7,77.8,43,1,15,4.8,6.1,0,0,0,0,0,0,17.3,17.3
23,Eric Ebron,IND,TE,6,NYJ,7,4,57.1,71,1,19,10.1,17.8,1,-1,-1,0,0,0,17,17
24,Austin Hooper,ATL,TE,2,CAR,5,5,100,59,1,30,11.8,11.8,0,0,0,0,0,0,16.9,16.9
