Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGame,FantasyPoints
1,Rob Gronkowski,NE,TE,1,HOU,8.89,5.2,55.6,73.4,0.7,0,8.1,14.6,0,0,0,0,0,0,11.5,11.54
2,Travis Kelce,KC,TE,1,LAC,7.64,5.5,75,67.1,0.5,0,8.4,11.2,0,0.1,0,0,0,0,9.7,9.72
3,Zach Ertz,PHI,TE,1,ATL,9.34,5.4,55.6,60.2,0.5,0,6.7,12,0,0,0,0,0.1,0.1,8.8,8.82
4,Greg Olsen,CAR,TE,1,DAL,7.87,4.5,50,52.4,0.4,0,6.5,13,0,0,0,0,0,0,7.6,7.64
5,Delanie Walker,TEN,TE,1,MIA,6.12,4.5,66.7,52,0.4,0,8.7,13,0,0,0,0,0,0,7.6,7.6
6,Kyle Rudolph,MIN,TE,1,SF,7.04,4,57.1,42.1,0.5,0,6,10.5,0,0,0,0,0,0,7.2,7.21
7,Jimmy Graham,GB,TE,1,CHI,5.73,3.9,66.7,41.5,0.5,0,7,10.5,0,0,0,0,0.1,0.1,7,6.95
8,Trey Burton,CHI,TE,1,GB,5.39,3.8,80,44.3,0.4,0,8.8,11,0,0,0,0,0,0,6.8,6.83
9,Jack Doyle,IND,TE,1,CIN,7.04,4.4,57.1,43.7,0.4,0,6.3,11,0,0,0,0,0.1,0.1,6.6,6.57
10,Evan Engram,NYG,TE,1,JAX,7.01,4.1,57.1,47.2,0.3,0,6.7,11.8,0,0.3,0,0,0,0,6.6,6.55
11,Tyler Eifert,CIN,TE,1,IND,4.29,3,75,34.5,0.5,0,8.5,11.3,0,0,0,0,0,0,6.4,6.45
12,Jordan Reed,WAS,TE,1,ARI,6.17,4.2,66.7,44.4,0.3,0,7.3,11,0,0,0,0,0.1,0.1,6,6.04
13,Ricky Seals-Jones,ARI,TE,1,WAS,3.51,2.7,75,33.3,0.4,0,8.2,11,0,0,0,0,0,0,5.7,5.73
14,George Kittle,SF,TE,1,MIN,5.14,3.1,60,35.7,0.3,0,7.2,12,0,0,0,0,0,0,5.4,5.37
15,David Njoku,CLE,TE,1,PIT,3.79,2.9,75,35.5,0.3,0,9,12,0,0,0,0,0,0,5.4,5.35
16,Jared Cook,OAK,TE,1,LAR,4.86,3.6,80,40.5,0.2,0,8,10,0,0,0,0,0,0,5.2,5.25
17,Benjamin Watson,NO,TE,1,TB,4.7,3.2,60,33.3,0.3,0,6.6,11,0,0,0,0,0,0,5.1,5.13
18,Charles Clay,BUF,TE,1,BAL,5.1,3.7,80,38.4,0.2,0,7.6,9.5,0,0,0,0,0,0,5,5.04
19,Austin Seferian-Jenkins,JAX,TE,1,NYG,4.41,3.2,75,33,0.3,0,8.2,11,0,0,0,0,0.1,0.1,4.9,4.9
20,OJ Howard,TB,TE,1,NO,3.21,2.4,66.7,31.8,0.3,0,10.7,16,0,0,0,0,0.1,0.1,4.8,4.78
21,Cameron Brate,TB,TE,1,NO,4.23,2.9,75,33.8,0.2,0,8.5,11.3,0,0,0,0,0,0,4.6,4.58
22,Mike Gesicki,MIA,TE,1,TEN,3.77,2.5,50,27.4,0.3,0,6.8,13.5,0,0,0,0,0,0,4.5,4.54
23,Eric Ebron,IND,TE,1,CIN,4.11,3,75,33.3,0.2,0,8.2,11,0,0,0,0,0,0,4.5,4.53
24,Antonio Gates,LAC,TE,1,KC,3.43,2.2,66.7,24.6,0.3,0,8.3,12.5,0,0,0,0,0,0,4.3,4.26
25,Austin Hooper,ATL,TE,1,PHI,3.69,2.8,75,29.7,0.2,0,7.5,10,0,0,0,0,0,0,4.2,4.17
26,Vance McDonald,PIT,TE,1,CLE,4.27,2.4,50,26.9,0.2,0,6.8,13.5,0,0,0,0,0,0,3.9,3.89
27,Ryan Griffin,HOU,TE,1,NE,3.28,2.3,66.7,25.1,0.2,0,8.3,12.5,0,0,0,0,0.1,0.1,3.5,3.51
28,Dallas Goedert,PHI,TE,1,ATL,3.42,2.1,66.7,22.8,0.2,0,7.7,11.5,0,0,0,0,0,0,3.5,3.48
29,Nick Vannett,SEA,TE,1,DEN,3.04,2.1,66.7,21.9,0.2,0,7.3,11,0,0,0,0,0,0,3.4,3.39
30,Jesse James,PIT,TE,1,CLE,3.03,2.2,66.7,21.5,0.2,0,7.3,11,0,0,0,0,0,0,3.4,3.35
