Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,16451,Eric Ebron,IND,TE,5,NE,15,9,60,105,2,28,7,11.7,0,0,0,0,0,0,34.5,34.5
2,14856,Zach Ertz,PHI,TE,5,MIN,11,10,90.9,110,1,23,10,11,0,0,0,0,0,0,30,30
3,15048,Travis Kelce,KC,TE,5,JAX,8,5,62.5,100,0,40,12.5,20,0,0,0,0,0,0,18,18
4,17963,Austin Hooper,ATL,TE,5,PIT,12,9,75,77,0,23,6.4,8.6,0,0,0,0,0,0,16.7,16.7
5,11488,Jimmy Graham,GB,TE,5,DET,11,6,54.5,76,0,24,6.9,12.7,0,0,0,0,0,0,13.6,13.6
6,10974,Rob Gronkowski,NE,TE,5,IND,7,6,85.7,75,0,19,10.7,12.5,0,0,0,0,0,0,13.5,13.5
6,13170,Niles Paul,JAX,TE,5,KC,9,7,77.8,65,0,19,7.2,9.3,0,0,0,0,0,0,13.5,13.5
8,16238,Erik Swoope,IND,TE,5,NE,3,3,100,44,1,26,14.7,14.7,0,0,0,0,0,0,13.4,13.4
9,19063,George Kittle,SF,TE,5,ARI,7,5,71.4,83,0,45,11.9,16.6,0,0,0,0,0,0,13.3,13.3
10,18876,David Njoku,CLE,TE,5,BAL,11,6,54.5,69,0,24,6.3,11.5,0,0,0,0,0,0,12.9,12.9
11,14985,Ryan Griffin,HOU,TE,5,DAL,9,6,66.7,65,0,13,7.2,10.8,0,0,0,0,0,0,12.5,12.5
12,15866,Josh Hill,NO,TE,5,WAS,2,2,100,24,1,23,12,12,0,0,0,0,0,0,10.4,10.4
13,13275,Kyle Rudolph,MIN,TE,5,PHI,5,5,100,41,0,17,8.2,8.2,0,0,0,0,0,0,9.1,9.1
14,13386,Lance Kendricks,GB,TE,5,DET,2,2,100,8,1,7,4,4,0,0,0,0,0,0,8.8,8.8
15,17005,Geoff Swaim,DAL,TE,5,HOU,3,3,100,55,0,43,18.3,18.3,0,0,0,0,0,0,8.5,8.5
16,13016,Virgil Green,LAC,TE,5,OAK,1,1,100,13,1,13,13,13,0,0,0,0,0,0,8.3,8.3
17,18019,Nick Vannett,SEA,TE,5,LAR,4,3,75,43,0,32,10.8,14.3,0,0,0,0,0,0,7.3,7.3
18,11756,Benjamin Watson,NO,TE,5,WAS,4,4,100,30,0,9,7.5,7.5,0,0,0,0,0,0,7,7
19,19910,Ian Thomas,CAR,TE,5,NYG,6,3,50,38,0,27,6.3,12.7,0,0,0,0,0,0,6.8,6.8
20,16917,CJ Uzomah,CIN,TE,5,MIA,2,2,100,43,0,25,21.5,21.5,0,0,0,0,0,0,6.3,6.3
