year,games,Name,Team,Week,Opponent,tar,rec,yds,td,yds/tar,yds/rec,def_rk,h/a_1,surface_0,points
2014,1,AD Denham,HOU,14,JAX,0,0,0,0,0.0,0.0,30,0.0,1.0,0.0
2014,2,AD Denham,HOU,15,IND,0,0,0,0,0.0,0.0,5,0.0,0.0,0.0
2014,3,AD Denham,HOU,16,BAL,0,0,0,0,0.0,0.0,4,1.0,0.0,0.0
2014,4,AD Denham,HOU,17,JAX,0,0,0,0,0.0,0.0,30,1.0,0.0,0.0
2016,1,AJ Derby,NE,1,ARI,0,0,0,0,0.0,0.0,1,0.0,1.0,0.0
2016,2,AJ Derby,NE,4,BUF,0,0,0,0,0.0,0.0,6,1.0,0.0,0.0
2016,3,AJ Derby,NE,5,CLE,0,0,0,0,0.0,0.0,31,0.0,1.0,0.0
2016,4,AJ Derby,NE,6,CIN,0,0,0,0,0.0,0.0,30,1.0,0.0,0.0
2016,5,AJ Derby,DEN,9,OAK,1,0,0,0,0.0,0.0,24,0.0,1.0,0.0
2016,6,AJ Derby,DEN,10,NO,3,2,22,0,7.3,11.0,13,0.0,0.0,2.2
2016,7,AJ Derby,DEN,12,KC,4,4,43,0,10.8,10.8,5,1.0,1.0,4.3
2016,8,AJ Derby,DEN,13,JAX,1,1,3,0,3.0,3.0,16,0.0,1.0,0.3
2016,9,AJ Derby,DEN,14,TEN,5,5,57,0,11.4,11.4,15,0.0,1.0,3.7
2016,10,AJ Derby,DEN,15,NE,6,4,35,0,5.8,8.8,8,1.0,1.0,3.5
2017,11,AJ Derby,DEN,1,LAC,3,3,34,0,11.3,11.3,8,1.0,1.0,3.4
2017,12,AJ Derby,DEN,2,DAL,1,0,0,0,0.0,0.0,21,1.0,1.0,0.0
2017,13,AJ Derby,DEN,3,BUF,2,1,5,0,2.5,5.0,25,0.0,0.0,0.5
2017,14,AJ Derby,DEN,4,OAK,6,4,75,1,12.5,18.8,26,1.0,1.0,13.5
2017,15,AJ Derby,DEN,6,NYG,4,1,10,0,2.5,10.0,31,1.0,1.0,1.0
2017,16,AJ Derby,DEN,7,LAC,7,6,66,0,9.4,11.0,8,0.0,1.0,4.6
2017,17,AJ Derby,DEN,8,KC,4,2,21,1,5.2,10.5,7,0.0,1.0,8.1
2017,18,AJ Derby,DEN,9,PHI,3,1,11,0,3.7,11.0,14,0.0,1.0,1.1
2017,19,AJ Derby,DEN,10,NE,1,1,2,0,2.0,2.0,10,1.0,1.0,0.2
2017,20,AJ Derby,MIA,16,KC,5,1,11,0,2.2,11.0,7,0.0,1.0,1.1
2017,21,AJ Derby,MIA,17,BUF,4,1,9,0,2.2,9.0,25,1.0,1.0,0.9
2018,22,AJ Derby,MIA,1,TEN,0,0,0,0,0.0,0.0,4,1.0,1.0,0.0
2018,23,AJ Derby,MIA,1,TEN,0,0,0,0,0.0,0.0,4,1.0,1.0,0.0
2018,24,AJ Derby,MIA,2,NYJ,2,1,19,1,9.5,19.0,13,0.0,0.0,8.9
2018,25,AJ Derby,MIA,2,NYJ,2,1,19,1,9.5,19.0,13,0.0,0.0,8.9
2018,26,AJ Derby,MIA,3,OAK,1,1,16,0,16.0,16.0,6,1.0,1.0,2.6
2018,27,AJ Derby,MIA,3,OAK,1,1,16,0,16.0,16.0,6,1.0,1.0,2.6
2018,28,AJ Derby,MIA,3,OAK,1,1,16,0,16.0,16.0,6,1.0,1.0,2.6
2018,1,AJ Green,CIN,3,CAR,8,5,58,0,7.2,11.6,27,0.0,1.0,10.8
2018,2,AJ Green,CIN,4,ATL,8,4,78,1,9.8,19.5,21,0.0,0.0,17.8
2012,1,Aaron Hernandez,NE,1,TEN,7,6,59,1,8.4,9.8,24,0.0,1.0,12.4
2012,2,Aaron Hernandez,NE,2,ARI,1,0,0,0,0.0,0.0,28,1.0,0.0,0.0
2012,3,Aaron Hernandez,NE,6,SEA,9,6,30,1,3.3,5.0,16,0.0,0.0,9.0
2012,4,Aaron Hernandez,NE,7,NYJ,7,5,54,0,7.7,10.8,26,1.0,0.0,5.4
2012,5,Aaron Hernandez,NE,12,NYJ,3,2,36,0,12.0,18.0,26,0.0,0.0,3.6
