games,year,Name,Team,Week,Opponent,tar,rec,yds,td,fum,def_rk,h/a_1,surface_0,salary,points
1,2016,AJ Derby,DEN,9,OAK,1,0,0,0,0,24,0.0,1.0,5900,0.0
2,2016,AJ Derby,DEN,10,NO,3,2,22,0,0,13,0.0,0.0,2500,4.2
3,2016,AJ Derby,DEN,12,KC,4,4,43,0,0,5,1.0,1.0,2500,8.3
4,2016,AJ Derby,DEN,13,JAX,1,1,3,0,0,16,0.0,1.0,2500,1.3
5,2016,AJ Derby,DEN,14,TEN,5,5,57,0,1,15,0.0,1.0,0,9.7
6,2016,AJ Derby,DEN,15,NE,6,4,35,0,0,8,1.0,1.0,2500,7.5
7,2017,AJ Derby,DEN,1,LAC,3,3,34,0,0,8,1.0,1.0,2500,6.4
8,2017,AJ Derby,DEN,2,DAL,1,0,0,0,0,21,1.0,1.0,2500,0.0
9,2017,AJ Derby,DEN,3,BUF,2,1,5,0,0,25,0.0,0.0,3000,1.5
10,2017,AJ Derby,DEN,4,OAK,6,4,75,1,0,26,1.0,1.0,2700,17.5
11,2017,AJ Derby,DEN,6,NYG,4,1,10,0,0,31,1.0,1.0,3600,2.0
12,2017,AJ Derby,DEN,7,LAC,7,6,66,0,1,8,0.0,1.0,2500,11.6
13,2017,AJ Derby,DEN,8,KC,4,2,21,1,0,7,0.0,1.0,2500,10.1
14,2017,AJ Derby,DEN,9,PHI,3,1,11,0,0,14,0.0,1.0,2500,2.1
15,2017,AJ Derby,DEN,10,NE,1,1,2,0,0,10,1.0,1.0,2500,1.2
16,2017,AJ Derby,MIA,16,KC,5,1,11,0,0,7,0.0,1.0,2500,2.1
17,2017,AJ Derby,MIA,17,BUF,4,1,9,0,0,25,1.0,1.0,2500,1.9
18,2018,AJ Derby,MIA,2,NYJ,2,1,19,1,0,2,0.0,0.0,2500,8.9
19,2018,AJ Derby,MIA,3,OAK,1,1,16,0,0,6,1.0,1.0,2600,2.6
1,2017,Adam Shaheen,CHI,3,PIT,1,1,2,1,0,4,1.0,1.0,2500,7.2
2,2017,Adam Shaheen,CHI,8,NO,1,0,0,0,0,2,0.0,0.0,2500,0.0
3,2017,Adam Shaheen,CHI,10,GB,2,2,39,0,0,5,1.0,1.0,4800,5.9
4,2017,Adam Shaheen,CHI,11,DET,4,4,41,1,0,16,1.0,1.0,2500,14.1
5,2017,Adam Shaheen,CHI,12,PHI,1,1,1,0,0,14,0.0,1.0,0,1.1
6,2017,Adam Shaheen,CHI,14,CIN,5,4,44,1,0,23,0.0,0.0,4400,14.4
1,2016,Alex Ellis,JAX,14,MIN,1,0,0,0,0,11,1.0,1.0,2500,0.0
2,2016,Alex Ellis,JAX,15,HOU,1,1,1,0,0,3,0.0,0.0,2500,1.1
3,2016,Alex Ellis,JAX,16,TEN,2,2,10,0,0,15,1.0,1.0,2500,3.0
