year,Name,games,Opponent,tar_avg,rec_avg,yds_avg,td_avg,yds/tar_avg,yds/rec_avg,tar_ma,rec_ma,yds_ma,td_ma,yds/tar_ma,yds/rec_ma,tar_car,rec_car,yds_car,td_car,yds/tar_car,yds/rec_car,surface_0,h/a_1,def_rk,points
2014,AD Denham,1,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30,0.0
2014,AD Denham,2,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0
2014,AD Denham,3,BAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4,0.0
2014,AD Denham,4,JAX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0
2016,AJ Derby,1,ARI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0
2017,AJ Derby,2,BUF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6,0.0
2018,AJ Derby,3,CLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31,0.0
2016,AJ Derby,4,CIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0
2016,AJ Derby,5,OAK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24,0.0
2016,AJ Derby,6,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2.2
2016,AJ Derby,7,KC,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,3.6666666666666665,0.0,1.2166666666666666,1.8333333333333333,0.67,0.33,3.67,0.0,1.22,1.83,1.0,1.0,5,4.3
2016,AJ Derby,8,JAX,0.2,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,0.8571428571428571,9.285714285714286,0.0,2.585714285714286,3.1142857142857143,1.14,0.86,9.29,0.0,2.59,3.11,1.0,0.0,16,0.3
2016,AJ Derby,9,TEN,0.67,0.33,3.67,0.0,1.22,1.83,1.125,0.875,8.5,0.0,2.6375,3.1,1.12,0.88,8.5,0.0,2.64,3.1,1.0,0.0,15,3.7
2016,AJ Derby,10,NE,1.14,0.86,9.29,0.0,2.59,3.11,1.5555555555555556,1.3333333333333333,13.88888888888889,0.0,3.611111111111111,4.022222222222222,1.56,1.33,13.89,0.0,3.61,4.02,1.0,1.0,8,3.5
2016,AJ Derby,11,LAC,1.12,0.88,8.5,0.0,2.64,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,16.0,0.0,3.83,4.5,1.0,1.0,8,3.4
2016,AJ Derby,12,DAL,1.56,1.33,13.89,0.0,3.61,4.02,0.0,0.0,0.0,0.0,0.0,0.0,4.5,3.5,34.5,0.0,8.55,10.05,1.0,1.0,21,0.0
2017,AJ Derby,13,BUF,3.0,3.0,34.0,0.0,11.3,11.3,0.0,0.0,0.0,0.0,0.0,0.0,3.33,2.33,23.0,0.0,5.7,6.7,0.0,0.0,25,0.5
