Name,Team,year,Week,home,away,Opponent
Travis Kelce,KC,2018,9,CLE,KC,CLE
Jordan Reed,WAS,2018,9,WAS,ATL,ATL
Greg Olsen,CAR,2018,9,CAR,TB,TB
David Njoku,CLE,2018,9,CLE,KC,KC
Trey Burton,CHI,2018,9,BUF,CHI,BUF
O.J. Howard,TB,2018,9,CAR,TB,CAR
Austin Hooper,ATL,2018,9,WAS,ATL,WAS
Vance McDonald,PIT,2018,9,BAL,PIT,BAL
Kyle Rudolph,MIN,2018,9,MIN,DET,DET
Ed Dickson,SEA,2018,9,SEA,LAC,LAC
Benjamin Watson,NO,2018,9,NO,LAR,LAR
Chris Herndon,NYJ,2018,9,MIA,NYJ,MIA
Jordan Thomas,HOU,2018,9,DEN,HOU,DEN
Vernon Davis,WAS,2018,9,WAS,ATL,ATL
Charles Clay,BUF,2018,9,BUF,CHI,CHI
Jesse James,PIT,2018,9,BAL,PIT,BAL
Antonio Gates,LAC,2018,9,SEA,LAC,SEA
Nick Vannett,SEA,2018,9,SEA,LAC,LAC
Cameron Brate,TB,2018,9,CAR,TB,CAR
Seth DeValve,CLE,2018,9,CLE,KC,KC
Nick O'Leary,MIA,2018,9,MIA,NYJ,NYJ
Mike Gesicki,MIA,2018,9,MIA,NYJ,NYJ
Mark Andrews,BAL,2018,9,BAL,PIT,PIT
Hayden Hurst,BAL,2018,9,BAL,PIT,PIT
Jeff Heuerman,DEN,2018,9,DEN,HOU,HOU
Tyler Higbee,LAR,2018,9,NO,LAR,NO
Gerald Everett,LAR,2018,9,NO,LAR,NO
Josh Hill,NO,2018,9,NO,LAR,LAR
Logan Thomas,BUF,2018,9,BUF,CHI,CHI
Jason Croom,BUF,2018,9,BUF,CHI,CHI
Dion Sims,CHI,2018,9,BUF,CHI,BUF
Ben Braunecker,CHI,2018,9,BUF,CHI,BUF
Adam Shaheen,CHI,2018,9,BUF,CHI,BUF
Daniel Brown,CHI,2018,9,BUF,CHI,BUF
Patrick Scales,CHI,2018,9,BUF,CHI,BUF
Alan Cross,TB,2018,9,CAR,TB,CAR
Antony Auclair,TB,2018,9,CAR,TB,CAR
Ian Thomas,CAR,2018,9,CAR,TB,TB
Chris Manhertz,CAR,2018,9,CAR,TB,TB
Darren Fells,CLE,2018,9,CLE,KC,KC
Orson Charles,CLE,2018,9,CLE,KC,KC
Pharaoh Brown,CLE,2018,9,CLE,KC,KC
Demetrius Harris,KC,2018,9,CLE,KC,CLE
James Winchester,KC,2018,9,CLE,KC,CLE
Deon Yelder,KC,2018,9,CLE,KC,CLE
A.J. Derby,MIA,2018,9,MIA,NYJ,NYJ
Durham Smythe,MIA,2018,9,MIA,NYJ,NYJ
Jordan Leggett,NYJ,2018,9,MIA,NYJ,MIA
Neal Sterling,NYJ,2018,9,MIA,NYJ,MIA
Eric Tomlinson,NYJ,2018,9,MIA,NYJ,MIA
Xavier Grimble,PIT,2018,9,BAL,PIT,BAL
Nick Boyle,BAL,2018,9,BAL,PIT,PIT
Maxx Williams,BAL,2018,9,BAL,PIT,PIT
Darren Waller,BAL,2018,9,BAL,PIT,PIT
Michael Roberts,DET,2018,9,MIN,DET,MIN
Luke Willson,DET,2018,9,MIN,DET,MIN
Levine Toilolo,DET,2018,9,MIN,DET,MIN
Tyler Conklin,MIN,2018,9,MIN,DET,DET
Josiah Price,MIN,2018,9,MIN,DET,DET
David Morgan,MIN,2018,9,MIN,DET,DET
Kevin McDermott,MIN,2018,9,MIN,DET,DET
Logan Paulsen,ATL,2018,9,WAS,ATL,WAS
Eric Saubert,ATL,2018,9,WAS,ATL,WAS
Jeremy Sprinkle,WAS,2018,9,WAS,ATL,ATL
Ryan Griffin,HOU,2018,9,DEN,HOU,DEN
Jordan Akins,HOU,2018,9,DEN,HOU,DEN
Matt LaCosse,DEN,2018,9,DEN,HOU,HOU
Brian Parker,DEN,2018,9,DEN,HOU,HOU
Virgil Green,LAC,2018,9,SEA,LAC,SEA
Hunter Henry,LAC,2018,9,SEA,LAC,SEA
Sean Culkin,LAC,2018,9,SEA,LAC,SEA
Darrell Daniels,SEA,2018,9,SEA,LAC,LAC
Will Dissly,SEA,2018,9,SEA,LAC,LAC
Tyler Ott,SEA,2018,9,SEA,LAC,LAC
Johnny Mundt,LAR,2018,9,NO,LAR,NO
Dan Arnold,NO,2018,9,NO,LAR,LAR
