Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,11056,Antonio Brown,PIT,WR,2,KC,30,25,8800,26.59
2,11056,Antonio Brown,PIT,WR,1,CLE,24,15,8600,20.49
3,14986,DeAndre Hopkins,HOU,WR,1,NE,20,29,8300,19.6
4,13291,Julio Jones,ATL,WR,2,CAR,2,9,8400,19.53
5,17960,Michael Thomas,NO,WR,2,CLE,18,22,8600,19.17
6,16389,Odell Beckham Jr,NYG,WR,2,DAL,3,2,9400,19.15
7,17960,Michael Thomas,NO,WR,1,TB,27,30,7800,18.83
8,14986,DeAndre Hopkins,HOU,WR,2,TEN,16,27,8000,18.25
9,15076,Keenan Allen,LAC,WR,2,BUF,29,25,7800,17.66
10,13291,Julio Jones,ATL,WR,1,PHI,5,21,7600,17.43
11,15076,Keenan Allen,LAC,WR,1,KC,21,32,7500,17.42
12,12845,AJ Green,CIN,WR,1,IND,29,28,7300,17.31
13,18082,Tyreek Hill,KC,WR,2,PIT,15,15,7600,16.98
14,16020,Jarvis Landry,CLE,WR,2,NO,32,32,6300,16.81
15,16470,Davante Adams,GB,WR,1,CHI,7,13,7800,15.86
16,16597,Mike Evans,TB,WR,2,PHI,10,14,7300,15.75
17,18883,Juju Smith-Schuster,PIT,WR,2,KC,30,25,6400,15.54
18,12845,AJ Green,CIN,WR,2,BAL,1,2,6800,15.45
19,16906,Stefon Diggs,MIN,WR,1,SF,28,23,6300,15.36
20,5571,Larry Fitzgerald,ARI,WR,1,WAS,23,7,6600,15.29
21,18082,Tyreek Hill,KC,WR,1,LAC,3,9,6500,15.02
22,5571,Larry Fitzgerald,ARI,WR,2,LAR,12,1,6000,14.96
23,16470,Davante Adams,GB,WR,2,MIN,11,13,6800,14.94
24,15534,Adam Thielen,MIN,WR,1,SF,28,23,6900,14.88
25,16389,Odell Beckham Jr,NYG,WR,1,JAX,2,1,7000,14.86
26,15534,Adam Thielen,MIN,WR,2,GB,7,7,7100,14.76
27,14005,T.Y. Hilton,IND,WR,1,CIN,17,3,6800,14.68
28,11611,Golden Tate,DET,WR,2,SF,17,17,6500,14.55
29,16906,Stefon Diggs,MIN,WR,2,GB,7,7,6900,14.52
30,11063,Emmanuel Sanders,DEN,WR,2,OAK,21,21,6700,14.51
31,14828,Chris Hogan,NE,WR,1,HOU,31,26,6100,14.49
31,11611,Golden Tate,DET,WR,1,NYJ,26,22,6900,14.49
33,11197,Demaryius Thomas,DEN,WR,1,SEA,8,18,5700,14.47
34,11197,Demaryius Thomas,DEN,WR,2,OAK,21,21,6000,14.41
35,16020,Jarvis Landry,CLE,WR,1,PIT,6,12,5500,14.3
36,16781,Nelson Agholor,PHI,WR,2,TB,31,30,6100,14.27
37,16597,Mike Evans,TB,WR,1,NO,13,19,6700,14.12
38,14005,T.Y. Hilton,IND,WR,2,WAS,1,5,6700,13.86
