Rank,PlayerID,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,16389,Odell Beckham Jr,NYG,WR,4,NO,31,32,8700,20.79
2,17960,Michael Thomas,NO,WR,4,NYG,12,9,9100,20.46
3,11056,Antonio Brown,PIT,WR,4,BAL,3,13,8800,19.86
4,14986,DeAndre Hopkins,HOU,WR,4,IND,11,1,8400,18.86
5,13291,Julio Jones,ATL,WR,4,CIN,23,9,8200,18.18
6,15076,Keenan Allen,LAC,WR,4,SF,28,27,8300,17.82
7,12845,AJ Green,CIN,WR,4,ATL,27,21,7500,17.62
8,15534,Adam Thielen,MIN,WR,4,LAR,1,1,6500,17.24
9,16020,Jarvis Landry,CLE,WR,4,OAK,21,29,7400,16.88
10,16470,Davante Adams,GB,WR,4,BUF,20,15,7800,16.71
11,16597,Mike Evans,TB,WR,4,CHI,9,20,7900,16.46
12,18082,Tyreek Hill,KC,WR,4,DEN,19,14,8300,16.12
13,18883,Juju Smith-Schuster,PIT,WR,4,BAL,3,13,7400,16.01
14,14005,T.Y. Hilton,IND,WR,4,HOU,17,8,7000,15.9
15,11063,Emmanuel Sanders,DEN,WR,4,KC,31,22,7300,15.33
16,16906,Stefon Diggs,MIN,WR,4,LAR,1,1,6100,15.03
17,11197,Demaryius Thomas,DEN,WR,4,KC,31,22,5500,14.74
18,11611,Golden Tate,DET,WR,4,DAL,4,2,6600,14.59
19,16568,Brandin Cooks,LAR,WR,4,MIN,14,5,6400,14.51
20,16263,Allen Robinson,CHI,WR,4,TB,29,28,5900,14.45
21,17916,Will Fuller,HOU,WR,4,IND,11,1,6800,14.33
22,17961,Sterling Shepard,NYG,WR,4,NO,31,32,4900,14.19
23,14871,Robert Woods,LAR,WR,4,MIN,14,5,5400,13.86
24,18882,Cooper Kupp,LAR,WR,4,MIN,14,5,5100,13.35
25,16765,Amari Cooper,OAK,WR,4,CLE,7,11,5600,13.27
26,18977,Kenny Golladay,DET,WR,4,DAL,4,2,6500,13.26
26,9331,Michael Crabtree,BAL,WR,4,PIT,30,31,5200,13.26
28,19514,Keelan Cole,JAX,WR,4,NYJ,5,14,5400,12.71
29,16781,Nelson Agholor,PHI,WR,4,TEN,6,19,5700,12.65
30,17986,Tyler Boyd,CIN,WR,4,ATL,27,21,4600,12.42
31,16640,John Brown,BAL,WR,4,PIT,30,31,5900,12.4
32,18879,Corey Davis,TEN,WR,4,PHI,13,22,5300,12.39
33,15196,Kenny Stills,MIA,WR,4,NE,24,26,5800,12.35
34,13870,Marvin Jones,DET,WR,4,DAL,4,2,5200,12.28
35,19802,Calvin Ridley,ATL,WR,4,CIN,23,9,4900,12.23
36,13460,Doug Baldwin,SEA,WR,4,ARI,18,4,5500,12.05
37,16063,Quincy Enunwa,NYJ,WR,4,JAX,1,3,4300,11.93
38,18269,Geronimo Allison,GB,WR,4,BUF,20,15,4700,11.91
39,16003,Sammy Watkins,KC,WR,4,DEN,19,14,5400,11.9
40,5571,Larry Fitzgerald,ARI,WR,4,SEA,15,18,5000,11.81
41,14828,Chris Hogan,NE,WR,4,MIA,10,7,5800,11.71
42,18914,Mike Williams,LAC,WR,4,SF,28,27,4500,11.13
43,16830,Tyler Lockett,SEA,WR,4,ARI,18,4,5100,11.01
44,12109,Ted Ginn,NO,WR,4,NYG,12,9,4600,10.48
45,9906,Danny Amendola,MIA,WR,4,NE,24,26,4100,10.45
46,3943,DeSean Jackson,TB,WR,4,CHI,9,20,5700,10.28
47,4556,Jordy Nelson,OAK,WR,4,CLE,7,11,4700,10.23
48,18880,Chris Godwin,TB,WR,4,CHI,9,20,4500,10.2
49,14187,Alshon Jeffery,PHI,WR,4,TEN,6,19,5700,10.12
50,14865,Marquise Goodwin,SF,WR,4,LAC,26,31,4800,9.59
51,19917,Antonio Callaway,CLE,WR,4,OAK,21,29,4300,9.49
51,19815,Christian Kirk,ARI,WR,4,SEA,15,18,3700,9.49
53,16550,Kelvin Benjamin,BUF,WR,4,GB,22,25,3600,9.31
54,16129,Taylor Gabriel,CHI,WR,4,TB,29,28,3900,9.29
55,13878,Mohamed Sanu,ATL,WR,4,CIN,23,9,3600,8.86
56,16141,Willie Snead,BAL,WR,4,PIT,30,31,3900,8.78
57,14587,Josh Gordon,NE,WR,4,MIA,10,7,6200,8.67
58,16308,Albert Wilson,MIA,WR,4,NE,24,26,3700,8.66
59,16411,Ryan Grant,IND,WR,4,HOU,17,8,4200,8.45
60,18992,Dede Westbrook,JAX,WR,4,NYJ,5,14,4400,8.43
61,17048,Tyrell Williams,LAC,WR,4,SF,28,27,3700,8.35
62,6767,Pierre Garcon,SF,WR,4,LAC,26,31,4600,8.23
63,11667,Brandon Marshall,SEA,WR,4,ARI,18,4,4000,8.19
64,14141,Cole Beasley,DAL,WR,4,DET,16,5,3900,7.95
65,18971,Taywan Taylor,TEN,WR,4,PHI,13,22,4000,7.76
66,16232,Donte Moncrief,JAX,WR,4,NYJ,5,14,3600,7.59
67,18187,Robby Anderson,NYJ,WR,4,JAX,1,3,3600,7.5
68,19800,Courtland Sutton,DEN,WR,4,KC,31,22,3500,7.49
69,16146,Martavis Bryant,OAK,WR,4,CLE,7,11,3400,7.05
70,18103,Jakeem Grant,MIA,WR,4,NE,24,26,3900,6.84
71,16253,Allen Hurns,DAL,WR,4,DET,16,5,3600,6.73
72,18089,Rashard Higgins,CLE,WR,4,OAK,21,29,3400,6.7
73,16790,Phillip Dorsett,NE,WR,4,MIA,10,7,4500,6.69
74,18881,John Ross,CIN,WR,4,ATL,27,21,3300,6.18
75,19865,James Washington,PIT,WR,4,BAL,3,13,3600,6.03
76,13693,Terrelle Pryor,NYJ,WR,4,JAX,1,3,3200,5.95
77,17914,Laquon Treadwell,MIN,WR,4,LAR,1,1,3400,5.76
78,17290,Adam Humphries,TB,WR,4,CHI,9,20,3200,5.72
79,18058,Tajae Sharpe,TEN,WR,4,PHI,13,22,3100,5.7
80,17167,Cameron Meredith,NO,WR,4,NYG,12,9,3700,5.67
81,18361,Chester Rogers,IND,WR,4,HOU,17,8,3300,5.56
82,14749,Jermaine Kearse,NYJ,WR,4,JAX,1,3,3300,5.53
83,15215,Tavon Austin,DAL,WR,4,DET,16,5,3600,5.43
84,18926,Zay Jones,BUF,WR,4,GB,22,25,3500,5.32
84,19976,Marquez Valdes-Scantling,GB,WR,4,BUF,20,15,3000,5.32
86,15509,Jaron Brown,SEA,WR,4,ARI,18,4,3700,5.19
87,19064,Trent Taylor,SF,WR,4,LAC,26,31,3600,5.13
88,15974,Jordan Matthews,PHI,WR,4,TEN,6,19,3600,5.07
89,13887,Travis Benjamin,LAC,WR,4,SF,28,27,3500,4.96
90,13856,Deonte Thompson,DAL,WR,4,DET,16,5,3500,4.69
91,19867,Michael Gallup,DAL,WR,4,DET,16,5,3400,4.66
92,13264,Andre Holmes,BUF,WR,4,GB,22,25,3300,4.51
93,19937,Keke Coutee,HOU,WR,4,IND,11,1,3000,4.28
94,16837,Chris Conley,KC,WR,4,DEN,19,14,3300,4.27
95,18974,Chad Williams,ARI,WR,4,SEA,15,18,3000,4.09
96,16326,Seth Roberts,OAK,WR,4,CLE,7,11,3200,4.07
97,19854,Dante Pettis,SF,WR,4,LAC,26,31,3800,3.77
98,15150,Cordarrelle Patterson,NE,WR,4,MIA,10,7,3200,3.67
99,14795,Josh Bellamy,CHI,WR,4,TB,29,28,3000,3.61
100,14850,Russell Shepard,NYG,WR,4,NO,31,32,3000,3.18
101,16456,TJ Jones,DET,WR,4,DAL,4,2,3000,3.05
102,16768,Kevin White,CHI,WR,4,TB,29,28,3000,2.88
103,12722,Kamar Aiken,PHI,WR,4,TEN,6,19,3000,2.82
104,19897,Tre'Quan Smith,NO,WR,4,NYG,12,9,3400,2.77
105,19008,Ryan Switzer,PIT,WR,4,BAL,3,13,3000,2.76
106,20250,Robert Foster,BUF,WR,4,GB,22,25,3000,2.75
107,18030,Chris Moore,BAL,WR,4,PIT,30,31,3000,2.71
108,20011,Javon Wims,CHI,WR,4,TB,29,28,3000,2.69
109,19816,D.J. Chark,JAX,WR,4,NYJ,5,14,3000,2.67
110,16919,JJ Nelson,ARI,WR,4,SEA,15,18,3000,2.56
111,15066,Brice Butler,DAL,WR,4,DET,16,5,3000,2.53
112,19276,Austin Carr,NO,WR,4,NYG,12,9,3000,2.47
113,16664,Bruce Ellington,HOU,WR,4,IND,11,1,3300,2.09
114,19172,Zach Pascal,IND,WR,4,HOU,17,8,3000,1.81
115,18047,Demarcus Robinson,KC,WR,4,DEN,19,14,3000,1.71
116,16848,Sammie Coates,HOU,WR,4,IND,11,1,3000,1.6
117,16868,Justin Hardy,ATL,WR,4,CIN,23,9,3000,1.57
118,19318,Kendrick Bourne,SF,WR,4,LAC,26,31,3000,1.41
119,16305,De'Anthony Thomas,KC,WR,4,DEN,19,14,3200,1.36
120,18673,Jaydon Mickens,JAX,WR,4,NYJ,5,14,3000,1.14
121,20398,Equanimeous St. Brown,GB,WR,4,BUF,20,15,3000,1.12
122,19017,Josh Reynolds,LAR,WR,4,MIN,14,5,3000,1.08
123,8771,Darrius Heyward-Bey,PIT,WR,4,BAL,3,13,3000,1.03
124,19935,J'mon Moore,GB,WR,4,BUF,20,15,3000,0.97
124,19207,Tim Patrick,DEN,WR,4,KC,31,22,3000,0.97
126,20679,Khadarel Hodge,LAR,WR,4,MIN,14,5,3000,0.94
127,19916,Daesean Hamilton,DEN,WR,4,KC,31,22,3000,0.93
128,13171,Aldrick Robinson,MIN,WR,4,LAR,1,1,3000,0.91
128,18197,Alex Erickson,CIN,WR,4,ATL,27,21,3000,0.91
130,19006,Josh Malone,CIN,WR,4,ATL,27,21,3000,0.9
131,19120,David Moore,SEA,WR,4,ARI,18,4,3000,0.85
132,17070,Darius Jennings,TEN,WR,4,PHI,13,22,3000,0.79
133,19922,Justin Watson,TB,WR,4,CHI,9,20,3000,0.78
133,18508,Andy Jones,DET,WR,4,DAL,4,2,null,0.78
133,14111,Rod Streater,CLE,WR,4,OAK,21,29,3000,0.78
133,19317,Victor Bolden Jr.,SF,WR,4,LAC,26,31,3000,0.78
137,17218,Deandre Carter,PHI,WR,4,TEN,6,19,null,0.77
138,18717,Marvin Hall,ATL,WR,4,CIN,23,9,3000,0.76
138,19361,Marcus Kemp,KC,WR,4,DEN,19,14,3000,0.76
140,19961,Ray-Ray McCloud,BUF,WR,4,GB,22,25,3000,0.75
141,18116,Cody Core,CIN,WR,4,ATL,27,21,3000,0.72
142,20006,Russell Gage,ATL,WR,4,CIN,23,9,3000,0.71
142,19100,Stacy Coley,NYG,WR,4,NO,31,32,3000,0.71
144,16946,Geremy Davis,LAC,WR,4,SF,28,27,3000,0.64
145,18445,Mike Thomas,LAR,WR,4,MIN,14,5,null,0.62
145,16529,Freddie Martino,TB,WR,4,CHI,9,20,3000,0.62
147,19060,Shelton Gibson,PHI,WR,4,TEN,6,19,3000,0.59
148,15268,Nick Williams,TEN,WR,4,PHI,13,22,3000,0.57
149,17964,Braxton Miller,PHI,WR,4,TEN,6,19,null,0.56
150,15038,Tavarres King,MIN,WR,4,LAR,1,1,null,0.48
150,19080,Noah Brown,DAL,WR,4,DET,16,5,3000,0.48
152,18209,Marcus Johnson,IND,WR,4,HOU,17,8,3000,0.45
152,19212,Tim White,BAL,WR,4,PIT,30,31,3000,0.45
154,13117,Dwayne Harris,OAK,WR,4,CLE,7,11,3000,0.43
155,18401,Tommylee Lewis,NO,WR,4,NYG,12,9,null,0.42
156,11565,Andre Roberts,NYJ,WR,4,JAX,1,3,3000,0.27
156,8373,Brandon Tate,NO,WR,4,NYG,12,9,null,0.27
158,7651,Matthew Slater,NE,WR,4,MIA,10,7,3000,0.26
159,19043,Isaiah McKenzie,DEN,WR,4,KC,31,22,null,0.22
160,20477,Derrick Willies,CLE,WR,4,OAK,21,29,3000,0.06
161,18039,Pharoh Cooper,LAR,WR,4,MIN,14,5,null,0
161,19779,Brandon Zylstra,MIN,WR,4,LAR,1,1,3000,0
161,20057,Auden Tate,CIN,WR,4,ATL,27,21,3000,0
161,15479,Marlon Brown,CHI,WR,4,TB,29,28,null,0
161,17219,Daniel Brown,CHI,WR,4,TB,29,28,2500,0
161,19431,Tanner Gentry,CHI,WR,4,TB,29,28,null,0
161,15088,Terrance Williams,DAL,WR,4,DET,16,5,3000,0
161,13227,Randall Cobb,GB,WR,4,BUF,20,15,5100,0
161,17289,Jake Kumerow,GB,WR,4,BUF,20,15,3000,0
161,18080,Trevor Davis,GB,WR,4,BUF,20,15,null,0
161,8529,Mike Wallace,PHI,WR,4,TEN,6,19,3000,0
161,13788,Rishard Matthews,TEN,WR,4,PHI,13,22,3600,0
161,16081,Michael Campanaro,TEN,WR,4,PHI,13,22,3000,0
161,19023,Mack Hollins,PHI,WR,4,TEN,6,19,3000,0
161,16122,James Wright,IND,WR,4,HOU,17,8,null,0
161,17938,Corey Coleman,NE,WR,4,MIA,10,7,null,0
161,19504,Riley McCarron,NE,WR,4,MIA,10,7,null,0
161,18014,Leonte Carroo,MIA,WR,4,NE,24,26,null,0
161,18602,Tanner McEvoy,MIA,WR,4,NE,24,26,3000,0
161,16775,Devante Parker,MIA,WR,4,NE,24,26,3500,0
161,20038,Braxton Berrios,NE,WR,4,MIA,10,7,3000,0
161,16979,Neal Sterling,NYJ,WR,4,JAX,1,3,2500,0
161,18965,Ardarius Stewart,NYJ,WR,4,JAX,1,3,3000,0
161,16899,Rashad Greene,JAX,WR,4,NYJ,5,14,3000,0
161,18241,Johnny Holton,OAK,WR,4,CLE,7,11,null,0
161,19811,Marcell Ateman,OAK,WR,4,CLE,7,11,null,0
161,11463,Brandon LaFell,OAK,WR,4,CLE,7,11,3000,0
161,18036,Ricardo Louis,CLE,WR,4,OAK,21,29,null,0
161,19969,Damion Ratley,CLE,WR,4,OAK,21,29,3000,0
161,18099,Keenan Reynolds,SEA,WR,4,ARI,18,4,3000,0
161,18985,Amara Darboh,SEA,WR,4,ARI,18,4,null,0
161,20081,Trent Sherfield,ARI,WR,4,SEA,15,18,3000,0
161,19501,Justin Hardee,NO,WR,4,NYG,12,9,null,0
161,16944,Kaelin Clay,NYG,WR,4,NO,31,32,3000,0
161,16278,Cody Latimer,NYG,WR,4,NO,31,32,3300,0
161,19659,Dan Arnold,NO,WR,4,NYG,12,9,2500,0
161,19569,Artavis Scott,LAC,WR,4,SF,28,27,3000,0
161,20077,Richie James,SF,WR,4,LAC,26,31,3000,0
161,20310,JJ Jones,LAC,WR,4,SF,28,27,3000,0
161,19982,Dylan Cantrell,LAC,WR,4,SF,28,27,null,0
161,14978,Justin Hunter,PIT,WR,4,BAL,3,13,3000,0
161,19925,Jaleel Scott,BAL,WR,4,PIT,30,31,3000,0
161,19959,Jordan Lasley,BAL,WR,4,PIT,30,31,3000,0
161,17153,Jordan Taylor,DEN,WR,4,KC,31,22,3000,0
