Name,Team,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,points,year
Kevin Ogletree,DAL,1,NYG,11,8,72.7,114,2,,10.4,14.2,0,0,0.0,0,0,0,23.4,2012
Julio Jones,ATL,1,KC,9,6,66.7,108,2,,12.0,18.0,0,0,0.0,0,0,0,22.8,2012
Stephen Hill,NYJ,1,BUF,6,5,83.3,89,2,,14.8,17.8,0,0,0.0,0,0,0,20.9,2012
Lance Moore,NO,1,WAS,10,6,60.0,120,1,,12.0,20.0,0,0,0.0,0,0,0,18.0,2012
Brandon Marshall,CHI,1,IND,15,9,60.0,119,1,,7.9,13.2,0,0,0.0,0,0,0,17.9,2012
Andre Johnson,HOU,1,MIA,10,8,80.0,119,1,,11.9,14.9,0,0,0.0,0,0,0,17.9,2012
Demaryius Thomas,DEN,1,PIT,7,5,71.4,110,1,,15.7,22.0,0,0,0.0,0,0,0,17.0,2012
Pierre Garcon,WAS,1,NO,4,4,100.0,109,1,,27.2,27.2,0,0,0.0,0,0,0,16.9,2012
Jeremy Maclin,PHI,1,CLE,14,7,50.0,96,1,,6.9,13.7,0,0,0.0,0,0,0,15.6,2012
James Jones,GB,1,SF,6,4,66.7,81,1,,13.5,20.2,0,0,0.0,0,0,0,14.1,2012
Alshon Jeffery,CHI,1,IND,5,3,60.0,80,1,,16.0,26.7,0,0,0.0,0,0,0,14.0,2012
Reggie Wayne,IND,1,CHI,18,9,50.0,135,0,,7.5,15.0,0,0,0.0,0,0,0,13.5,2012
Cecil Shorts,JAX,1,MIN,7,4,57.1,74,1,,10.6,18.5,0,0,0.0,0,0,0,13.4,2012
Miles Austin,DAL,1,NYG,4,4,100.0,73,1,,18.2,18.2,0,0,0.0,0,0,0,13.3,2012
Andre Roberts,ARI,1,SEA,9,5,55.6,54,1,,6.0,10.8,1,15,15.0,0,0,0,12.9,2012
