Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,18082,Tyreek Hill,KC,WR,1,LAC,8,7,87.5,169,2,58,21.1,24.1,2,4,2,0,0,0,45.3,45.3
2,17960,Michael Thomas,NO,WR,1,TB,17,16,94.1,180,1,35,10.6,11.2,0,0,0,0,1,1,42,42
3,16906,Stefon Diggs,MIN,WR,2,GB,13,9,69.2,128,2,75,9.8,14.2,1,1,1,0,0,0,38.9,38.9
4,3943,DeSean Jackson,TB,WR,1,NO,5,5,100,146,2,58,29.2,29.2,0,0,0,0,0,0,34.6,34.6
5,15534,Adam Thielen,MIN,WR,2,GB,13,12,92.3,131,1,25,10.1,10.9,0,0,0,0,0,0,34.1,34.1
5,18883,Juju Smith-Schuster,PIT,WR,2,KC,19,13,68.4,121,1,21,6.4,9.3,0,0,0,0,0,0,34.1,34.1
7,11063,Emmanuel Sanders,DEN,WR,1,SEA,11,10,90.9,135,1,43,12.3,13.5,0,0,0,0,0,0,32.5,32.5
8,13227,Randall Cobb,GB,WR,1,CHI,10,9,90,142,1,75,14.2,15.8,0,0,0,0,0,0,32.2,32.2
9,17960,Michael Thomas,NO,WR,2,CLE,13,12,92.3,89,2,25,6.8,7.4,0,0,0,0,1,1,31.9,31.9
10,13291,Julio Jones,ATL,WR,1,PHI,19,10,52.6,169,0,36,8.9,16.9,1,11,11,0,0,0,31,31
11,16597,Mike Evans,TB,WR,1,NO,7,7,100,147,1,50,21,21,0,0,0,0,0,0,30.7,30.7
12,12845,AJ Green,CIN,WR,2,BAL,9,5,55.6,69,3,32,7.7,13.8,0,0,0,0,0,0,29.9,29.9
13,15196,Kenny Stills,MIA,WR,1,TEN,5,4,80,106,2,75,21.2,26.5,0,0,0,0,0,0,29.6,29.6
14,17916,Will Fuller,HOU,WR,2,TEN,9,8,88.9,113,1,39,12.6,14.1,0,0,0,0,0,0,28.3,28.3
15,15076,Keenan Allen,LAC,WR,1,KC,11,8,72.7,108,1,23,9.8,13.5,0,0,0,0,0,0,27.8,27.8
16,19514,Keelan Cole,JAX,WR,2,NE,8,7,87.5,116,1,24,14.5,16.6,0,0,0,0,0,0,27.6,27.6
17,14986,DeAndre Hopkins,HOU,WR,2,TEN,11,6,54.5,110,1,31,10,18.3,0,0,0,0,0,0,26,26
18,3943,DeSean Jackson,TB,WR,2,PHI,4,4,100,129,1,75,32.2,32.2,0,0,0,0,0,0,25.9,25.9
18,16568,Brandin Cooks,LAR,WR,2,ARI,9,7,77.8,159,0,57,17.7,22.7,0,0,0,0,0,0,25.9,25.9
20,16389,Odell Beckham Jr,NYG,WR,1,JAX,15,11,73.3,111,0,24,7.4,10.1,1,-1,-1,0,0,0,25,25
21,16765,Amari Cooper,OAK,WR,2,DEN,10,10,100,116,0,30,11.6,11.6,0,0,0,0,0,0,24.6,24.6
22,11056,Antonio Brown,PIT,WR,1,CLE,16,9,56.2,93,1,22,5.8,10.3,0,0,0,0,0,0,24.3,24.3
23,16597,Mike Evans,TB,WR,2,PHI,12,10,83.3,83,1,16,6.9,8.3,0,0,0,0,1,1,23.3,23.3
24,16781,Nelson Agholor,PHI,WR,2,TB,12,8,66.7,88,1,50,7.3,11,1,2,2,0,0,0,23,23
25,16003,Sammy Watkins,KC,WR,2,PIT,7,6,85.7,100,0,40,14.3,16.7,1,31,31,0,0,0,22.1,22.1
26,11611,Golden Tate,DET,WR,2,SF,13,7,53.8,109,0,67,8.4,15.6,1,9,9,0,0,0,21.8,21.8
27,18977,Kenny Golladay,DET,WR,1,NYJ,12,7,58.3,114,0,26,9.5,16.3,0,0,0,0,0,0,21.4,21.4
28,14005,T.Y. Hilton,IND,WR,2,WAS,11,7,63.6,83,1,22,7.5,11.9,0,0,0,0,0,0,21.3,21.3
29,17986,Tyler Boyd,CIN,WR,2,BAL,9,6,66.7,91,1,27,10.1,15.2,0,0,0,0,0,0,21.1,21.1
30,18977,Kenny Golladay,DET,WR,2,SF,9,6,66.7,89,1,30,9.9,14.8,0,0,0,0,0,0,20.9,20.9
30,11611,Golden Tate,DET,WR,1,NYJ,15,7,46.7,79,1,26,5.3,11.3,0,0,0,0,0,0,20.9,20.9
32,16020,Jarvis Landry,CLE,WR,1,PIT,15,7,46.7,106,0,39,7.1,15.1,0,0,0,0,0,0,20.6,20.6
33,16470,Davante Adams,GB,WR,2,MIN,12,8,66.7,64,1,16,5.3,8,0,0,0,0,0,0,20.4,20.4
34,12109,Ted Ginn,NO,WR,1,TB,6,5,83.3,68,1,28,11.3,13.6,1,5,5,0,0,0,20.3,20.3
35,12845,AJ Green,CIN,WR,1,IND,8,6,75,92,1,38,11.5,15.3,0,0,0,0,2,1,20.2,20.2
36,18082,Tyreek Hill,KC,WR,2,PIT,6,5,83.3,90,1,36,15,18,0,0,0,0,0,0,20,20
37,18883,Juju Smith-Schuster,PIT,WR,1,CLE,8,5,62.5,119,0,67,14.9,23.8,0,0,0,0,0,0,19.9,19.9
38,16470,Davante Adams,GB,WR,1,CHI,8,5,62.5,88,1,51,11,17.6,0,0,0,0,0,0,19.8,19.8
39,16790,Phillip Dorsett,NE,WR,1,HOU,7,7,100,66,1,14,9.4,9.4,0,0,0,0,0,0,19.6,19.6
40,14828,Chris Hogan,NE,WR,2,JAX,5,3,60,42,2,29,8.4,14,0,0,0,0,0,0,19.2,19.2
40,16640,John Brown,BAL,WR,2,CIN,10,4,40,92,1,45,9.2,23,0,0,0,0,0,0,19.2,19.2
40,15534,Adam Thielen,MIN,WR,1,SF,12,6,50,102,0,34,8.5,17,0,0,0,0,0,0,19.2,19.2
43,11197,Demaryius Thomas,DEN,WR,1,SEA,10,6,60,63,1,23,6.3,10.5,0,0,0,0,0,0,18.3,18.3
43,16063,Quincy Enunwa,NYJ,WR,1,DET,10,6,60,63,1,21,6.3,10.5,0,0,0,0,0,0,18.3,18.3
43,16263,Allen Robinson,CHI,WR,2,SEA,14,10,71.4,83,0,14,5.9,8.3,0,0,0,0,0,0,18.3,18.3
46,18269,Geronimo Allison,GB,WR,1,CHI,8,5,62.5,69,1,39,8.6,13.8,0,0,0,0,0,0,17.9,17.9
47,19917,Antonio Callaway,CLE,WR,2,NO,4,3,75,81,1,47,20.2,27,2,7,3.5,0,0,0,17.8,17.8
47,18882,Cooper Kupp,LAR,WR,1,OAK,9,5,55.6,52,1,12,5.8,10.4,2,16,8,0,0,0,17.8,17.8
49,18992,Dede Westbrook,JAX,WR,2,NE,5,4,80,82,1,61,16.4,20.5,1,-6,-6,0,1,0,17.6,17.6
50,15215,Tavon Austin,DAL,WR,2,NYG,2,2,100,79,1,64,39.5,39.5,1,15,15,0,0,0,17.4,17.4
51,14465,Jarius Wright,CAR,WR,2,ATL,7,5,71.4,62,1,22,8.9,12.4,0,0,0,0,0,0,17.2,17.2
52,16830,Tyler Lockett,SEA,WR,2,CHI,7,5,71.4,60,1,20,8.6,12,0,0,0,0,1,0,17,17
53,19802,Calvin Ridley,ATL,WR,2,CAR,5,4,80,64,1,22,12.8,16,1,3,3,0,0,0,16.7,16.7
54,18880,Chris Godwin,TB,WR,2,PHI,6,5,83.3,56,1,17,9.3,11.2,0,0,0,0,0,0,16.6,16.6
55,16063,Quincy Enunwa,NYJ,WR,2,MIA,11,7,63.6,92,0,21,8.4,13.1,0,0,0,0,1,0,16.2,16.2
56,11056,Antonio Brown,PIT,WR,2,KC,17,9,52.9,67,0,19,3.9,7.4,0,0,0,0,0,0,15.7,15.7
57,14005,T.Y. Hilton,IND,WR,1,CIN,11,5,45.5,46,1,13,4.2,9.2,0,0,0,0,0,0,15.6,15.6
58,13870,Marvin Jones,DET,WR,2,SF,9,4,44.4,54,1,19,6,13.5,0,0,0,0,0,0,15.4,15.4
59,14986,DeAndre Hopkins,HOU,WR,1,NE,11,8,72.7,78,0,17,7.1,9.8,1,-7,-7,0,0,0,15.1,15.1
60,16830,Tyler Lockett,SEA,WR,1,DEN,4,3,75,59,1,51,14.8,19.7,0,0,0,0,0,0,14.9,14.9
60,16141,Willie Snead,BAL,WR,1,BUF,6,4,66.7,49,1,20,8.2,12.2,0,0,0,0,0,0,14.9,14.9
62,18103,Jakeem Grant,MIA,WR,1,TEN,7,5,71.4,38,0,13,5.4,7.6,0,0,0,0,0,0,14.8,14.8
63,16802,Devin Funchess,CAR,WR,2,ATL,9,7,77.8,77,0,27,8.6,11,0,0,0,0,0,0,14.7,14.7
64,5571,Larry Fitzgerald,ARI,WR,1,WAS,10,7,70,76,0,27,7.6,10.9,0,0,0,0,0,0,14.6,14.6
65,16568,Brandin Cooks,LAR,WR,1,OAK,8,5,62.5,87,0,30,10.9,17.4,1,6,6,0,0,0,14.3,14.3
65,14141,Cole Beasley,DAL,WR,1,CAR,8,7,87.5,73,0,17,9.1,10.4,0,0,0,0,0,0,14.3,14.3
67,19854,Dante Pettis,SF,WR,1,MIN,5,2,40,61,1,39,12.2,30.5,0,0,0,0,1,0,14.1,14.1
67,16906,Stefon Diggs,MIN,WR,1,SF,6,3,50,43,1,22,7.2,14.3,1,8,8,0,0,0,14.1,14.1
67,14871,Robert Woods,LAR,WR,2,ARI,9,6,66.7,81,0,21,9,13.5,0,0,0,0,0,0,14.1,14.1
70,16411,Ryan Grant,IND,WR,1,CIN,9,8,88.9,59,0,13,6.6,7.4,0,0,0,0,0,0,13.9,13.9
71,16664,Bruce Ellington,HOU,WR,1,NE,8,4,50,37,1,14,4.6,9.2,0,0,0,0,0,0,13.7,13.7
72,11667,Brandon Marshall,SEA,WR,1,DEN,6,3,50,46,1,20,7.7,15.3,0,0,0,0,0,0,13.6,13.6
72,11063,Emmanuel Sanders,DEN,WR,2,OAK,4,4,100,96,0,23,24,24,0,0,0,0,0,0,13.6,13.6
74,16640,John Brown,BAL,WR,1,BUF,4,3,75,44,1,29,11,14.7,1,1,1,0,0,0,13.5,13.5
74,16308,Albert Wilson,MIA,WR,2,NYJ,5,3,60,37,1,29,7.4,12.3,2,8,4,0,0,0,13.5,13.5
74,16781,Nelson Agholor,PHI,WR,1,ATL,10,8,80,33,0,10,3.3,4.1,1,16,16,0,0,0,13.5,13.5
77,16232,Donte Moncrief,JAX,WR,2,NE,9,4,44.4,34,1,14,3.8,8.5,0,0,0,0,0,0,13.4,13.4
78,16326,Seth Roberts,OAK,WR,2,DEN,3,3,100,43,1,20,14.3,14.3,0,0,0,0,0,0,13.3,13.3
79,18880,Chris Godwin,TB,WR,1,NO,4,3,75,41,1,16,10.2,13.7,0,0,0,0,1,0,13.1,13.1
79,18914,Mike Williams,LAC,WR,1,KC,6,5,83.3,81,0,25,13.5,16.2,0,0,0,0,0,0,13.1,13.1
81,19844,D.J. Moore,CAR,WR,2,ATL,2,1,50,51,1,51,25.5,51,1,7,7,0,0,0,12.8,12.8
81,9331,Michael Crabtree,BAL,WR,1,BUF,6,3,50,38,1,20,6.3,12.7,0,0,0,0,0,0,12.8,12.8
83,15076,Keenan Allen,LAC,WR,2,BUF,8,6,75,67,0,16,8.4,11.2,0,0,0,0,0,0,12.7,12.7
84,13693,Terrelle Pryor,NYJ,WR,2,MIA,8,4,50,84,0,44,10.5,21,0,0,0,0,0,0,12.4,12.4
84,18269,Geronimo Allison,GB,WR,2,MIN,6,6,100,64,0,22,10.7,10.7,0,0,0,0,0,0,12.4,12.4
86,12830,Torrey Smith,CAR,WR,2,ATL,7,3,42.9,33,1,26,4.7,11,0,0,0,0,0,0,12.3,12.3
86,18882,Cooper Kupp,LAR,WR,2,ARI,6,6,100,63,0,29,10.5,10.5,0,0,0,0,0,0,12.3,12.3
88,18971,Taywan Taylor,TEN,WR,2,HOU,4,3,75,32,1,18,8,10.7,0,0,0,0,0,0,12.2,12.2
88,18879,Corey Davis,TEN,WR,1,MIA,13,6,46.2,62,0,18,4.8,10.3,0,0,0,0,0,0,12.2,12.2
90,16020,Jarvis Landry,CLE,WR,2,NO,7,5,71.4,69,0,25,9.9,13.8,0,0,0,0,0,0,11.9,11.9
91,13291,Julio Jones,ATL,WR,2,CAR,9,5,55.6,64,0,30,7.1,12.8,0,0,0,0,0,0,11.4,11.4
92,18914,Mike Williams,LAC,WR,2,BUF,2,2,100,27,1,17,13.5,13.5,0,0,0,0,0,0,10.7,10.7
