Name,Team,year,Week,home,away,Opponent
Adam Thielen,MIN,2018,9,MIN,DET,DET
Antonio Brown,PIT,2018,9,BAL,PIT,BAL
DeAndre Hopkins,HOU,2018,9,DEN,HOU,DEN
Mike Evans,TB,2018,9,CAR,TB,CAR
Tyreek Hill,KC,2018,9,CLE,KC,CLE
Julio Jones,ATL,2018,9,WAS,ATL,WAS
Michael Thomas,NO,2018,9,NO,LAR,LAR
Keenan Allen,LAC,2018,9,SEA,LAC,SEA
JuJu Smith-Schuster,PIT,2018,9,BAL,PIT,BAL
Robert Woods,LAR,2018,9,NO,LAR,NO
Stefon Diggs,MIN,2018,9,MIN,DET,DET
Brandin Cooks,LAR,2018,9,NO,LAR,NO
Jarvis Landry,CLE,2018,9,CLE,KC,KC
Emmanuel Sanders,DEN,2018,9,DEN,HOU,HOU
Cooper Kupp,LAR,2018,9,NO,LAR,NO
Golden Tate,DET,2018,9,MIN,DET,MIN
John Brown,BAL,2018,9,BAL,PIT,PIT
Calvin Ridley,ATL,2018,9,WAS,ATL,WAS
Devin Funchess,CAR,2018,9,CAR,TB,TB
Kenny Golladay,DET,2018,9,MIN,DET,MIN
Marvin Jones Jr.,DET,2018,9,MIN,DET,MIN
Keke Coutee,HOU,2018,9,DEN,HOU,DEN
Doug Baldwin,SEA,2018,9,SEA,LAC,LAC
Allen Robinson II,CHI,2018,9,BUF,CHI,BUF
Tyler Lockett,SEA,2018,9,SEA,LAC,LAC
Taylor Gabriel,CHI,2018,9,BUF,CHI,BUF
Mohamed Sanu,ATL,2018,9,WAS,ATL,WAS
DeSean Jackson,TB,2018,9,CAR,TB,CAR
Sammy Watkins,KC,2018,9,CLE,KC,CLE
Michael Crabtree,BAL,2018,9,BAL,PIT,PIT
Danny Amendola,MIA,2018,9,MIA,NYJ,NYJ
DeVante Parker,MIA,2018,9,MIA,NYJ,NYJ
Demaryius Thomas,HOU,2018,9,DEN,HOU,DEN
Josh Reynolds,LAR,2018,9,NO,LAR,NO
Chris Godwin,TB,2018,9,CAR,TB,CAR
D.J. Moore,CAR,2018,9,CAR,TB,TB
Kenny Stills,MIA,2018,9,MIA,NYJ,NYJ
Robby Anderson,NYJ,2018,9,MIA,NYJ,MIA
Antonio Callaway,CLE,2018,9,CLE,KC,KC
Jermaine Kearse,NYJ,2018,9,MIA,NYJ,MIA
Willie Snead IV,BAL,2018,9,BAL,PIT,PIT
Josh Doctson,WAS,2018,9,WAS,ATL,ATL
Tyrell Williams,LAC,2018,9,SEA,LAC,SEA
Tre'Quan Smith,NO,2018,9,NO,LAR,LAR
Jamison Crowder,WAS,2018,9,WAS,ATL,ATL
Quincy Enunwa,NYJ,2018,9,MIA,NYJ,MIA
Courtland Sutton,DEN,2018,9,DEN,HOU,HOU
David Moore,SEA,2018,9,SEA,LAC,LAC
Paul Richardson Jr.,WAS,2018,9,WAS,ATL,ATL
Mike Williams,LAC,2018,9,SEA,LAC,SEA
Anthony Miller,CHI,2018,9,BUF,CHI,BUF
Rashard Higgins,CLE,2018,9,CLE,KC,KC
Jakeem Grant,MIA,2018,9,MIA,NYJ,NYJ
Adam Humphries,TB,2018,9,CAR,TB,CAR
Vyncint Smith,HOU,2018,9,DEN,HOU,DEN
Kelvin Benjamin,BUF,2018,9,BUF,CHI,CHI
Curtis Samuel,CAR,2018,9,CAR,TB,TB
Torrey Smith,CAR,2018,9,CAR,TB,TB
Damion Ratley,CLE,2018,9,CLE,KC,KC
Rishard Matthews,NYJ,2018,9,MIA,NYJ,MIA
Travis Benjamin,LAC,2018,9,SEA,LAC,SEA
Cameron Meredith,NO,2018,9,NO,LAR,LAR
Zay Jones,BUF,2018,9,BUF,CHI,CHI
Jarius Wright,CAR,2018,9,CAR,TB,TB
Andre Roberts,NYJ,2018,9,MIA,NYJ,MIA
Deontay Burnett,NYJ,2018,9,MIA,NYJ,MIA
James Washington,PIT,2018,9,BAL,PIT,BAL
Laquon Treadwell,MIN,2018,9,MIN,DET,DET
Maurice Harris,WAS,2018,9,WAS,ATL,ATL
Brandon Marshall,SEA,2018,9,SEA,LAC,LAC
Chris Conley,KC,2018,9,CLE,KC,CLE
Aldrick Robinson,MIN,2018,9,MIN,DET,DET
Michael Floyd,WAS,2018,9,WAS,ATL,ATL
Andre Holmes,BUF,2018,9,BUF,CHI,CHI
Ryan Switzer,PIT,2018,9,BAL,PIT,BAL
Jaron Brown,SEA,2018,9,SEA,LAC,LAC
Cam Phillips,BUF,2018,9,BUF,CHI,CHI
Ray-Ray McCloud III,BUF,2018,9,BUF,CHI,CHI
Josh Bellamy,CHI,2018,9,BUF,CHI,BUF
Javon Wims,CHI,2018,9,BUF,CHI,BUF
Kevin White,CHI,2018,9,BUF,CHI,BUF
Justin Watson,TB,2018,9,CAR,TB,CAR
Damiere Byrd,CAR,2018,9,CAR,TB,TB
Da'Mari Scott,CLE,2018,9,CLE,KC,KC
Breshad Perriman,CLE,2018,9,CLE,KC,KC
Marcus Kemp,KC,2018,9,CLE,KC,CLE
Demarcus Robinson,KC,2018,9,CLE,KC,CLE
Leonte Carroo,MIA,2018,9,MIA,NYJ,NYJ
ArDarius Stewart,NYJ,2018,9,MIA,NYJ,MIA
Charone Peake,NYJ,2018,9,MIA,NYJ,MIA
Eli Rogers,PIT,2018,9,BAL,PIT,BAL
Justin Hunter,PIT,2018,9,BAL,PIT,BAL
Darrius Heyward-Bey,PIT,2018,9,BAL,PIT,BAL
Jordan Lasley,BAL,2018,9,BAL,PIT,PIT
Chris Moore,BAL,2018,9,BAL,PIT,PIT
Quincy Adeboyejo,BAL,2018,9,BAL,PIT,PIT
Jaleel Scott,BAL,2018,9,BAL,PIT,PIT
Brandon Powell,DET,2018,9,MIN,DET,MIN
TJ Jones,DET,2018,9,MIN,DET,MIN
Brandon Zylstra,MIN,2018,9,MIN,DET,DET
Marvin Hall,ATL,2018,9,WAS,ATL,WAS
Russell Gage,ATL,2018,9,WAS,ATL,WAS
