Rank,PlayerID,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,16389,Odell Beckham Jr,NYG,WR,5,CAR,14,8,57.1,131,1,33,9.4,16.4,0,0,0,0,1,1,35.4,35.38
2,16470,Davante Adams,GB,WR,5,DET,12,9,75,140,1,30,11.7,15.6,0,0,0,0,0,0,32,32
3,11056,Antonio Brown,PIT,WR,5,ATL,13,6,46.2,101,2,47,7.8,16.8,0,0,0,0,0,0,31.1,31.1
4,18187,Robby Anderson,NYJ,WR,5,DEN,5,3,60,123,2,76,24.6,41,0,0,0,0,0,0,30.3,30.3
5,19897,Tre'Quan Smith,NO,WR,5,WAS,3,3,100,111,2,62,37,37,0,0,0,0,0,0,29.1,29.1
6,15534,Adam Thielen,MIN,WR,5,PHI,10,7,70,116,1,68,11.6,16.6,0,0,0,0,0,0,27.6,27.6
7,14986,DeAndre Hopkins,HOU,WR,5,DAL,13,9,69.2,151,0,49,11.6,16.8,0,0,0,0,1,1,26.1,26.1
8,11197,Demaryius Thomas,DEN,WR,5,NYJ,6,5,83.3,105,1,42,17.5,21,0,0,0,0,0,0,24.5,24.5
9,16906,Stefon Diggs,MIN,WR,5,PHI,11,10,90.9,91,0,25,8.3,9.1,2,25,12.5,0,0,0,21.6,21.6
10,18882,Cooper Kupp,LAR,WR,5,SEA,9,6,66.7,90,1,27,10,15,0,0,0,0,0,0,21,21
11,12845,AJ Green,CIN,WR,5,MIA,10,6,60,112,0,23,11.2,18.7,0,0,0,0,0,0,20.2,20.2
12,18977,Kenny Golladay,DET,WR,5,GB,9,4,44.4,98,1,60,10.9,24.5,0,0,0,0,0,0,19.8,19.8
12,19976,Marquez Valdes-Scantling,GB,WR,5,DET,10,7,70,68,1,14,6.8,9.7,0,0,0,0,0,0,19.8,19.8
14,14871,Robert Woods,LAR,WR,5,SEA,7,5,71.4,92,0,31,13.1,18.4,2,53,26.5,0,0,0,19.5,19.5
15,16830,Tyler Lockett,SEA,WR,5,LAR,5,3,60,98,1,44,19.6,32.7,1,6,6,0,0,0,19.4,19.4
16,19064,Trent Taylor,SF,WR,5,ARI,8,7,87.5,61,1,16,7.6,8.7,0,0,0,0,1,0,19.1,19.1
17,19120,David Moore,SEA,WR,5,LAR,4,3,75,38,2,30,9.5,12.7,0,0,0,0,0,0,18.8,18.8
18,19815,Christian Kirk,ARI,WR,5,SF,4,3,75,85,1,75,21.2,28.3,1,5,5,0,0,0,18,18
19,15076,Keenan Allen,LAC,WR,5,OAK,9,8,88.9,90,0,19,10,11.2,1,5,5,0,0,0,17.5,17.5
20,13878,Mohamed Sanu,ATL,WR,5,PIT,7,4,57.1,73,1,43,10.4,18.2,0,0,0,0,0,0,17.3,17.3
