year,games,Name,Week,Opponent,Team,tar,rec,yds,yds/rec,yds/tar,td,def_rk,h/a_1,surface_0,points
2012.0,1,AJ Green,1,BAL,CIN,11,5,70,14.0,6.4,0,30,0.0,1.0,7.0
2012.0,1,Aldrick Robinson,1,NO,WAS,6,4,52,13.0,8.7,1,25,0.0,0.0,11.2
2012.0,1,Alshon Jeffery,1,IND,CHI,5,3,80,26.7,16.0,1,2,1.0,1.0,14.0
2012.0,1,Andre Holmes,1,NYG,DAL,0,0,0,0.0,0.0,0,11,0.0,0.0,0.0
2012.0,1,Andre Johnson,1,MIA,HOU,10,8,119,14.9,11.9,1,22,1.0,0.0,17.9
2012.0,1,Andre Roberts,1,SEA,ARI,9,5,54,10.8,6.0,1,1,1.0,1.0,12.9
2012.0,1,Andrew Hawkins,1,BAL,CIN,9,8,86,10.8,9.6,0,30,0.0,1.0,8.6
2012.0,1,Anquan Boldin,1,CIN,BAL,5,4,63,15.8,12.6,1,6,1.0,1.0,12.6
2012.0,1,Anthony Armstrong,1,HOU,MIA,3,1,3,3.0,1.0,0,31,0.0,0.0,0.3
2012.0,1,Antonio Brown,1,DEN,PIT,8,4,74,18.5,9.2,0,4,0.0,1.0,7.8
2012.0,1,Armanti Edwards,1,TB,CAR,0,0,0,0.0,0.0,0,29,0.0,1.0,0.0
2012.0,1,Armon Binns,1,BAL,CIN,5,4,28,7.0,5.6,0,30,0.0,1.0,2.8
2012.0,1,Ben Obomanu,1,ARI,SEA,1,0,0,0.0,0.0,0,20,0.0,1.0,0.0
2012.0,1,Brandon Banks,1,NO,WAS,1,1,6,6.0,6.0,0,25,0.0,0.0,0.6
2012.0,1,Brandon Gibson,1,DET,LAR,5,4,51,12.8,10.2,1,12,0.0,0.0,11.1
2012.0,1,Brandon LaFell,1,TB,CAR,5,3,65,21.7,13.0,1,29,0.0,1.0,12.5
2012.0,1,Brandon Lloyd,1,TEN,NE,8,5,69,13.8,8.6,0,17,0.0,1.0,6.9
2012.0,1,Brandon Marshall,1,IND,CHI,15,9,119,13.2,7.9,1,2,1.0,1.0,17.9
2012.0,1,Brandon Stokley,1,PIT,DEN,3,2,26,13.0,8.7,0,23,1.0,1.0,2.6
2012.0,1,Brandon Tate,1,BAL,CIN,2,1,3,3.0,1.5,0,30,0.0,1.0,0.3
2012.0,1,Braylon Edwards,1,ARI,SEA,9,5,43,8.6,4.8,0,20,0.0,1.0,4.3
2012.0,1,Brian Hartline,1,HOU,MIA,8,3,50,16.7,6.2,0,31,0.0,0.0,5.0
2012.0,1,Brian Quick,1,DET,LAR,0,0,0,0.0,0.0,0,12,0.0,0.0,0.0
2012.0,1,Calvin Johnson,1,LAR,DET,7,6,111,18.5,15.9,0,27,1.0,0.0,11.1
