year,year,Name,Week,Opponent,games,tar_avg,rec_avg,yds_avg,yds/rec_avg,yds/tar_avg,td_avg,tar_ma,rec_ma,yds_ma,yds/rec_ma,yds/tar_ma,td_ma,tar_car,rec_car,yds_car,yds/rec_car,yds/tar_car,td_car,surface_0,h/a_1,def_rk,points
2012,2012.0,AJ Green,1,BAL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30,7.0
2012,2012.0,AJ Green,2,CLE,2,11.0,5.0,70.0,14.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,70.0,14.0,6.4,0.0,0.0,1.0,16,11.8
2012,2012.0,AJ Green,3,WAS,3,11.5,6.0,64.0,11.15,5.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,6.0,64.0,11.15,5.6,0.5,1.0,0.0,28,25.4
2012,2012.0,AJ Green,4,JAX,4,11.33,7.0,103.67,14.2,9.27,0.67,0.0,0.0,0.0,0.0,0.0,0.0,11.33,7.0,103.67,14.2,9.27,0.67,1.0,0.0,15,17.7
2012,2012.0,AJ Green,5,MIA,5,10.75,6.75,107.0,15.52,10.2,0.75,10.75,6.75,107.0,15.525,10.2,0.75,10.75,6.75,107.0,15.52,10.2,0.75,0.0,1.0,22,12.5
2012,2012.0,AJ Green,6,CLE,6,11.2,7.2,98.6,13.86,9.16,0.8,11.2,7.2,98.6,13.86,9.16,0.8,11.2,7.2,98.6,13.86,9.16,0.8,1.0,0.0,16,25.5
2012,2012.0,AJ Green,7,PIT,7,11.17,7.17,104.67,14.77,9.68,1.0,11.166666666666666,7.166666666666667,104.66666666666667,14.766666666666666,9.683333333333332,1.0,11.17,7.17,104.67,14.77,9.68,1.0,0.0,1.0,23,6.8
2012,2012.0,AJ Green,9,DEN,8,10.43,6.29,90.86,13.8,8.49,1.0,10.428571428571429,6.285714285714286,90.85714285714286,13.799999999999999,8.485714285714284,1.0,10.43,6.29,90.86,13.8,8.49,1.0,0.0,1.0,4,16.5
2012,2012.0,AJ Green,10,NYG,9,10.25,6.38,91.88,13.84,8.8,1.0,10.25,6.375,91.875,13.837499999999999,8.8,1.0,10.25,6.38,91.88,13.84,8.8,1.0,0.0,1.0,11,14.5
2012,2012.0,AJ Green,11,KC,10,10.22,6.44,91.11,13.64,8.77,1.0,10.222222222222221,6.444444444444445,91.11111111111111,13.644444444444442,8.766666666666667,1.0,10.22,6.44,91.11,13.64,8.77,1.0,1.0,0.0,14,15.1
2012,2012.0,AJ Green,12,OAK,11,10.4,6.4,91.1,13.8,8.65,1.0,10.4,6.4,91.1,13.799999999999997,8.65,1.0,10.4,6.4,91.1,13.8,8.65,1.0,0.0,1.0,7,13.2
2012,2012.0,AJ Green,13,LAC,12,10.27,6.09,92.91,15.91,8.98,0.91,10.272727272727273,6.090909090909091,92.9090909090909,15.909090909090907,8.981818181818182,0.9090909090909091,10.27,6.09,92.91,15.91,8.98,0.91,1.0,0.0,13,8.5
2012,2012.0,AJ Green,14,DAL,13,10.5,6.33,92.25,15.37,8.78,0.83,10.5,6.333333333333333,92.25,15.366666666666665,8.775,0.8333333333333334,10.5,6.33,92.25,15.37,8.78,0.83,0.0,1.0,5,4.4
2012,2012.0,AJ Green,15,PHI,14,10.31,6.08,88.54,15.32,8.52,0.77,10.307692307692308,6.076923076923077,88.53846153846153,15.315384615384612,8.523076923076923,0.7692307692307693,10.31,6.08,88.54,15.32,8.52,0.77,1.0,0.0,32,11.7
2012,2012.0,AJ Green,16,PIT,15,10.29,6.07,86.29,14.9,8.32,0.79,10.285714285714286,6.071428571428571,86.28571428571429,14.899999999999997,8.321428571428571,0.7857142857142857,10.29,6.07,86.29,14.9,8.32,0.79,1.0,0.0,23,9.6
2012,2012.0,AJ Green,17,BAL,16,10.8,6.33,88.27,14.68,8.19,0.73,10.8,6.333333333333333,88.26666666666667,14.679999999999998,8.193333333333333,0.7333333333333333,10.8,6.33,88.27,14.68,8.19,0.73,0.0,1.0,30,2.6
2013,2013.0,AJ Green,1,CHI,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,6.06,84.38,14.58,8.49,0.69,1.0,0.0,11,40.2
2013,2013.0,AJ Green,3,GB,18,13.0,9.0,162.0,18.0,12.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,5.5,94.0,15.5,12.75,1.0,0.0,1.0,15,14.6
2013,2013.0,AJ Green,4,CLE,19,10.5,6.5,104.0,14.75,9.15,1.5,0.0,0.0,0.0,0.0,0.0,0.0,7.67,5.0,78.0,14.17,10.43,1.0,1.0,0.0,28,12.1
2013,2013.0,AJ Green,5,NE,21,12.0,6.67,86.33,12.27,7.23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,5.5,71.25,12.45,8.68,0.75,0.0,1.0,23,11.1
2013,2013.0,AJ Green,6,BUF,22,11.0,6.25,80.0,12.25,7.32,0.75,11.0,6.25,80.0,12.25,7.324999999999999,0.75,9.2,5.4,69.2,12.4,8.46,0.6,0.0,0.0,18,25.3
2013,2013.0,AJ Green,7,DET,23,11.0,6.2,84.6,13.24,7.74,0.8,11.0,6.2,84.6,13.24,7.739999999999999,0.8,9.5,5.5,74.83,13.2,8.62,0.67,0.0,0.0,26,30.5
2013,2013.0,AJ Green,8,NYJ,24,10.5,6.17,96.33,15.33,9.68,0.83,10.5,6.166666666666667,96.33333333333333,15.333333333333334,9.683333333333332,0.8333333333333334,9.29,5.57,86.29,15.0,10.16,0.71,0.0,1.0,1,17.5
2013,2013.0,AJ Green,9,MIA,25,10.0,5.71,99.0,18.61,10.64,0.71,10.0,5.714285714285714,99.0,18.614285714285717,10.642857142857142,0.7142857142857143,9.0,5.25,89.88,17.91,10.94,0.62,1.0,0.0,20,26.8
2013,2013.0,AJ Green,10,BAL,26,11.12,6.38,102.62,17.74,10.15,0.62,11.125,6.375,102.625,17.7375,10.149999999999999,0.625,10.11,5.89,94.11,17.21,10.47,0.56,1.0,0.0,17,32.1
