Player,Predicted
Aaron Rodgers,22.622504850711152
Drew Brees,22.935390470077778
Tom Brady,22.578468940860716
Deshaun Watson,21.599165621675866
Cam Newton,20.770403281588074
Matthew Stafford,21.079952079417694
Ben Roethlisberger,20.93747385146048
Andrew Luck,20.630575616465308
Philip Rivers,20.69730146458153
Kirk Cousins,20.45094024403386
Russell Wilson,19.8914695518622
Jared Goff,20.28165425189411
Andy Dalton,19.3935897622747
Tyrod Taylor,18.422071761684947
Marcus Mariota,18.840468013427426
Alex Smith,18.70608086407276
Dak Prescott,18.531012588521094
Blake Bortles,17.825207516693467
Mitch Trubisky,17.685678601702193
Matt Ryan,17.719255158889382
Nick Foles,17.689891524749328
Case Keenum,17.30954755728567
Ryan Fitzpatrick,17.33521470350297
Ryan Tannehill,17.14584912994451
Jimmy Garoppolo,16.64206678358164
Sam Bradford,16.345739803147126
Derek Carr,16.04041427091056
Joe Flacco,15.378569840412979
Eli Manning,14.808699395461417
Jacoby Brissett,0.4639017031198591
Josh McCown,0.3371068306222469
Brock Osweiler,-0.620866869980091
Trevor Siemian,-1.230982123132776
Mike Glennon,-0.6830157588308339
Deshone Kizer,-1.4666769569738562
Blaine Gabbert,-0.8586468855619387
David Fales,-0.9115319917459601
CJ Beathard,-1.370144880180419
Brian Hoyer,0.3311817204677254
Brandon Weeden,0.652487656337712
Colt McCoy,0.6626893276985584
Chase Daniel,0.6411859786541072
Brett Hundley,-1.1426348850817476
AJ McCarron,0.5790737904915204
Cody Kessler,0.7797286059201269
Chad Henne,1.4100967939313023
Teddy Bridgewater,1.4781108317000644
Matt Schaub,1.389055602129929
Geno Smith,1.400105120174544
Matt Cassel,1.4546859197262165
Robert Griffin III,1.3787665660206585
Carson Wentz,1.2505649694443264
Drew Stanton,1.2270568025645616
Matt Barkley,1.3143728509747916
Austin Davis,1.2329255749890535
Kevin Hogan,1.2673565172154895
Joe Webb,1.2572815885527007
