Player,Predicted
Todd Gurley,18.561468817800744
David Johnson,17.240291991124593
Melvin Gordon,14.514579532164248
Devonta Freeman,11.331842459859729
LeSean McCoy,10.591942385867753
Lamar Miller,10.344358790731917
Le'Veon Bell,9.925670215018442
Jay Ajayi,9.25391461479694
Rex Burkhead,9.192221383846515
Marshawn Lynch,8.668046498892352
Carlos Hyde,8.32831886691531
Dion Lewis,7.869186468780072
Bilal Powell,7.154255953493248
Isaiah Crowell,7.064721319037403
Tevin Coleman,6.917476543389114
Alfred Morris,6.120175246449776
Adrian Peterson,6.078089403423633
Duke Johnson,6.139119107239026
Ty Montgomery,5.97362852871413
Chris Thompson,6.010961485784662
Giovani Bernard,5.80119446016181
James White,5.866648831525083
Latavius Murray,5.2630035097543555
Javorius Allen,5.098503446066331
Mike Gillislee,4.701092994384453
Theo Riddick,4.859084315226653
CJ Anderson,4.4884993806625175
LeGarrette Blount,4.2770042960606816
Darren Sproles,4.145270488118683
Frank Gore,4.003119195632678
Jeremy Hill,3.7574018228042405
Doug Martin,3.7210966113539143
TJ Yeldon,3.273214250804074
Spencer Ware,3.023649540478459
Alfred Blue,2.6842158096335993
Chris Ivory,2.6305762399563264
Corey Grant,2.3311504459468892
Rod Smith,2.240584612606483
Christine Michael,2.1372108700306285
Jonathan Stewart,1.8010529198272138
Kyle Juszczyk,2.1063731672336985
Malcolm Brown,1.35427502843919
Ameer Abdullah,1.1780897502879384
Marcus Murphy,1.1222736837342495
Raheem Mostert,1.0239129179227575
Jacquizz Rodgers,0.9581997887503348
Cameron Artis-Payne,0.6789220227797159
Mike Davis,0.19910440659327833
Benjamin Cunningham,0.18632305456821996
Stevan Ridley,0.05721795965553156
Damien Williams,-0.0386396104302662
Jamize Olawale,-0.2840851287294299
Anthony Sherman,-0.32902668278330793
Patrick DiMarco,-0.3449494250434668
Zach Line,-0.36783063711789055
Roosevelt Nix,-0.45105042665443307
Senorise Perry,-0.42659628583527365
Keith Smith,-0.4386654453743404
Tommy Bohanon,-0.4529473057662585
Michael Burton,-0.48806025614101145
Brandon Bolden,-0.4881323688371708
James Develin,-0.4994836444246289
Taiwan Jones,-0.5768149890019458
Derrick Coleman,-0.5817164896337772
Robert Turbin,-0.6923011548093427
Jerick McKinnon,-0.7025824089765251
Malcolm Johnson,-0.7025824089765251
Fozzy Whittaker,-0.6927907383411025
Zach Zenner,-0.6903428206823037
Trey Williams,-0.7006240748494292
